timestamp,adc_ch0,adc_ch1,adc_ch2,adc_ch3
222837567888,0,0,0,0
222837567888,0,0,0,0
222837567888,0,0,0,0
222837567888,0,0,0,0
222837567888,0,0,0,0
222837639101,0,0,0,0
222837639101,0,0,0,0
222837639101,0,0,0,0
222837639101,0,0,0,0
222837639101,0,0,0,0
222837697818,0,0,0,0
222837697818,0,0,0,0
222837697818,0,0,0,0
222837697818,0,0,0,0
222837697818,0,0,0,0
222837757778,0,0,0,0
222837757778,0,0,0,0
222837757778,0,0,0,0
222837757778,0,0,0,0
222837757778,0,0,0,0
222837817365,0,0,0,0
222837817365,0,0,0,0
222837817365,0,0,0,0
222837817365,0,0,0,0
222837817365,0,0,0,0
222837877295,0,0,0,0
222837877295,0,0,0,0
222837877295,0,0,0,0
222837877295,0,0,0,0
222837877295,0,0,0,0
222837937641,0,0,0,0
222837937641,0,0,0,0
222837937641,0,0,0,0
222837937641,0,0,0,0
222837937641,0,0,0,0
222837996951,0,0,0,0
222837996951,0,0,0,0
222837996951,0,0,0,0
222837996951,0,0,0,0
222837996951,0,0,0,0
222838057066,0,0,0,0
222838057066,0,0,0,0
222838057066,0,0,0,0
222838057066,0,0,0,0
222838057066,0,0,0,0
222838117200,0,0,0,0
222838117200,0,0,0,0
222838117200,0,0,0,0
222838117200,0,0,0,0
222838117200,0,0,0,0
222838178027,0,0,0,0
222838178027,0,0,0,0
222838178027,0,0,0,0
222838178027,0,0,0,0
222838178027,0,0,0,0
222838236627,0,0,0,0
222838236627,0,0,0,0
222838236627,0,0,0,0
222838236627,0,0,0,0
222838236627,0,0,0,0
222838296294,0,0,0,0
222838296294,0,0,0,0
222838296294,0,0,0,0
222838296294,0,0,0,0
222838296294,0,0,0,0
222838356675,0,0,0,0
222838356675,0,0,0,0
222838356675,0,0,0,0
222838356675,0,0,0,0
222838356675,0,0,0,0
222838416825,0,0,0,0
222838416825,0,0,0,0
222838416825,0,0,0,0
222838416825,0,0,0,0
222838416825,0,0,0,0
222838477308,0,0,0,0
222838477308,0,0,0,0
222838477308,0,0,0,0
222838477308,0,0,0,0
222838477308,0,0,0,0
222838536367,0,0,0,0
222838536367,0,0,0,0
222838536367,0,0,0,0
222838536367,0,0,0,0
222838536367,0,0,0,0
222838596502,0,0,0,0
222838596502,0,0,0,0
222838596502,0,0,0,0
222838596502,0,0,0,0
222838596502,0,0,0,0
222838655731,0,0,0,0
222838655731,0,0,0,0
222838655731,0,0,0,0
222838655731,0,0,0,0
222838655731,0,0,0,0
222838715722,0,0,0,0
222838715722,0,0,0,0
222838715722,0,0,0,0
222838715722,0,0,0,0
