timestamp,raw,volts,angle
125134004312,2961,0.5551875000000001,-132.70146643413023
125134028547,2969,0.5566875,-132.60910967154902
125134049793,2934,0.550125,-133.01317050784183
125134074527,2962,0.5553750000000001,-132.68992183880758
125134096556,2947,0.5525625,-132.86309076864734
125134117245,2945,0.5521875,-132.88617995929266
125134140908,2944,0.552,-132.8977245546153
125134162796,2957,0.5544375,-132.74764481542084
125134187063,2965,0.5559375,-132.65528805283964
125134211246,2958,0.554625,-132.7361002200982
125134233574,2940,0.55125,-132.94390293590592
125134256618,2949,0.5529375,-132.84000157800205
125134279916,2976,0.558,-132.52829750429046
125134300250,2945,0.5521875,-132.88617995929266
125134322240,2945,0.5521875,-132.88617995929266
125134343087,2961,0.5551875000000001,-132.70146643413023
125134364937,2948,0.55275,-132.85154617332472
125134387810,2942,0.551625,-132.9208137452606
125134410741,2961,0.5551875000000001,-132.70146643413023
125134433379,2941,0.5514375,-132.93235834058328
125134454996,2964,0.55575,-132.66683264816228
125134476153,2943,0.5518125,-132.90926914993796
125134499590,2947,0.5525625,-132.86309076864734
125134521479,2942,0.551625,-132.9208137452606
125134544353,2968,0.5565,-132.62065426687167
125134566004,2951,0.5533125,-132.81691238735675
125134590517,2962,0.5553750000000001,-132.68992183880758
125134614421,2948,0.55275,-132.85154617332472
125134639168,2935,0.5503125,-133.00162591251916
125134663031,2968,0.5565,-132.62065426687167
125134684689,2949,0.5529375,-132.84000157800205
125134707173,2957,0.5544375,-132.74764481542084
125134728925,2952,0.5535,-132.8053677920341
125134751128,2948,0.55275,-132.85154617332472
125134775632,2973,0.5574375,-132.5629312902584
125134799622,2949,0.5529375,-132.84000157800205
125134822618,2962,0.5553750000000001,-132.68992183880758
125134845801,2955,0.5540625,-132.77073400606614
125134869887,2940,0.55125,-132.94390293590592
125134891440,2967,0.5563125,-132.63219886219431
125134914880,2941,0.5514375,-132.93235834058328
125134937209,2950,0.553125,-132.8284569826794
125134957731,2963,0.5555625,-132.67837724348493
125134978709,2945,0.5521875,-132.88617995929266
125135001667,2952,0.5535,-132.8053677920341
125135027060,2958,0.554625,-132.7361002200982
125135050785,2935,0.5503125,-133.00162591251916
125135073980,2963,0.5555625,-132.67837724348493
125135097087,2948,0.55275,-132.85154617332472
125135119176,2937,0.5506875,-132.97853672187387
125135140573,2933,0.5499375,-133.02471510316448
125135162040,2972,0.55725,-132.57447588558108
125135183849,2930,0.5493750000000001,-133.05934888913242
125135207142,2954,0.553875,-132.78227860138878
125135227792,2962,0.5553750000000001,-132.68992183880758
125135248980,2948,0.55275,-132.85154617332472
125135272616,2933,0.5499375,-133.02471510316448
125135293862,2960,0.555,-132.7130110294529
125135316365,2947,0.5525625,-132.86309076864734
125135338162,2954,0.553875,-132.78227860138878
125135360007,2956,0.55425,-132.7591894107435
125135382195,2963,0.5555625,-132.67837724348493
125135402920,2946,0.5523750000000001,-132.87463536397001
125135427245,2959,0.5548125,-132.72455562477555
125135448949,2949,0.5529375,-132.84000157800205
125135471231,2948,0.55275,-132.85154617332472
125135491814,2939,0.5510625,-132.95544753122857
125135512308,2977,0.5581875000000001,-132.51675290896782
125135533582,2944,0.552,-132.8977245546153
125135556567,2964,0.55575,-132.66683264816228
125135578152,2946,0.5523750000000001,-132.87463536397001
125135601125,2942,0.551625,-132.9208137452606
125135623588,2936,0.5505,-132.9900813171965
125135645085,2976,0.558,-132.52829750429046
125135667669,2935,0.5503125,-133.00162591251916
125135690033,2959,0.5548125,-132.72455562477555
125135712289,2952,0.5535,-132.8053677920341
125135734530,2945,0.5521875,-132.88617995929266
125135759318,2977,0.5581875000000001,-132.51675290896782
125135782577,2942,0.551625,-132.9208137452606
125135805591,2961,0.5551875000000001,-132.70146643413023
125135828324,2954,0.553875,-132.78227860138878
125135852048,2942,0.551625,-132.9208137452606
125135873250,2941,0.5514375,-132.93235834058328
125135894884,2975,0.5578125,-132.5398420996131
125135915355,2952,0.5535,-132.8053677920341
125135938547,2955,0.5540625,-132.77073400606614
125135960180,2954,0.553875,-132.78227860138878
125135984600,2940,0.55125,-132.94390293590592
125136007086,2977,0.5581875000000001,-132.51675290896782
125136029838,2969,0.5566875,-132.60910967154902
125136050950,2946,0.5523750000000001,-132.87463536397001
125136073106,2955,0.5540625,-132.77073400606614
125136093858,2950,0.553125,-132.8284569826794
125136113402,2971,0.5570625,-132.58602048090373
125136133372,2939,0.5510625,-132.95544753122857
125136153716,2948,0.55275,-132.85154617332472
125136176285,2954,0.553875,-132.78227860138878
125136195841,2938,0.550875,-132.96699212655122
125136215603,2961,0.5551875000000001,-132.70146643413023
125136235331,2937,0.5506875,-132.97853672187387
125136255627,2929,0.5491875,-133.0708934844551
125136275693,2968,0.5565,-132.62065426687167
125136295298,2965,0.5559375,-132.65528805283964
125136316532,2945,0.5521875,-132.88617995929266
125136336147,2941,0.5514375,-132.93235834058328
125136356380,2937,0.5506875,-132.97853672187387
125136377244,2971,0.5570625,-132.58602048090373
125136397949,2965,0.5559375,-132.65528805283964
125136417841,2949,0.5529375,-132.84000157800205
125136439771,2952,0.5535,-132.8053677920341
125136459377,2969,0.5566875,-132.60910967154902
125136481240,2969,0.5566875,-132.60910967154902
125136502505,2949,0.5529375,-132.84000157800205
125136523797,2962,0.5553750000000001,-132.68992183880758
125136543785,2956,0.55425,-132.7591894107435
125136566056,2948,0.55275,-132.85154617332472
125136586439,2938,0.550875,-132.96699212655122
125136606776,2936,0.5505,-132.9900813171965
125136626867,2970,0.556875,-132.59756507622637
125136646773,2967,0.5563125,-132.63219886219431
