scorer,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
32,982.34656,601.4603,0.7563641,951.815,429.6562,0.92348015,957.0327,248.4977,0.92312574,981.407,131.59592,1.0,609.52704,17.620846,0.15462412
33,982.37537,601.0345,0.708951,951.7941,429.6514,0.92425084,956.9422,248.46852,0.90818346,981.3709,131.80267,1.0,609.44116,17.469784,0.14325097
34,982.325,601.4554,0.75497687,951.7524,429.66733,0.9281771,956.9751,248.49261,0.9030128,981.35864,131.94365,1.0,609.5187,17.490759,0.15282059
35,982.3594,601.0381,0.71527374,951.7388,429.70566,0.93446195,957.1596,248.54568,0.92007595,981.40533,131.68794,1.0,609.5344,17.567038,0.16633919
36,982.31195,601.4585,0.75023615,951.6861,429.70786,0.93415517,957.1275,248.4379,0.926914,981.3323,131.62054,1.0,609.5787,17.60194,0.16564783
37,982.3116,601.488,0.7456126,951.79315,429.69113,0.9419375,956.8994,248.63257,0.91534257,981.132,131.79636,1.0,609.4221,17.634089,0.14921795
38,982.3271,601.4726,0.7471737,951.7432,429.7374,0.9377121,956.8329,248.59607,0.91880375,980.9418,131.93486,1.0,609.57184,17.654041,0.1657029
39,982.29865,601.4718,0.7394263,951.7439,429.73935,0.9434268,956.70886,248.73174,0.9273551,980.9317,131.99315,1.0,609.5764,17.657333,0.16521594
40,982.2982,601.47253,0.7554654,951.7379,429.68643,0.9339387,956.4605,248.71979,0.92741,980.8784,131.99791,1.0,609.53546,17.74657,0.16091451
41,982.3147,601.47015,0.7616641,951.79926,429.66483,0.94381374,956.36523,248.7337,0.9280696,980.82574,131.93909,1.0,609.6435,17.951853,0.19799235
42,982.30334,601.4605,0.75100386,951.77856,429.66846,0.94451916,956.54193,248.81349,0.92532307,980.8146,131.91806,1.0,609.5755,17.602186,0.17259179
43,982.3125,601.46606,0.75394046,951.7958,429.62778,0.9497831,956.4784,248.7235,0.9276022,980.8239,132.01477,1.0,609.5177,17.723198,0.19295911
44,982.31195,601.45337,0.7556814,951.81354,429.62,0.9345471,956.6006,248.68338,0.920546,980.77405,131.91428,1.0,609.52295,17.512875,0.14731899
45,982.262,601.4555,0.74100524,951.8206,429.6926,0.9458311,956.493,248.76762,0.93715847,980.66693,132.09906,1.0,609.4622,17.47269,0.1421954
46,982.2537,601.32745,0.7442333,951.8091,429.60983,0.94726205,956.3201,248.7172,0.9469903,980.52356,132.21587,1.0,609.5511,17.493135,0.15233055
47,981.74457,601.3724,0.7743191,951.74286,429.66678,0.9536755,956.5787,248.7341,0.9281611,980.5787,132.16563,1.0,609.54364,17.500042,0.14172493
48,981.61017,601.43665,0.78147334,951.68774,429.63043,0.945291,956.71094,248.63313,0.9272599,980.6027,132.15582,1.0,609.50134,17.529175,0.14869905
49,979.8004,601.9311,0.78510344,951.56696,429.4325,0.95953304,956.60626,248.65388,0.9367424,980.52496,132.18428,1.0,609.5674,17.555916,0.1527542
50,978.9845,601.8825,0.74991137,951.5328,429.4077,0.9588577,956.5792,248.62692,0.9098192,980.67065,132.14503,1.0,609.5043,17.781273,0.16686244
51,977.65326,601.88196,0.73167086,951.4758,429.31113,0.9544065,956.66693,248.67,0.91500133,980.72974,132.08917,1.0,609.5078,17.587477,0.15530203
52,975.8105,602.1156,0.7111374,951.4356,429.24716,0.9360468,957.25867,248.77608,0.91408217,980.7524,132.07712,1.0,609.59937,17.64036,0.16914506
53,975.053,602.44794,0.7067477,951.40704,429.29773,0.96219355,956.9733,248.84457,0.93399256,980.8496,132.22086,1.0,609.60223,17.654196,0.16364037
54,974.50385,602.6779,0.670084,951.38855,429.31497,0.9704568,956.7304,248.92575,0.9393313,980.959,132.32114,1.0,609.6262,17.746122,0.17084594
55,973.9484,602.67676,0.6875078,951.35803,429.31644,0.9772618,956.9168,248.8213,0.91634125,981.0038,132.3607,1.0,609.6426,17.663939,0.17266935
56,973.4741,602.81165,0.67405456,951.3611,429.3494,0.96684784,957.0366,248.78288,0.8982785,981.04,132.46289,1.0,609.81177,17.761631,0.16527139
57,973.0265,602.8595,0.7168609,951.26996,429.27255,0.95859146,957.01605,248.75331,0.9102474,981.33856,131.97142,1.0,609.6454,17.696522,0.1673389
58,971.6372,602.48035,0.7338367,951.2729,429.25418,0.95095485,957.6697,248.34769,0.9151006,981.3386,131.96983,1.0,609.59607,17.584461,0.15575059
59,970.9841,602.4281,0.7532333,951.1959,428.93396,0.9568494,957.5482,248.17598,0.88500607,981.3873,131.94168,1.0,609.6254,17.516205,0.15689778
60,970.4386,602.37756,0.72625643,951.20245,429.01288,0.94795096,957.57574,248.1216,0.9064019,981.36694,131.97064,1.0,609.8156,17.585878,0.15396973
61,969.5688,602.3161,0.72633517,951.0985,428.9639,0.9659234,957.779,248.19254,0.8934184,981.44763,131.93755,1.0,609.60925,17.523863,0.15136506
62,968.2252,602.0496,0.6549226,950.99005,428.91653,0.9706134,957.84607,248.28154,0.8837401,981.45264,131.92082,1.0,609.5684,17.516827,0.14572904
63,967.79236,602.14856,0.67696786,950.99414,428.91962,0.967857,957.6883,248.2111,0.89691585,981.4656,131.90633,1.0,609.5734,17.629234,0.16365755
64,967.5657,602.22906,0.6938471,950.9559,428.77243,0.9587316,957.942,248.1195,0.88492674,981.4395,131.89867,1.0,609.7515,17.905495,0.16176423
65,967.6061,602.1874,0.7062393,950.9462,428.81924,0.9614614,957.98944,248.24307,0.88327366,981.4422,131.90219,1.0,609.6806,17.681217,0.18575548
66,967.64276,602.18115,0.70376635,950.9452,428.90546,0.9615316,957.9655,248.24075,0.88176847,981.4628,131.91302,1.0,609.647,17.648453,0.1837043
67,967.6437,602.18884,0.7092126,951.1362,429.23877,0.95137864,957.67596,248.48425,0.89033407,981.15015,132.19682,1.0,609.6559,17.671432,0.16869691
68,969.04706,602.9566,0.67876565,951.33026,429.543,0.9377187,957.2582,248.53479,0.868081,980.97473,132.38872,1.0,609.60535,17.654034,0.16075097
