scorer,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
31,920.45416,667.4765,0.686715,917.02386,509.65372,0.7560132,920.0283,347.17206,0.83885795,920.5002,134.80634,0.9249212,943.78204,49.13587,0.8782008
32,920.4598,667.545,0.6849522,916.9625,509.67548,0.75897145,919.9614,347.1604,0.84189856,920.5764,135.0208,0.92501175,943.9048,49.29632,0.8749063
33,920.48755,667.6025,0.72762823,917.0827,509.68997,0.7487185,920.1115,347.25668,0.8453501,920.56866,134.95149,0.92415595,943.8772,49.303787,0.87577546
34,920.5138,667.59735,0.7227408,917.0886,509.71667,0.7473796,920.12067,347.2562,0.8578863,920.6194,134.94571,0.9275598,943.8697,49.29949,0.88108623
35,920.6076,667.61,0.7282439,917.0551,509.88065,0.73528785,920.12604,347.31366,0.8454935,920.40765,135.05898,0.9269461,943.9569,49.378174,0.8811074
36,920.6275,667.7567,0.71042466,917.02545,509.9177,0.73224753,920.0678,347.34845,0.83840305,920.13477,135.17587,0.92916894,943.9949,49.446213,0.8759462
37,920.5544,667.6671,0.714009,917.00024,509.9033,0.7311274,920.16205,347.25204,0.8406489,920.112,135.09753,0.9359477,943.98346,49.421993,0.86850667
38,920.49603,667.6118,0.72596264,917.07227,509.91534,0.7314209,920.1255,347.17957,0.84608084,920.2879,135.17717,0.93595725,944.04236,49.417862,0.87281287
39,920.46136,667.62225,0.7285581,917.0547,509.87646,0.73143756,920.1146,347.18774,0.8393337,920.1988,135.17418,0.933203,944.07007,49.46589,0.87653726
40,920.38904,667.5488,0.7290435,917.02045,509.83258,0.740154,920.0885,347.20923,0.8476946,920.1716,135.1364,0.93396807,944.0461,49.3634,0.86295694
41,920.5275,667.58923,0.7114333,917.00195,509.86032,0.74595,919.8921,347.34833,0.84513795,919.9797,135.40402,0.9361943,944.00055,49.43173,0.8786116
42,920.5319,667.4658,0.7188353,916.994,509.87372,0.7342669,919.872,347.38574,0.85263354,920.0418,135.14922,0.93993115,944.0261,49.264942,0.88002604
43,920.54767,667.5046,0.712726,916.97736,509.90408,0.73683834,919.8845,347.3318,0.84954745,919.8281,135.14436,0.9551185,943.9811,49.311047,0.8724833
44,920.5338,667.5816,0.70328426,917.0545,509.92383,0.73621243,919.7035,347.37268,0.8553086,919.9514,135.16605,0.9408616,943.89276,49.297455,0.8720375
45,920.4197,667.79474,0.74042183,917.0271,509.96506,0.7369105,919.73065,347.38608,0.8477126,919.6578,135.03339,0.9523493,943.6452,49.38185,0.85762364
46,920.33203,668.0753,0.7411873,916.97076,510.0174,0.7461197,919.5822,347.4272,0.8480806,919.61584,135.05635,0.9505465,943.42444,49.339626,0.85486394
47,920.6141,668.3934,0.6730289,916.9494,510.18906,0.7342359,919.5547,347.41736,0.85726815,919.3058,135.38876,0.9441699,943.13776,49.250237,0.86026025
48,920.2007,668.52966,0.7164648,916.8113,510.1389,0.75498563,919.43976,347.32874,0.86155134,919.43207,135.08469,0.9571463,942.90405,49.35259,0.8526611
49,920.44745,667.9664,0.746493,916.99445,510.19122,0.721123,919.35004,347.33728,0.864787,919.208,135.0836,0.96313596,942.8689,49.314625,0.84102803
50,920.3322,668.0538,0.74430627,917.0611,510.2558,0.72002685,919.3903,347.32782,0.86645776,919.36444,135.10895,0.9480698,943.0073,49.16014,0.8356255
