timestamp,raw,volts,angle
013406809950,2928,0.549,-133.08243807977772
013406837591,2943,0.5518125,-132.90926914993796
013406868262,2957,0.5544375,-132.74764481542084
013406889662,2981,0.5589375,-132.4705745276772
013406911405,2928,0.549,-133.08243807977772
013406932284,2925,0.5484375,-133.1170718657457
013406953052,3001,0.5626875,-132.23968262122418
013406973555,2956,0.55425,-132.7591894107435
013406993924,2966,0.556125,-132.64374345751696
013407014029,2943,0.5518125,-132.90926914993796
013407034994,3002,0.562875,-132.22813802590153
013407055478,3010,0.564375,-132.13578126332033
013407075328,2934,0.550125,-133.01317050784183
013407094775,2953,0.5536875,-132.79382319671146
013407114649,2965,0.5559375,-132.65528805283964
013407135231,2948,0.55275,-132.85154617332472
013407155962,3003,0.5630625,-132.21659343057888
013407175974,2931,0.5495625000000001,-133.04780429380978
013407195735,2937,0.5506875,-132.97853672187387
013407215892,2975,0.5578125,-132.5398420996131
013407236160,2977,0.5581875000000001,-132.51675290896782
013407256134,2987,0.5600625,-132.4013069557413
013407275909,2991,0.5608125,-132.3551285744507
013407295698,2928,0.549,-133.08243807977772
013407315276,2933,0.5499375,-133.02471510316448
013407335678,2986,0.559875,-132.41285155106394
013407355950,2964,0.55575,-132.66683264816228
013407377262,2941,0.5514375,-132.93235834058328
013407399124,2932,0.54975,-133.03625969848713
013407419079,2989,0.5604375,-132.378217765096
013407438793,2998,0.562125,-132.27431640719215
013407458301,2953,0.5536875,-132.79382319671146
013407478629,2961,0.5551875000000001,-132.70146643413023
013407499337,2947,0.5525625,-132.86309076864734
013407519859,2991,0.5608125,-132.3551285744507
013407539355,3007,0.5638125,-132.17041504928827
013407559066,2943,0.5518125,-132.90926914993796
013407578584,2936,0.5505,-132.9900813171965
013407599447,2975,0.5578125,-132.5398420996131
013407620769,2975,0.5578125,-132.5398420996131
013407643807,2933,0.5499375,-133.02471510316448
013407665426,2927,0.5488125,-133.0939826751004
013407687082,3001,0.5626875,-132.23968262122418
013407710199,2957,0.5544375,-132.74764481542084
013407731270,2957,0.5544375,-132.74764481542084
013407754638,2991,0.5608125,-132.3551285744507
013407776079,2925,0.5484375,-133.1170718657457
013407797963,2927,0.5488125,-133.0939826751004
013407820186,2990,0.560625,-132.36667316977335
013407842319,2958,0.554625,-132.7361002200982
013407866064,2962,0.5553750000000001,-132.68992183880758
013407889636,2998,0.562125,-132.27431640719215
013407913526,2937,0.5506875,-132.97853672187387
013407933239,2998,0.562125,-132.27431640719215
013407953885,2982,0.559125,-132.45902993235455
013407974215,2963,0.5555625,-132.67837724348493
013407993848,2973,0.5574375,-132.5629312902584
013408013680,2935,0.5503125,-133.00162591251916
013408033916,2925,0.5484375,-133.1170718657457
013408054367,2993,0.5611875000000001,-132.33203938380538
013408073792,2946,0.5523750000000001,-132.87463536397001
013408093295,2956,0.55425,-132.7591894107435
