scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
33,-25.11893,1.5971463,36.905853,-23.070267,0.51593345,38.535408,-21.152267,-0.21174571,41.69949,-19.590178,-1.5589854,43.411705,-17.40926,-2.5091584,45.2465
34,-25.119345,1.5989153,36.903114,-23.074928,0.5173929,38.52721,-21.151995,-0.21193141,41.69978,-19.591957,-1.560658,43.407368,-17.41569,-2.513668,45.249348
35,-25.128271,1.5959897,36.9095,-23.07698,0.5107373,38.529575,-21.15472,-0.21462621,41.69544,-19.596037,-1.5699897,43.41643,-17.422312,-2.520506,45.25147
36,-25.13113,1.593778,36.91852,-23.076897,0.5108985,38.529648,-21.15352,-0.21701005,41.69721,-19.593592,-1.571214,43.411793,-17.423273,-2.5198555,45.254692
37,-25.120783,1.6085007,36.908127,-23.075241,0.52401054,38.52737,-21.150307,-0.2071803,41.70449,-19.584913,-1.5648335,43.405785,-17.41485,-2.5160015,45.235504
38,-25.111715,1.6210433,36.901573,-23.07327,0.5344255,38.53244,-21.141022,-0.19929014,41.689262,-19.578524,-1.5618609,43.403694,-17.404545,-2.516497,45.239475
39,-25.10836,1.637198,36.907845,-23.066658,0.5414619,38.54059,-21.140244,-0.18891038,41.683594,-19.572815,-1.5633214,43.397243,-17.401987,-2.509819,45.240383
40,-25.104342,1.6198366,36.89998,-23.06354,0.53643423,38.532875,-21.13772,-0.1988508,41.6834,-19.574017,-1.5586575,43.399837,-17.400324,-2.5100465,45.24398
41,-25.148212,1.5067776,36.957207,-23.093107,0.4211989,38.58997,-21.164003,-0.27897024,41.73275,-19.606607,-1.601893,43.42289,-17.3997,-2.5574932,45.270214
42,-25.402752,1.1501216,37.01314,-23.275036,0.15471713,38.682987,-21.270811,-0.48456487,41.788807,-19.651426,-1.7383518,43.461952,-17.394478,-2.6545012,45.23348
43,-25.767216,0.84106916,37.091045,-23.49899,-0.035594516,38.64581,-21.333916,-0.6287882,41.68959,-19.644558,-1.9342642,43.45288,-17.369385,-2.727042,45.184975
44,-26.085203,0.8298971,36.870144,-23.713625,0.038250208,38.350697,-21.424297,-0.58729714,41.361053,-19.687008,-1.9065821,43.14482,-17.412863,-2.672639,44.883682
45,-26.348227,0.9722107,36.385284,-23.934874,0.25006202,37.811768,-21.6144,-0.41002345,40.745,-19.851494,-1.7378912,42.605648,-17.614664,-2.4818468,44.37684
46,-26.73134,1.247053,35.73577,-24.276432,0.5919476,37.14771,-21.966928,-0.107189305,40.037483,-20.184345,-1.4624041,41.96571,-17.967876,-2.1730895,43.707848
47,-27.2913,1.6476302,35.220684,-24.824448,1.0065699,36.55798,-22.51094,0.25062603,39.465355,-20.734926,-1.0857981,41.322956,-18.53228,-1.7929598,43.07041
48,-27.901766,2.1065233,34.76631,-25.413643,1.4614917,36.119205,-23.10331,0.62798125,39.045128,-21.332912,-0.7153796,40.83343,-19.12467,-1.3970982,42.563023
49,-28.313799,2.517091,34.392178,-25.846344,1.8645121,35.768642,-23.576254,0.95486253,38.698742,-21.835657,-0.38867295,40.46144,-19.609934,-1.0547942,42.168648
50,-28.436901,2.9118848,33.906708,-26.005167,2.227191,35.377567,-23.869293,1.2301211,38.36931,-22.154922,-0.12239488,40.153328,-19.93802,-0.77275705,41.847446
51,-28.574085,3.309804,33.55982,-26.186907,2.5943885,35.089012,-24.160686,1.5080174,38.116547,-22.465706,0.12670693,39.865425,-20.254274,-0.49552485,41.55321
52,-28.82238,3.6978292,33.391148,-26.478634,2.929109,34.93687,-24.521027,1.7583315,37.93089,-22.854303,0.35670155,39.660114,-20.645895,-0.25731203,41.3938
53,-29.052332,4.0859795,33.21988,-26.734743,3.2429643,34.82149,-24.889597,1.9757926,37.88417,-23.257551,0.5673752,39.566998,-21.012566,-0.049068525,41.222626
54,-29.253422,4.3170705,33.10162,-27.002335,3.4301372,34.775482,-25.234104,2.141382,37.800232,-23.636911,0.73923284,39.50076,-21.373365,0.1277962,41.118916
55,-29.388363,4.3974504,32.886726,-27.197346,3.468085,34.653084,-25.522825,2.1686313,37.7189,-23.96313,0.78277177,39.395893,-21.672237,0.18747456,41.01278
56,-29.503862,4.584589,32.829674,-27.371485,3.5412393,34.52443,-25.747421,2.2167325,37.65764,-24.207636,0.8336071,39.292156,-21.907839,0.24289045,40.8967
57,-29.57972,4.825684,32.683784,-27.49977,3.6901774,34.45476,-25.936695,2.2933433,37.581112,-24.398773,0.9093966,39.20069,-22.100494,0.3398958,40.77503
58,-29.654266,5.1126504,32.636974,-27.59698,3.8921618,34.365124,-26.05857,2.4357417,37.435055,-24.51345,1.015773,39.079514,-22.211596,0.4444855,40.67667
59,-29.738928,5.3192053,32.605698,-27.666563,4.040724,34.312668,-26.124186,2.5407262,37.385677,-24.582907,1.1293595,39.017887,-22.267109,0.57256305,40.59853
60,-29.788076,5.54179,32.54764,-27.736639,4.178242,34.192795,-26.19189,2.6595752,37.30589,-24.64078,1.2198902,38.9356,-22.325684,0.6703185,40.529613
61,-29.809938,5.7717404,32.491695,-27.796637,4.3275375,34.089935,-26.270962,2.7474222,37.159985,-24.717096,1.2740874,38.81197,-22.415789,0.7048756,40.507286
62,-29.793135,6.060022,32.50353,-27.87215,4.399227,34.0504,-26.380093,2.734232,37.128548,-24.80175,1.224977,38.75722,-22.512987,0.6223636,40.431385
63,-29.694551,6.293868,32.59595,-27.954502,4.3790016,34.038773,-26.486229,2.6406162,37.08388,-24.905586,1.0974839,38.78125,-22.604729,0.49016765,40.43604
64,-29.544512,6.484358,32.607758,-27.993668,4.3912234,34.032917,-26.527754,2.613418,37.03533,-24.95205,1.0453892,38.780155,-22.65875,0.4064561,40.410084
65,-29.49868,6.5208993,32.607952,-28.016375,4.390292,34.01223,-26.561342,2.5995464,37.024677,-24.988028,1.0081832,38.781933,-22.698957,0.3667604,40.421543
66,-29.483654,6.5320654,32.605976,-28.046537,4.376332,34.012493,-26.597816,2.5849242,37.03399,-25.022839,0.975911,38.746143,-22.738758,0.30417857,40.427544
67,-29.452248,6.5416775,32.63548,-28.043032,4.3773274,34.020233,-26.602549,2.586249,37.03345,-25.038897,0.95873475,38.755527,-22.766716,0.26758733,40.46048
68,-29.43208,6.5408907,32.65106,-28.046404,4.380437,34.03061,-26.608366,2.585687,37.040638,-25.056551,0.94263774,38.760944,-22.802631,0.23616652,40.502506
69,-29.416826,6.5478578,32.664364,-28.044458,4.3866863,34.041832,-26.609898,2.5867298,37.048866,-25.067343,0.93227404,38.75437,-22.820509,0.23284768,40.50843
70,-29.392141,6.5492954,32.665703,-28.031794,4.3958983,34.033726,-26.60669,2.589636,37.045826,-25.075937,0.92416346,38.75834,-22.83185,0.21914507,40.510555
71,-29.365288,6.549544,32.670113,-28.01796,4.404926,34.054573,-26.597311,2.5893838,37.062862,-25.081553,0.9184562,38.767296,-22.839302,0.20456791,40.516045
72,-29.357758,6.5652275,32.672634,-28.01293,4.4120197,34.072212,-26.594227,2.5885932,37.070763,-25.084986,0.9107142,38.77384,-22.835226,0.20154366,40.514194
73,-29.358946,6.565703,32.674435,-28.016878,4.413279,34.075417,-26.601639,2.5850449,37.065113,-25.09507,0.90443146,38.77265,-22.8439,0.1894011,40.508118
74,-29.361357,6.567855,32.67467,-28.01946,4.4140577,34.078068,-26.608135,2.577873,37.063965,-25.106571,0.8926254,38.77636,-22.857048,0.17510019,40.511456
75,-29.366005,6.569821,32.679066,-28.029404,4.4151244,34.085342,-26.620394,2.5779223,37.074055,-25.11706,0.8876583,38.778763,-22.866837,0.16771935,40.520153
76,-29.366709,6.5702934,32.678066,-28.03496,4.4154825,34.086617,-26.62782,2.5709677,37.07269,-25.123695,0.87894374,38.78123,-22.87183,0.1601977,40.50945
77,-29.368237,6.5679326,32.677166,-28.035944,4.413556,34.085857,-26.628172,2.5680454,37.070736,-25.13231,0.87111676,38.790817,-22.874125,0.15057495,40.505173
78,-29.36482,6.554458,32.67158,-28.037416,4.4122715,34.08698,-26.645006,2.5595083,37.086277,-25.135298,0.8665829,38.79268,-22.877344,0.14648953,40.50356
79,-29.37319,6.5487065,32.671272,-28.044933,4.4071302,34.0862,-26.650372,2.550395,37.080566,-25.139765,0.8605361,38.796368,-22.87663,0.14495705,40.50466
80,-29.386045,6.5469375,32.680477,-28.048763,4.3991227,34.072655,-26.664995,2.5252564,37.074352,-25.138151,0.84314847,38.79113,-22.875534,0.13696161,40.50264
81,-29.44111,6.5551786,32.70055,-28.051392,4.39483,34.063072,-26.65034,2.507194,37.0576,-25.120142,0.8268442,38.78276,-22.849127,0.13493247,40.496773
82,-29.49052,6.5143633,32.69278,-28.020758,4.3683834,34.04549,-26.605387,2.4877064,37.01302,-25.078453,0.8016312,38.776646,-22.798212,0.11652643,40.498116
