scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
34,-26.121744,6.694581,34.21013,-24.727179,4.8767104,35.819965,-23.454836,2.5468833,38.626785,-21.681307,0.4229199,40.551132,-20.456095,-0.91452664,42.135857
35,-26.121641,6.6945806,34.209705,-24.727602,4.873985,35.8193,-23.45482,2.5476213,38.62614,-21.683393,0.42158556,40.55323,-20.456768,-0.9145833,42.133656
36,-26.121552,6.694702,34.210068,-24.728083,4.8726983,35.819473,-23.455431,2.547011,38.625866,-21.681849,0.41950268,40.54886,-20.457085,-0.9152079,42.132294
37,-26.122011,6.695519,34.210747,-24.728506,4.872826,35.82029,-23.456001,2.5466723,38.626785,-21.682247,0.41960168,40.549667,-20.455875,-0.91519994,42.134705
38,-26.122087,6.6954827,34.210457,-24.728489,4.8733683,35.820587,-23.456913,2.5462768,38.62857,-21.682625,0.41842836,40.550777,-20.455744,-0.9151315,42.13399
39,-26.127447,6.6804824,34.184006,-24.729038,4.867573,35.821106,-23.45759,2.5413635,38.62245,-21.683153,0.41531265,40.550537,-20.456026,-0.9164178,42.13399
40,-26.136583,6.678347,34.1891,-24.730799,4.8619986,35.821453,-23.458696,2.5380898,38.624207,-21.684978,0.41120943,40.553337,-20.45608,-0.9194485,42.135365
41,-26.13924,6.674467,34.19671,-24.734211,4.8534536,35.831474,-23.463356,2.5351174,38.62793,-21.686136,0.40814286,40.554543,-20.456442,-0.9199276,42.134216
42,-26.140923,6.674189,34.198673,-24.736523,4.852529,35.834503,-23.466415,2.5310729,38.6297,-21.68641,0.4073794,40.553703,-20.45652,-0.9223316,42.134888
43,-26.141064,6.672213,34.196205,-24.734066,4.8518143,35.833904,-23.467281,2.5288572,38.632294,-21.68658,0.40585187,40.554146,-20.456327,-0.9220928,42.13585
44,-26.14085,6.670064,34.196377,-24.734932,4.848864,35.834854,-23.468763,2.526742,38.626778,-21.68707,0.40518633,40.55587,-20.456387,-0.9225117,42.134953
45,-26.145113,6.664724,34.1925,-24.741198,4.842699,35.83282,-23.474022,2.5219283,38.627945,-21.689695,0.40260008,40.556053,-20.457401,-0.9254746,42.133354
46,-26.147268,6.6621313,34.185028,-24.742912,4.842013,35.83529,-23.47699,2.5187898,38.622658,-21.689919,0.40254366,40.555367,-20.458115,-0.92730415,42.13233
47,-26.14806,6.6590357,34.184364,-24.741962,4.8442345,35.83948,-23.4765,2.518447,38.62338,-21.690323,0.40232322,40.55606,-20.458284,-0.9293065,42.13101
48,-26.152443,6.6554933,34.18134,-24.746866,4.8407197,35.839,-23.476738,2.5164711,38.62047,-21.691845,0.39990088,40.55628,-20.458586,-0.93317974,42.12991
49,-26.153502,6.6526203,34.18281,-24.74803,4.8354487,35.839058,-23.478594,2.5146663,38.619507,-21.692135,0.3986863,40.55716,-20.460365,-0.93330234,42.132652
50,-26.155725,6.647944,34.173054,-24.749817,4.83415,35.8413,-23.47951,2.5106313,38.61356,-21.692974,0.3959407,40.55714,-20.46221,-0.9349258,42.13575
51,-26.156551,6.644077,34.169106,-24.750177,4.830164,35.841675,-23.480612,2.5096927,38.614803,-21.694916,0.39588773,40.561512,-20.464846,-0.9357177,42.13996
52,-26.164944,6.645496,34.179058,-24.753614,4.825768,35.846146,-23.48168,2.5065317,38.61633,-21.693981,0.39200437,40.56063,-20.46267,-0.9381303,42.13623
53,-26.167679,6.635963,34.179527,-24.75583,4.8212614,35.841595,-23.483229,2.503031,38.619232,-21.694813,0.39088652,40.56291,-20.46187,-0.9382032,42.13587
54,-26.169487,6.6290603,34.18139,-24.758327,4.816369,35.836193,-23.483671,2.502844,38.6184,-21.695421,0.38983974,40.564552,-20.46144,-0.9395588,42.13736
55,-26.166939,6.625714,34.18084,-24.759249,4.8153787,35.843353,-23.484802,2.500259,38.620174,-21.695358,0.38785613,40.566113,-20.461195,-0.94153756,42.139496
56,-26.169184,6.6263175,34.183712,-24.7592,4.814393,35.847313,-23.485577,2.4993465,38.621323,-21.695398,0.3880052,40.565998,-20.461332,-0.9423981,42.139072
