scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,-26.036823,6.2327104,34.001514,-24.646255,4.3854785,35.565083,-23.672922,1.9599575,38.453045,-22.148167,-0.28889543,40.46877,-20.7788,-1.4752195,42.08131
1,-26.038097,6.2290134,33.997017,-24.648727,4.379321,35.558113,-23.673069,1.9564666,38.449986,-22.148766,-0.29198262,40.471413,-20.77924,-1.475663,42.076397
2,-26.03606,6.2235613,33.993996,-24.645466,4.377603,35.558506,-23.672787,1.9554386,38.45043,-22.147625,-0.293134,40.469265,-20.777199,-1.4778477,42.07376
3,-26.036068,6.219032,33.991016,-24.645002,4.371771,35.555058,-23.671059,1.9501655,38.451065,-22.146925,-0.29555517,40.46778,-20.775854,-1.4792576,42.070515
4,-26.035686,6.2164083,33.989628,-24.643942,4.3697824,35.5565,-23.670872,1.9500057,38.451897,-22.146103,-0.29751566,40.467392,-20.775265,-1.4799618,42.068897
5,-26.041685,6.2046947,33.996536,-24.643526,4.360273,35.548916,-23.672325,1.9407173,38.45853,-22.147417,-0.30693245,40.46639,-20.774235,-1.4853361,42.06912
6,-26.052183,6.186869,33.983845,-24.652061,4.348418,35.547443,-23.677597,1.9258522,38.46064,-22.151394,-0.32013544,40.465305,-20.78062,-1.4968616,42.08441
7,-26.052055,6.176984,33.98249,-24.651596,4.3421574,35.550926,-23.679213,1.9200644,38.463715,-22.152035,-0.3234493,40.46656,-20.778433,-1.5004094,42.08179
8,-26.046669,6.179156,33.975895,-24.6456,4.3405843,35.54202,-23.678232,1.9202876,38.46226,-22.149578,-0.32561463,40.461716,-20.776737,-1.5014735,42.07848
9,-26.046356,6.1767464,33.9787,-24.64547,4.3393745,35.542942,-23.677176,1.9202491,38.46179,-22.149586,-0.32554978,40.46165,-20.776377,-1.503591,42.079082
10,-26.048986,6.167778,33.975403,-24.646832,4.3341203,35.54138,-23.678337,1.9162688,38.460686,-22.149687,-0.32928836,40.463963,-20.776318,-1.5057706,42.07937
11,-26.049374,6.1618466,33.97254,-24.64703,4.3269696,35.538784,-23.677252,1.9141188,38.460564,-22.149794,-0.332142,40.465084,-20.776028,-1.5072979,42.07847
12,-26.04942,6.1646647,33.97298,-24.646101,4.3273926,35.542145,-23.677137,1.9141184,38.46064,-22.14965,-0.33340237,40.465466,-20.77521,-1.5084314,42.077312
13,-26.045866,6.1603384,33.982517,-24.643744,4.3258743,35.538784,-23.677742,1.9139435,38.46143,-22.14878,-0.3332776,40.468857,-20.775703,-1.5107634,42.07967
14,-26.045925,6.158869,33.982086,-24.647875,4.323307,35.542725,-23.677275,1.9138404,38.461197,-22.148485,-0.33390567,40.47259,-20.775808,-1.5111251,42.079716
15,-26.04836,6.1593113,33.982773,-24.649471,4.3189692,35.546776,-23.679493,1.9102851,38.463997,-22.15009,-0.33755022,40.471844,-20.773447,-1.5110455,42.076313
16,-26.052395,6.1489205,33.97886,-24.650875,4.3101172,35.547123,-23.682386,1.9061407,38.462498,-22.151749,-0.34092486,40.47246,-20.77138,-1.5122944,42.072746
17,-26.054953,6.1458087,33.976723,-24.655142,4.307983,35.552605,-23.685595,1.9005713,38.45478,-22.153526,-0.34408024,40.470978,-20.775196,-1.5131692,42.079216
