scorer,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
32,949.9667,792.7874,0.37692538,882.4026,647.1061,0.8612441,868.6166,453.27695,0.68231213,858.175,297.55634,1.0,837.59796,70.72207,0.5590149
33,949.8434,792.7839,0.3930806,882.4715,647.07214,0.85371757,868.63416,453.16995,0.7047492,858.3113,297.49503,1.0,837.5446,70.72413,0.55783975
34,949.8609,792.7084,0.38007623,882.46875,647.0544,0.84713197,868.6097,453.18106,0.7105098,858.25037,297.33255,1.0,837.2862,70.50303,0.55478704
35,949.8299,792.65155,0.3718969,882.45026,647.0036,0.84511745,868.5105,453.23187,0.73182565,858.243,297.26837,1.0,837.21,70.4631,0.5461046
36,949.8921,792.63776,0.37338558,882.4853,646.9226,0.8356477,868.6435,453.1634,0.69370955,858.1717,297.214,1.0,837.04755,70.31008,0.54859436
37,949.80927,792.62976,0.36528495,882.42896,646.99615,0.8743188,868.53485,453.2061,0.73573905,857.96826,297.37906,1.0,836.8947,70.57669,0.54364294
38,949.9088,792.7604,0.38355362,882.46014,647.02814,0.8780791,868.52545,453.18356,0.6981781,858.0009,297.4044,1.0,836.6527,70.785324,0.5660045
39,949.952,792.7835,0.39119577,882.34357,647.11194,0.843486,868.64514,453.26404,0.7215439,857.7916,297.59256,1.0,836.6388,70.74215,0.5567939
40,950.0165,792.7088,0.40294948,882.32697,647.1711,0.82186687,868.59344,453.3562,0.73430425,857.84595,297.48444,1.0,836.6342,70.79344,0.54907995
41,949.95605,792.6376,0.40924883,882.3654,647.12964,0.8411591,868.5335,453.22134,0.77094865,857.837,297.6846,1.0,836.6062,70.84355,0.53169876
42,949.93616,792.6534,0.40497282,882.34076,647.10486,0.83339375,868.5629,453.28256,0.77174973,857.82214,297.48105,1.0,836.6461,70.92616,0.5337755
43,949.9556,792.5824,0.40594164,882.41077,647.1069,0.84899527,868.4767,453.18353,0.77081794,857.86633,297.4665,1.0,836.66315,70.84232,0.54353184
44,949.98193,792.5686,0.41407436,882.4448,647.05005,0.87040514,868.4823,453.1971,0.79656225,857.8447,297.5744,1.0,836.7808,70.82104,0.56885177
45,949.962,792.62756,0.41359794,882.44324,646.97675,0.889498,868.4139,453.20578,0.76571745,857.8668,297.52454,1.0,836.8952,70.8502,0.5727739
46,949.9442,792.64575,0.4138983,882.3825,647.00885,0.8721229,868.4235,453.12958,0.7772444,858.05444,297.40182,1.0,836.9346,70.69125,0.5755825
47,949.96545,792.6134,0.41160923,882.48334,646.99426,0.88614726,868.2689,453.1311,0.78564525,858.1147,297.21307,1.0,837.0253,70.71102,0.57787347
48,949.9625,792.59784,0.4151439,882.52673,646.7087,0.8535605,868.2104,453.02676,0.77341247,858.13934,297.0981,1.0,837.0361,70.49289,0.59422725
49,949.94116,792.3215,0.40697375,882.4871,646.6635,0.8814081,868.18604,453.1029,0.7339209,858.2396,297.16843,1.0,837.01544,70.40634,0.58625054
50,949.9421,792.40845,0.4021788,882.4412,646.68756,0.8795857,868.0789,453.19995,0.715695,858.24475,297.21667,1.0,837.0408,70.29099,0.5868652
51,949.92377,792.4027,0.40292498,882.23346,646.58514,0.8861523,868.00714,453.0439,0.6861084,858.13416,297.18857,1.0,837.07916,70.22619,0.59311974
52,949.98944,792.2951,0.39665595,882.1976,646.4362,0.8601973,867.624,452.4816,0.80283105,857.9734,297.03326,1.0,837.0047,70.27631,0.5970782
53,949.944,792.17236,0.40368208,882.17474,646.4284,0.8581419,867.9557,452.69058,0.70163,857.8361,297.13016,1.0,836.95605,70.20379,0.57335466
54,949.9406,792.0423,0.39569774,882.17523,646.44763,0.8526669,868.115,452.72195,0.67704725,857.6666,297.1128,1.0,836.92975,70.13185,0.55174387
55,949.9899,792.0016,0.3989637,882.1412,646.4021,0.85688317,868.0759,452.75632,0.6763365,857.6959,297.0642,1.0,836.9171,70.277466,0.5623796
56,950.03723,791.7421,0.39668503,882.0407,646.38525,0.84860367,868.0926,452.85312,0.6614045,857.6922,296.9981,1.0,837.02155,70.264046,0.5764988
57,949.9977,791.7504,0.39302316,882.041,646.43506,0.86498797,868.11896,452.67123,0.6594368,857.93854,296.62912,1.0,837.0465,70.04866,0.5747242
58,950.0178,791.76953,0.40324143,882.0347,646.4761,0.86739707,867.94293,452.73767,0.68142146,857.95654,296.56305,1.0,837.09314,69.96198,0.5749243
59,949.99097,791.7987,0.41550493,882.0455,646.48755,0.8842012,867.92444,452.73505,0.68367344,858.03503,296.413,1.0,837.11237,69.672295,0.5469438
60,949.9787,791.7647,0.41099152,882.10034,646.4675,0.8741572,867.93195,452.72134,0.67896056,858.11646,296.22092,1.0,837.0746,69.63398,0.5631729
61,949.9694,791.7651,0.395812,882.0007,646.4035,0.8757375,867.8572,452.7249,0.68525964,858.0332,296.33917,1.0,837.1212,69.621086,0.5422903
62,949.96277,791.7588,0.3954441,881.9868,646.34326,0.8647764,867.8913,452.71127,0.68764216,857.98645,296.38345,1.0,837.01434,69.51016,0.5501205
63,949.9477,791.77673,0.401294,882.0454,646.3165,0.8847658,867.78015,452.8694,0.6938131,857.9864,296.43967,1.0,837.18475,69.47167,0.5635806
64,949.9755,791.77,0.4081563,882.0654,646.18066,0.8723787,867.9512,452.736,0.6750442,857.84186,296.52084,1.0,837.0657,69.516914,0.5533422
65,949.97485,791.7657,0.40197536,881.99536,646.2893,0.87698334,867.8468,452.84512,0.6958714,857.91077,296.4364,1.0,836.92017,69.35848,0.51511997
66,949.96136,791.7514,0.4000585,881.9947,646.33905,0.8527215,867.8042,452.92514,0.6926822,857.94604,296.40176,1.0,837.09247,69.515686,0.53676856
67,949.9682,791.7627,0.40548262,881.958,646.3388,0.8627422,867.7485,452.94598,0.6931765,857.98895,296.3953,1.0,837.006,69.47577,0.52602893
68,949.95917,791.76685,0.40853143,882.07117,646.1887,0.86780465,867.83167,452.6653,0.68755764,858.0736,296.365,1.0,836.91846,69.3812,0.50110596
69,950.2418,791.757,0.41812354,882.22003,646.23096,0.89309597,867.833,452.66702,0.681751,858.0612,296.3353,1.0,836.9309,69.39382,0.50097746
70,950.87103,792.4211,0.42920431,882.36487,646.20013,0.8762301,867.1921,452.41754,0.65290874,857.117,296.5865,1.0,836.67126,69.63176,0.5398087
71,964.4295,789.52203,0.799543,889.2174,645.2396,0.84308386,865.2624,451.9301,0.62351555,851.8879,295.53506,1.0,833.36536,67.28928,0.5279692
