scorer,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
32,972.7649,788.6434,0.5727764,813.52344,618.5067,0.9472403,801.51245,428.2341,0.8316304,799.61145,279.16946,1.0,794.9449,56.34168,0.52938026
33,972.6602,788.5779,0.56856126,813.66205,618.4854,0.96759504,801.45886,428.1073,0.83146644,799.5923,279.38193,1.0,794.9888,56.35918,0.51839745
34,972.74915,788.5692,0.575505,813.76324,618.5596,0.9478407,801.5545,428.27173,0.85037506,799.5172,279.30298,1.0,794.99304,56.442272,0.5244096
35,972.73285,788.4447,0.5688526,813.741,618.56757,0.9472019,801.5938,427.86264,0.80354106,799.3877,279.29858,1.0,794.95386,56.299744,0.5178059
36,972.75275,788.401,0.55916536,813.74536,618.5914,0.9324456,801.5715,428.29654,0.82525283,799.18036,279.57275,1.0,794.9572,56.50765,0.5044315
37,972.7814,788.3774,0.550446,813.7065,618.60565,0.9255311,801.35175,428.21695,0.8382444,799.15533,279.65802,1.0,794.97705,56.454544,0.5077372
38,972.777,788.2608,0.5527005,813.379,618.69525,0.9411656,801.29956,428.12393,0.8206556,799.1184,279.6297,1.0,794.9843,56.38422,0.51582444
39,894.80945,759.55994,0.5551229,813.36084,618.69696,0.93684345,801.4003,428.15012,0.8256549,799.08777,279.52512,1.0,794.9608,56.49857,0.50615644
40,894.7926,759.605,0.5547264,813.413,618.7494,0.9322705,801.0675,427.7834,0.7673929,798.9771,279.58173,1.0,794.97516,56.666054,0.503941
41,894.7765,759.6143,0.5549087,813.44556,618.4981,0.93168557,801.4235,428.14676,0.8155483,799.15405,279.5648,1.0,794.96814,56.581566,0.49531233
42,894.8135,759.5377,0.55123836,813.45264,618.51154,0.92832357,801.4621,428.05414,0.8170564,799.19415,279.46777,1.0,794.98193,56.430832,0.49721584
43,894.8012,759.57104,0.5512169,813.5404,618.52313,0.9134278,801.2619,427.91827,0.80465,799.3828,279.2319,1.0,795.12744,56.352123,0.5058488
44,894.8926,759.4575,0.56322855,813.5205,618.47284,0.9177844,801.2061,428.09644,0.85014397,799.4836,279.13498,1.0,795.1537,56.20043,0.5321085
45,894.8364,759.5795,0.55074847,813.5412,618.461,0.9436544,801.3179,428.1391,0.8488092,799.4426,279.16333,1.0,795.13385,56.296494,0.53601164
46,894.8294,759.6472,0.5418852,813.5678,618.487,0.94470125,801.3699,428.10162,0.7648337,799.3708,279.21558,1.0,795.0243,56.22644,0.5575052
47,894.8317,759.65424,0.53779775,813.5581,618.41095,0.9590381,801.3641,428.16266,0.7572982,799.3884,279.19815,1.0,794.982,56.129585,0.5473005
48,972.7199,788.07434,0.53936917,813.6061,618.4061,0.94913507,801.3908,428.02588,0.7644909,799.2105,279.17227,1.0,795.0457,56.165894,0.55127525
49,972.6818,788.118,0.5501228,813.6205,618.3791,0.9490536,801.3517,428.0386,0.8015331,799.292,279.18,1.0,794.94214,56.119736,0.5421985
50,972.74365,788.11786,0.54587585,813.6057,618.3699,0.9422993,801.3822,428.00885,0.820922,799.3127,279.21863,1.0,794.9566,56.147743,0.53666365
51,972.76855,788.15405,0.54070866,813.6249,618.36053,0.94905156,801.4539,428.04303,0.8246567,799.30145,279.23758,1.0,794.95,56.13971,0.5345003
52,972.7072,788.1475,0.5367284,813.64215,618.40735,0.95958054,801.4263,428.08948,0.81836873,799.37225,279.2287,1.0,794.9017,56.117603,0.51405513
53,894.90393,759.6942,0.5704083,813.6139,618.41925,0.97322184,801.5333,428.055,0.869944,799.4569,279.23434,1.0,794.92255,56.134747,0.5118559
54,894.9272,759.7516,0.5914366,813.6157,618.41516,0.9670308,801.55304,428.13184,0.86181384,799.43054,279.2846,1.0,794.9388,56.06857,0.52773184
55,895.049,759.57904,0.5492022,813.6101,618.41675,0.9701206,801.5273,428.1158,0.8628824,799.422,279.19186,1.0,795.0006,56.118862,0.5241331
56,894.8485,759.79346,0.58802533,813.57623,618.4056,0.9557936,801.4718,427.83994,0.83865196,799.497,279.1532,1.0,795.1306,56.00963,0.5168327
57,894.9064,759.72955,0.5493305,813.6792,618.31744,0.9419861,801.7473,427.93686,0.8707311,799.5188,279.20706,1.0,795.1045,56.066334,0.52418405
58,972.7744,788.40845,0.5565493,813.7592,618.24585,0.95849776,801.7818,427.88647,0.8555084,799.48004,279.17746,1.0,795.2613,55.9259,0.52696383
59,895.0779,759.4539,0.5619536,813.76483,618.16144,0.9377875,801.82135,427.96075,0.8700662,799.4976,279.15488,1.0,795.30835,55.939125,0.5340912
60,895.0189,759.27893,0.5928463,813.76575,618.2592,0.9570149,801.7773,427.75494,0.84214586,799.5212,279.21463,1.0,795.3347,55.88687,0.53183055
61,895.01843,759.30304,0.5835806,813.7597,618.28485,0.944441,801.63007,427.86115,0.88253814,799.6724,279.14307,1.0,795.1538,56.007286,0.50471866
62,894.9895,759.43567,0.5860124,813.7295,618.31854,0.9335169,801.5173,428.113,0.88616586,799.3337,279.4009,1.0,795.2457,56.21175,0.52174217
63,894.9832,759.48834,0.58578306,813.7008,618.367,0.9573845,801.55164,428.14487,0.89025956,799.2252,279.68036,1.0,795.14264,56.29601,0.49881187
64,894.9105,759.56415,0.58778656,813.4889,618.38477,0.95605975,801.38495,427.84824,0.89088875,799.1565,279.71097,1.0,795.1733,56.468884,0.5107937
65,894.9312,759.5323,0.5818974,813.58167,618.6483,0.9110682,801.3369,427.87674,0.86444986,799.0725,279.70914,1.0,795.1477,56.46873,0.4929501
66,895.6657,759.6608,0.60696244,813.94073,619.0205,0.927592,802.0186,427.8714,0.8720755,799.8996,279.5625,1.0,795.47754,56.49913,0.49739408
67,902.0852,760.7535,0.5514289,820.7859,619.22754,0.9063044,803.7455,428.34903,0.95352966,800.0218,279.58105,1.0,795.6515,56.512234,0.48497954
68,937.7377,750.23517,0.8510537,844.5618,617.034,0.8636572,811.3967,428.17792,0.8850488,799.42755,278.02908,1.0,794.3781,55.209866,0.4987008
69,981.71576,739.4462,0.9414522,875.45416,613.0545,0.7921843,822.93787,428.22906,0.8645118,803.21967,275.37695,1.0,797.70996,52.28992,0.4793204
70,1025.3899,719.74506,0.87487423,906.9899,606.49133,0.84590036,835.8951,427.58698,0.80430454,808.2954,273.95627,0.9440103,800.32294,51.04392,0.5475393
71,1065.9773,697.22424,0.76701975,935.95435,599.1688,0.8556897,846.6988,427.5847,0.7746857,810.6302,273.8825,0.9224719,801.0651,49.973694,0.5502625
72,1103.0541,672.89355,0.7487748,964.22095,587.61127,0.7734367,860.07837,424.7773,0.7850985,813.8006,272.60297,1.0,802.5031,48.33943,0.5223438
73,1138.6855,647.8057,0.7738687,992.4934,575.157,0.769097,874.1517,419.60092,0.7798384,820.3298,269.72482,1.0,807.3581,44.837944,0.54803884
74,1168.2482,620.56976,0.710092,1018.3168,561.35486,0.84471184,886.9223,413.9739,0.63692576,826.6375,265.86948,0.950001,811.6858,41.29403,0.4793661
75,1169.2802,619.01587,0.754671,1020.2042,558.0689,0.87577176,889.9476,411.68198,0.63976455,827.4159,263.7485,0.95035875,812.14813,39.89165,0.48045668
76,1161.5752,629.6453,0.794076,1011.92224,565.67474,0.72461987,891.45874,411.45023,0.7728539,829.4442,263.93704,0.8983807,812.21234,41.018642,0.52353305
77,1116.3191,672.0602,0.7129656,980.47125,584.7624,0.82665867,883.62866,416.6193,0.70217437,834.4804,265.53476,0.96257794,818.3175,42.697662,0.4280983
78,1059.6182,711.94775,0.7732041,936.1587,602.92993,0.79360956,864.71967,424.33765,0.6513718,828.0136,272.13776,1.0,813.10986,49.853775,0.53805614
79,977.5055,743.3046,0.6567976,877.4078,615.49445,0.85088056,844.69086,427.00873,0.7354038,824.0065,277.61105,0.9273937,809.12915,54.95427,0.48727232
80,875.4898,762.00964,0.7232014,813.4325,616.8205,0.76370555,815.65344,427.11124,0.73699856,813.5399,281.33102,1.0,802.5303,58.140694,0.39357913
81,766.38416,762.4737,0.6576981,738.9502,603.3037,0.7502667,807.43274,355.6923,0.38318878,807.346,285.03458,0.9272072,798.60345,61.39037,0.34407336
82,666.4946,742.7928,0.5594329,671.63995,583.433,0.71630865,761.9621,414.24088,0.12536561,794.268,287.19165,0.96779686,790.0848,63.10767,0.5719116
83,579.643,711.8061,0.5411478,616.71594,554.22675,0.70186394,727.2786,403.0985,0.5385741,782.60736,287.72748,0.9992259,781.7059,65.033775,0.41332573
84,506.86978,668.0243,0.8354613,573.44354,524.26074,0.59975165,707.2975,392.19034,0.41189715,773.6678,287.8033,0.92121845,776.11835,66.317566,0.55880594
85,458.40546,631.02686,0.747523,547.67163,500.42462,0.73660016,691.63544,379.75818,0.5358379,766.4746,287.5041,0.97782135,772.2436,67.49184,0.5801918
86,454.60083,684.40857,0.8231411,535.0151,488.33682,0.5523337,683.6707,375.78656,0.6055573,761.2676,286.7019,0.92055416,769.37354,67.05917,0.5477138
87,458.86206,634.2851,0.83781964,542.8923,499.54822,0.60905504,685.2432,378.68918,0.4917507,759.3995,284.62964,0.92733353,766.655,65.141075,0.41294718
88,544.4944,697.9123,0.45942816,586.9941,536.7101,0.67946607,708.3392,394.4635,0.41581184,766.9925,281.62643,0.9171286,770.64935,59.260136,0.36357644
