timestamp,raw,volts,angle
124034586587,2965,0.5559375,-132.65528805283964
124034613495,2941,0.5514375,-132.93235834058328
124034634120,2965,0.5559375,-132.65528805283964
124034657259,2943,0.5518125,-132.90926914993796
124034678522,2944,0.552,-132.8977245546153
124034699134,2963,0.5555625,-132.67837724348493
124034721917,2956,0.55425,-132.7591894107435
124034744910,2943,0.5518125,-132.90926914993796
124034767645,2979,0.5585625,-132.49366371832252
124034791226,2941,0.5514375,-132.93235834058328
124034813136,2973,0.5574375,-132.5629312902584
124034835318,2953,0.5536875,-132.79382319671146
124034856175,2958,0.554625,-132.7361002200982
124034877189,2942,0.551625,-132.9208137452606
124034901287,2968,0.5565,-132.62065426687167
124034924184,2947,0.5525625,-132.86309076864734
124034947321,2961,0.5551875000000001,-132.70146643413023
124034970301,2958,0.554625,-132.7361002200982
124034992135,2938,0.550875,-132.96699212655122
124035012953,2965,0.5559375,-132.65528805283964
124035035671,2936,0.5505,-132.9900813171965
124035058592,2945,0.5521875,-132.88617995929266
124035081761,2965,0.5559375,-132.65528805283964
124035105361,2961,0.5551875000000001,-132.70146643413023
124035128547,2949,0.5529375,-132.84000157800205
124035149521,2955,0.5540625,-132.77073400606614
124035171024,2945,0.5521875,-132.88617995929266
124035193931,2974,0.557625,-132.55138669493576
124035217615,2958,0.554625,-132.7361002200982
124035240324,2939,0.5510625,-132.95544753122857
124035262465,2971,0.5570625,-132.58602048090373
124035286547,2940,0.55125,-132.94390293590592
124035312397,2964,0.55575,-132.66683264816228
124035339262,2961,0.5551875000000001,-132.70146643413023
124035360362,2941,0.5514375,-132.93235834058328
124035382278,2972,0.55725,-132.57447588558108
124035403882,2929,0.5491875,-133.0708934844551
124035427946,2957,0.5544375,-132.74764481542084
124035449208,2956,0.55425,-132.7591894107435
124035471191,2959,0.5548125,-132.72455562477555
124035492400,2940,0.55125,-132.94390293590592
124035514673,2975,0.5578125,-132.5398420996131
124035536439,2952,0.5535,-132.8053677920341
124035557874,2937,0.5506875,-132.97853672187387
124035580162,2957,0.5544375,-132.74764481542084
124035615443,2972,0.55725,-132.57447588558108
124035643833,2938,0.550875,-132.96699212655122
124035666884,2967,0.5563125,-132.63219886219431
124035690218,2949,0.5529375,-132.84000157800205
124035711430,2940,0.55125,-132.94390293590592
124035734069,2977,0.5581875000000001,-132.51675290896782
124035756429,2934,0.550125,-133.01317050784183
124035780480,2966,0.556125,-132.64374345751696
124035803183,2945,0.5521875,-132.88617995929266
124035826162,2960,0.555,-132.7130110294529
124035848023,2967,0.5563125,-132.63219886219431
124035869640,2968,0.5565,-132.62065426687167
124035891017,2936,0.5505,-132.9900813171965
124035912995,2965,0.5559375,-132.65528805283964
124035935374,2956,0.55425,-132.7591894107435
124035956438,2948,0.55275,-132.85154617332472
124035977849,2939,0.5510625,-132.95544753122857
124035998206,2981,0.5589375,-132.4705745276772
124036023327,2942,0.551625,-132.9208137452606
124036048472,2963,0.5555625,-132.67837724348493
124036069110,2945,0.5521875,-132.88617995929266
124036092835,2952,0.5535,-132.8053677920341
124036114417,2980,0.55875,-132.48211912299985
124036139541,2944,0.552,-132.8977245546153
124036162674,2972,0.55725,-132.57447588558108
124036187088,2945,0.5521875,-132.88617995929266
124036210805,2940,0.55125,-132.94390293590592
124036234148,2969,0.5566875,-132.60910967154902
124036257722,2939,0.5510625,-132.95544753122857
