scorer,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radius_styloid_process,radius_styloid_process,radius_styloid_process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,307.73752,193.31961,0.83685887,775.4058,351.8269,0.8909218,908.46075,411.82083,0.7866585,1422.0767,528.4949,0.8860867,1760.4255,650.0528,0.87421393
1,307.5056,192.59079,0.85753727,774.85205,351.4673,0.9142744,907.62994,411.0631,0.78460264,1421.4254,527.1294,0.8281457,1759.0024,646.94904,0.88230497
2,308.78305,193.86148,0.8231809,776.88873,352.5007,0.85744524,910.04517,412.62286,0.73029757,1423.5002,528.41,0.87875783,1760.9685,647.7771,0.841051
3,308.48132,194.70093,0.766269,776.8205,352.4859,0.8616849,910.2359,412.8932,0.72840786,1423.5881,528.4957,0.8686903,1762.2528,649.04456,0.8288621
4,308.92087,195.95807,0.76188684,776.9738,351.78076,0.86247474,910.3986,413.5096,0.72326684,1423.8651,529.03937,0.872673,1762.3766,649.62946,0.8424533
5,308.9228,195.78296,0.77066606,776.946,351.35486,0.8654481,910.506,413.03473,0.7186461,1423.9506,528.5435,0.86027735,1762.37,648.9948,0.83798504
6,308.50656,196.60135,0.75735754,776.7881,352.89334,0.8442657,910.17725,413.8465,0.72629404,1423.6992,529.0516,0.87146485,1762.2322,649.47656,0.83673847
7,308.73032,194.76822,0.7772485,777.2955,351.21497,0.86526203,910.592,412.18652,0.7359527,1424.2668,528.1201,0.864332,1761.5193,647.7352,0.8481885
