scorer,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radius_styloid_process,radius_styloid_process,radius_styloid_process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
31,1542.6707,827.9022,0.8033324,1189.093,808.45654,0.85798675,1098.4427,801.1005,0.8804562,758.401,736.1391,0.9026386,559.197,711.80634,0.962857
32,1557.9142,842.55255,0.88923514,1189.183,809.461,0.85833794,1099.2299,802.53296,0.9137703,759.0582,737.95123,0.9314676,559.4236,713.3425,0.98734653
33,1554.4962,849.25903,0.88122624,1188.534,808.97534,0.8746669,1098.4708,801.63214,0.8654724,759.0633,736.9039,0.9005009,560.07056,712.15,0.9525782
34,1536.5979,850.5096,0.9028216,1186.2158,807.9485,0.78420144,1096.7473,798.9032,0.77041924,758.0217,734.024,0.8853038,559.7882,710.52545,0.97278607
35,1517.588,851.8776,0.94564867,1186.5833,807.5507,0.8037602,1095.9475,797.96454,0.7936384,757.58484,733.038,0.9009915,559.6016,709.82294,0.9941705
36,1504.0923,851.134,0.9137241,1185.5203,806.4767,0.79589576,1095.2676,797.5142,0.8297156,756.7851,732.3362,0.9423002,559.4639,709.5919,0.99256724
37,1500.4171,849.30743,0.9509465,1179.0938,803.70575,0.8591459,1090.8442,796.816,0.89308536,753.1582,731.88715,0.88683814,557.648,709.4753,1.0
38,1502.2087,847.5056,0.90682477,1172.3684,803.84576,0.8033016,1083.0742,797.24646,0.7989072,747.33685,733.05554,0.9181602,553.41064,710.3607,0.9285272
39,1515.4254,845.86334,0.88877356,1170.4828,804.3838,0.77426183,1081.1134,796.9685,0.78311557,746.43604,733.7816,0.89268255,553.02234,711.4871,0.84188855
40,1534.5376,842.7076,0.8448034,1175.2012,803.66046,0.77999455,1085.7532,796.4294,0.8275344,748.98834,732.39984,0.9341984,554.357,709.69727,0.96460557
