scorer,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
31,915.8214,1035.8673,0.70064396,869.7702,800.62415,0.8325846,853.62726,600.04596,0.67147714,841.8583,450.26498,1.0,791.3128,23.484617,0.509395
32,915.86127,1035.5677,0.6975822,869.78577,800.6509,0.87020147,853.73987,600.1115,0.7273716,841.96234,450.3408,1.0,791.4784,23.606853,0.52857345
33,915.9408,1035.8304,0.68713236,869.8627,800.6363,0.8444972,853.7272,600.0599,0.67813814,841.91925,450.4952,0.999191,791.73267,23.490906,0.524405
34,915.8845,1035.6393,0.66676855,869.81995,800.6128,0.8567096,853.634,599.9984,0.60509574,841.8219,450.50302,1.0,791.8923,23.444447,0.5232145
35,915.90875,1035.6171,0.65250087,869.8287,800.6015,0.85307837,853.6938,600.13043,0.63573474,841.8913,450.33853,1.0,791.8872,23.592815,0.5356034
36,915.7078,1035.6646,0.6724513,869.922,800.62665,0.8641351,853.6594,600.13257,0.6421837,841.8288,450.18964,1.0,791.5079,23.238747,0.5285419
37,915.9142,1035.6337,0.6979876,869.90063,800.5073,0.85817754,853.80914,600.1126,0.63434994,841.8729,450.2004,1.0,791.74554,23.580666,0.5527809
38,915.8831,1035.524,0.62678385,870.062,800.4731,0.8827989,853.8924,600.5094,0.6305897,841.9881,450.28802,1.0,792.27747,23.259888,0.5311552
39,916.0125,1035.3539,0.6016553,869.98737,800.52313,0.87122303,853.6598,600.3686,0.6467059,841.9109,450.20816,1.0,792.1234,23.28865,0.56819093
40,916.0327,1034.7456,0.5708031,869.9299,800.5542,0.85415864,853.84216,600.17914,0.631311,842.0145,450.23505,1.0,817.4966,223.40425,0.5447974
41,916.02136,1034.6501,0.5829147,869.92523,800.5639,0.8541215,853.85443,600.328,0.6401573,842.2107,450.22952,1.0,817.4729,223.33202,0.54829115
42,915.6946,1035.1044,0.5462526,870.0166,800.5528,0.8691249,853.8618,600.20685,0.6754646,842.3336,450.34958,1.0,817.64984,223.31984,0.54175305
43,915.4724,1035.3265,0.5704317,869.986,800.55884,0.8648772,853.9955,600.1457,0.6673861,842.5003,450.46576,1.0,817.69415,223.37354,0.5102655
44,915.27905,1035.4816,0.56425476,870.131,800.55194,0.84903604,854.14655,599.90137,0.71418256,842.5292,450.36978,1.0,817.68115,223.3481,0.49259377
45,915.7678,1035.1609,0.56396794,869.8505,800.5096,0.8824935,853.96796,600.034,0.7210234,842.35925,450.52216,1.0,817.7667,223.24751,0.54007375
46,915.7395,1035.582,0.5689538,869.7224,800.4404,0.8716562,853.9987,600.2185,0.76565456,842.2714,450.70874,1.0,817.7969,223.27124,0.5320836
47,915.83484,1034.7482,0.5510376,869.62103,800.35223,0.8440355,853.59174,600.1129,0.75819486,842.1228,450.62595,1.0,817.5763,223.17043,0.5748859
48,915.9279,1034.228,0.53208095,869.396,800.21985,0.8244434,853.18097,600.13214,0.7451956,841.9168,450.56647,0.9764213,817.45795,223.16011,0.5601031
49,915.80743,1033.9908,0.52557707,869.47516,800.2583,0.81060636,853.4314,600.1678,0.7492619,841.94244,450.64334,1.0,817.64557,223.22548,0.55989385
50,915.92346,1034.0557,0.52503985,869.47473,800.2576,0.81169945,853.51685,600.0418,0.70061004,841.96497,450.5701,0.9893706,817.67236,223.35112,0.52490264
51,915.88885,1034.0808,0.5305376,869.4806,800.26776,0.8150633,853.5209,600.4902,0.6809441,842.06146,450.21436,1.0,817.6851,223.28613,0.5672476
52,915.8658,1034.0876,0.5289232,869.50543,800.2318,0.8187543,853.4925,600.0332,0.688971,841.9341,450.16238,0.9956587,817.7361,223.21887,0.5401623
53,915.8642,1034.625,0.6130952,869.54694,800.2717,0.83196795,853.4872,600.1158,0.6903195,841.95984,450.29358,0.9931279,817.17694,222.9291,0.55032545
54,915.6369,1034.7322,0.6256788,869.5173,800.26605,0.81818914,853.696,600.00525,0.6904781,841.95544,450.33383,1.0,817.242,222.91516,0.5709825
55,915.6034,1035.0569,0.6171854,869.52405,800.2695,0.8148181,853.5663,600.3331,0.6896517,842.0592,450.07605,0.9982915,817.3032,222.97032,0.5269678
56,915.50024,1035.2485,0.63994616,869.55835,800.2743,0.8161477,853.62994,599.88556,0.7269067,842.05585,450.03967,1.0,792.3491,23.63025,0.48772848
57,915.5794,1035.172,0.6443918,869.601,800.2604,0.8334648,853.6042,599.9591,0.70169055,842.07635,450.18192,1.0,818.21747,223.44788,0.47212502
58,915.55347,1035.1779,0.6431723,869.6256,800.24615,0.82375944,853.8368,600.3335,0.6975237,841.93195,450.16687,1.0,818.3235,223.42566,0.47375137
59,915.4836,1035.1194,0.6428757,869.606,800.2457,0.8336832,853.7017,600.26276,0.7046906,841.9272,450.16623,1.0,818.2846,223.39383,0.5216501
60,915.58124,1034.9501,0.6572993,869.61743,800.25116,0.8382603,853.9657,600.1222,0.69290113,841.97656,450.0721,1.0,818.32336,223.37424,0.51262635
61,915.58075,1035.2273,0.6627071,869.499,800.1747,0.8401137,853.8842,600.21454,0.6858877,841.97314,450.1048,1.0,818.3373,223.29268,0.56031454
62,915.5297,1035.267,0.66549623,869.6301,800.22974,0.8239857,853.8972,599.8759,0.69782835,841.9597,450.17874,1.0,818.335,223.29637,0.5762392
63,915.7699,1035.2537,0.653186,869.5846,800.2477,0.837709,853.9835,600.2894,0.68799835,841.944,450.26822,0.97573984,817.5521,222.98575,0.61646354
64,915.93915,1034.9939,0.646293,869.5713,800.2532,0.8171548,853.6733,600.13715,0.67718005,841.66974,450.29028,0.995931,818.4324,223.4368,0.5846595
65,916.2044,1034.945,0.68303025,869.7827,800.34454,0.8361331,853.652,600.1537,0.6872722,841.7587,450.3525,0.9394662,817.5526,223.11513,0.5639228
66,917.2259,1035.021,0.7146206,870.027,800.423,0.8527402,853.7276,600.19604,0.68119055,841.89575,450.33215,0.9762068,817.5525,223.07222,0.58273625
67,906.37665,956.41724,0.4582615,872.29175,800.4805,0.812191,852.7542,600.45496,0.6882006,840.52905,450.6935,0.963044,791.9573,23.899263,0.59189534
68,928.4132,954.88403,0.91499007,884.0975,797.9538,0.7959348,853.4513,600.8405,0.7149999,837.42773,450.0193,1.0,789.719,23.822498,0.66554445
69,962.30054,946.4959,1.0,903.68976,795.0928,0.8048763,861.31793,601.11365,0.6586829,839.30786,449.19833,0.88786626,789.44635,22.72154,0.7149868
70,992.3508,938.8432,0.9182868,924.5459,792.30963,0.7518044,871.13715,599.56165,0.6319167,843.3936,448.34665,0.96858317,820.20355,222.58499,0.6471905
71,1019.17474,933.0387,0.8799542,942.8884,789.01465,0.68444014,879.867,599.75433,0.6445051,848.236,447.5508,1.0,823.8168,222.40501,0.6849301
72,1040.8578,925.7342,0.96261424,958.41693,785.3192,0.6479446,886.7764,599.44086,0.57808924,850.8234,447.74942,0.967255,825.256,222.40434,0.5936259
73,1060.7466,919.4688,0.72212464,973.10974,781.6482,0.8324105,893.79926,597.7308,0.7487436,853.69867,446.74457,0.93371457,799.65796,21.285475,0.57789147
74,1075.1952,911.7938,0.9043215,983.27795,778.3775,0.8100913,898.0451,597.5173,0.6258513,856.3711,446.34924,0.90578973,800.5199,20.757898,0.53094876
75,1085.8458,905.64355,0.76034135,992.0497,775.6615,0.72125685,901.8368,596.4094,0.6757637,857.33044,446.7427,0.939331,800.83746,19.988544,0.49971402
76,1099.3782,901.2221,0.83815193,1000.50397,772.65546,0.68177444,906.2305,595.34485,0.6913208,858.58813,446.28226,0.91964257,801.80347,19.591896,0.5242398
77,1110.739,894.2354,0.6661366,1009.4498,767.83636,0.671882,910.3162,594.3343,0.6307228,860.539,445.5439,0.9194377,802.2618,19.456093,0.51781654
78,1121.9741,888.56244,0.68499446,1018.3791,764.9963,0.7037893,913.9393,593.373,0.5590072,862.892,444.401,0.9667702,802.65125,18.419104,0.5740127
79,1133.3386,882.419,0.6777774,1026.551,761.1549,0.7047196,918.5774,592.2931,0.6581083,865.2801,443.60696,0.9584448,804.13403,18.125774,0.6274679
80,1144.2999,874.3009,0.82536733,1033.2261,758.9119,0.66163325,921.3746,590.59186,0.6128398,866.5385,443.26114,0.94634676,805.07935,18.099722,0.6298318
81,1150.7178,871.3363,0.81323075,1038.367,755.53973,0.59431833,924.19336,589.31226,0.6014331,868.52747,442.23108,0.8934212,806.2688,17.628618,0.5888044
82,1156.8932,867.31964,0.66615754,1042.6732,753.2318,0.6921678,925.9071,588.4929,0.6749894,869.4423,442.06137,0.9396809,838.9576,217.86272,0.5974689
83,1164.766,859.86096,0.8145152,1048.43,748.8454,0.8020016,929.346,585.7646,0.6543659,871.7435,440.78845,0.9316288,807.658,15.411315,0.5611976
84,1173.8802,855.11804,0.53213733,1055.25,744.7379,0.6607783,934.4591,583.54395,0.6259951,874.4401,438.8859,1.0,809.4355,14.978941,0.62860215
85,1183.4077,846.0424,0.8357269,1063.7261,740.51965,0.6398867,939.70435,582.70905,0.71905565,878.18854,437.14075,0.9738067,845.2705,214.35608,0.5467456
86,1193.0691,839.8469,0.576482,1071.9097,736.1766,0.62942773,943.72473,580.2932,0.6189703,880.87994,434.5562,0.9709506,815.2365,11.510303,0.5435661
87,1200.606,835.25977,0.8495973,1076.5553,731.9761,0.68636984,947.3751,578.1165,0.5500575,883.9586,433.50266,1.0,849.5455,209.63058,0.5735672
88,1207.0952,828.6283,0.6540512,1082.441,728.00037,0.7094175,949.6677,575.8261,0.6273557,885.85846,431.0898,0.8968078,851.4618,208.52618,0.56614
89,1213.144,822.6809,0.6542721,1086.4376,724.8152,0.60055727,952.8469,574.0055,0.6239331,887.2467,429.62857,0.9620149,852.8955,206.94928,0.5631992
90,1221.0504,816.02734,0.7993927,1091.2552,720.85114,0.63348395,955.8069,572.2615,0.6862775,888.467,428.0422,0.9081569,853.7454,205.13916,0.57664907
91,1228.0432,809.1558,0.5550039,1097.4514,716.00793,0.73535794,959.1886,570.0003,0.6219159,890.27423,427.04105,0.99516505,855.8614,204.32745,0.66631883
92,1236.1783,803.47894,0.7553515,1103.768,712.06323,0.6675132,962.38403,569.18365,0.7455773,892.3475,425.66226,0.9414844,857.17145,202.79475,0.5528428
93,1245.046,795.4266,0.72828996,1110.3654,708.7637,0.7018636,967.0177,567.2718,0.7255234,894.4731,425.0688,0.8414269,858.99915,202.14719,0.56194234
94,1251.4136,791.0169,0.7242059,1117.5682,703.84894,0.7722966,971.535,566.056,0.8495253,897.2391,424.26038,0.8575774,860.23364,201.09418,0.5451853
95,1258.4542,784.5807,0.6949504,1122.1804,700.44354,0.6497261,974.49365,564.2883,0.7696876,899.71387,424.0089,0.81075937,862.18414,199.62558,0.56393605
96,1264.636,779.89496,0.7885621,1127.627,697.8666,0.76379037,977.4078,563.59155,0.65823793,901.90045,423.06967,0.7914601,863.98334,198.85529,0.60370815
97,1271.5197,774.5187,0.751932,1132.812,695.227,0.82261866,980.7592,562.11523,0.5908797,904.4876,422.38272,0.94284797,865.2307,198.44455,0.55070466
98,1279.5153,766.89856,0.5696689,1138.8535,691.75244,0.6941989,984.94995,560.56964,0.62596816,906.3656,421.75766,1.0,866.8839,197.21404,0.650049
99,1285.9741,760.6986,0.4227466,1145.8287,686.5395,0.7900714,988.6613,559.5313,0.6205126,908.8717,420.97665,0.94462866,868.65063,195.58432,0.62171036
100,1293.6317,753.3545,0.49268228,1151.405,682.4056,0.74265605,992.7812,557.8981,0.56232655,911.05817,419.56656,0.90608186,870.3772,194.8659,0.63506967
101,1299.5333,747.0778,0.5501922,1156.3119,679.0077,0.65911335,994.6273,557.36566,0.67546815,912.29504,418.72086,0.8788954,871.6295,194.28157,0.6103271
102,1379.0829,771.23773,0.3923065,1159.9912,676.98987,0.64955515,997.13055,555.9584,0.7104102,913.59924,418.09457,0.83079326,872.1599,193.04036,0.60916835
103,1308.8701,740.59186,0.44860804,1164.1385,673.6806,0.77406317,999.7705,554.9063,0.61434174,914.50885,418.25455,0.89104265,872.56036,192.79695,0.59983766
104,1309.1697,740.1684,0.4591835,1164.2812,673.3916,0.773949,999.7961,554.8925,0.6096726,914.0984,418.1668,0.8763198,872.89014,192.74628,0.5840076
105,1306.4729,743.9127,0.43401375,1162.5422,676.65326,0.6664408,998.7455,556.35205,0.69225323,913.6538,419.03918,0.90306544,872.4199,194.12502,0.62974274
106,1294.3839,759.5896,0.56822175,1154.0424,684.3305,0.63821363,995.49097,558.69147,0.66318125,912.4644,420.03796,0.9343832,870.433,196.1453,0.7088527
107,1276.5785,780.8609,0.6677819,1140.8447,696.632,0.80048865,990.42163,560.40515,0.67092115,908.45435,422.90585,0.9446365,866.07086,199.93526,0.68774176
108,1253.1628,806.6872,0.8551857,1124.2227,710.9444,0.68448025,983.7958,567.30164,0.6438012,906.7837,424.96637,0.9393958,865.1761,202.32059,0.5254905
109,1231.504,824.7328,0.8015348,1109.9153,721.786,0.7696658,975.67944,571.27924,0.569837,902.29346,429.0542,0.9704418,860.77386,207.0845,0.51122373
110,1212.9783,839.96295,0.5611457,1096.0466,729.89233,0.75709534,969.207,574.26935,0.59358215,899.7815,431.8176,0.87920326,859.4556,209.20924,0.612704
111,1196.7767,852.9421,0.5617622,1084.1892,737.1515,0.7605501,961.5953,576.9195,0.56412506,896.44653,433.29092,0.99152625,856.7762,210.70374,0.69361234
112,1171.3784,871.3159,0.5507484,1067.7719,746.56256,0.7557612,957.1018,579.8145,0.8065324,895.628,433.87836,0.9993976,856.39545,211.58337,0.7260171
113,1149.889,883.25195,0.6818271,1052.3398,753.65924,0.73757297,950.056,581.94775,0.75763744,893.19666,435.94647,1.0,853.0233,213.83138,0.7373814
114,1126.8466,893.96063,1.0,1035.9733,760.45337,0.769441,942.854,584.2638,0.73151094,891.7621,436.69974,1.0,851.7148,213.90216,0.7738889
115,1096.5505,907.9957,0.80373836,1017.91284,766.6653,0.8412572,936.5428,583.1421,0.6790001,890.51044,437.11545,1.0,850.6138,213.74048,0.6680183
116,1068.2798,918.6639,0.6003739,998.51117,773.38806,0.7725251,930.7665,585.001,0.68633294,889.7361,437.09973,1.0,849.9241,213.69167,0.71661156
117,1043.0509,926.223,1.0,981.3859,776.54156,0.8358749,926.6953,585.06433,0.694336,890.2394,437.5904,1.0,849.91345,214.54503,0.6773129
118,1018.88776,932.96277,0.4948717,968.04474,778.85986,0.81376797,924.30334,585.15826,0.6626974,892.4682,437.70874,0.9470965,852.0316,215.25035,0.75505996
119,996.39795,937.4763,0.57763845,954.69653,781.167,0.7867694,919.90594,585.9372,0.80208844,895.02136,438.46957,0.9193704,854.6256,215.79297,0.7930577
120,977.53986,940.8061,0.9129247,942.3743,782.74426,0.8694948,916.4996,586.064,0.66610426,895.33014,439.368,0.89466345,855.2837,216.2216,0.67220485
121,954.07385,943.30023,0.8287147,927.8504,783.4129,0.7490436,911.99756,585.77185,0.5938669,896.4393,440.04684,0.9276137,856.42523,216.63725,0.6198258
122,928.55634,946.1623,0.8220166,912.60144,783.34094,0.73674303,908.2491,586.8886,0.5840978,896.6227,440.77075,0.9788164,857.0844,216.74739,0.58462465
123,905.9205,945.3795,0.6626042,898.45026,784.18445,0.7714374,903.20953,585.71155,0.6405496,897.0292,441.87515,0.9372293,857.59973,217.29825,0.5800889
124,881.5088,942.3285,0.885533,883.2827,783.2803,0.7258905,899.3644,585.45844,0.5834093,898.07355,442.64087,0.88979566,859.31067,218.85152,0.5323307
125,858.36523,938.4947,0.7102421,869.3668,780.1325,0.7259656,894.64996,585.01636,0.6279429,898.3805,442.94263,0.9059741,859.8519,219.05127,0.5584393
126,833.977,935.6746,0.5462085,853.8273,777.3842,0.8361064,889.9949,583.5646,0.5837966,898.93896,443.45145,0.92148197,829.95905,19.207932,0.5257775
127,810.4956,929.7161,0.47207066,837.8111,774.39764,0.82715166,883.5781,582.86755,0.50941426,898.7776,443.90408,0.8913773,861.3103,218.67302,0.45006883
128,785.93256,922.8616,0.5435754,821.9702,769.5211,0.86254716,877.82794,580.30585,0.5925479,898.5378,444.08994,0.91040134,861.6405,218.77562,0.44423163
129,764.46747,915.5921,0.46864077,808.41156,763.8849,0.74240494,872.377,578.9824,0.5170111,898.2307,444.56897,0.9275671,861.4378,219.12405,0.45816922
