scorer,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
32,916.6974,643.14435,0.82459384,922.63043,484.65256,0.7038662,929.5579,323.92108,0.9177665,917.53326,109.17884,0.91084415,933.7811,22.967712,1.0
33,916.64124,643.13696,0.8397842,922.61566,484.64825,0.7008296,929.43787,324.1249,0.9096461,917.3214,109.51672,0.8993708,933.8001,23.271645,1.0
34,916.6234,643.2186,0.8441168,922.5052,484.79614,0.6958933,929.49567,324.04733,0.9095881,917.6235,109.30209,0.8986637,934.094,23.045197,1.0
35,916.6275,643.21484,0.8493992,922.50964,484.8276,0.7016778,929.4011,324.28574,0.906581,917.5415,109.64458,0.91964453,934.17645,23.304073,1.0
36,916.6099,643.2007,0.8417554,922.48126,484.8839,0.7000979,929.5035,324.0832,0.91670656,917.642,109.67136,0.91097593,934.1617,23.263628,1.0
37,916.7697,643.6459,0.83428353,922.4957,484.89096,0.6951485,929.4169,324.2121,0.8913355,917.34564,109.78033,0.8985066,933.93787,23.56786,1.0
38,916.736,643.71893,0.83034843,922.5914,484.80292,0.6928959,929.44806,324.25885,0.8964647,917.38684,109.85199,0.9090378,933.91675,23.562115,1.0
39,916.6762,643.46063,0.84389746,922.3298,484.895,0.69237274,929.48303,324.2921,0.8966365,917.7071,109.73892,0.92100185,934.52563,23.53333,1.0
40,916.67816,643.1529,0.82002306,922.59485,484.78384,0.6981945,929.54144,324.2203,0.9072839,918.06934,109.81687,0.9221105,934.84155,23.371548,1.0
41,916.6204,643.2187,0.8165219,922.61127,484.68707,0.7024788,929.5669,324.2601,0.9104832,918.1437,109.76521,0.91613317,934.95337,23.280634,1.0
42,916.65533,643.23004,0.8207148,922.5956,484.5518,0.6992887,929.55334,324.28552,0.9084944,918.4959,109.33062,0.91284335,935.1351,23.045631,1.0
43,916.6441,643.1976,0.8222551,922.5847,484.72586,0.69821614,929.58167,324.2838,0.9066754,918.10596,109.76876,0.9243672,935.1344,23.274727,1.0
44,916.6281,643.2247,0.82805085,922.5846,484.71976,0.6984421,929.5126,324.3207,0.90758806,918.05774,109.68861,0.923869,935.1072,23.242435,1.0
45,916.665,643.27484,0.8379902,922.50903,484.58044,0.70849997,929.4088,324.33582,0.91396457,917.7745,109.6338,0.9082306,934.82666,23.24349,1.0
46,916.6822,643.33405,0.83745474,922.5383,484.77036,0.7046647,929.5071,324.32098,0.9126601,918.10034,109.70534,0.9229544,935.0649,23.200085,1.0
47,916.8087,643.3777,0.84172213,922.4644,484.90628,0.7051023,929.48,324.33282,0.9147322,918.3277,109.55932,0.91850936,935.3488,22.990416,1.0
48,916.634,643.43066,0.8372759,922.4924,484.9163,0.70719314,929.4681,324.28595,0.9192833,918.64624,109.21987,0.92275053,935.48584,22.91115,1.0
