scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
33,-23.263374,3.2504628,38.030964,-21.40623,1.436147,39.331985,-19.745796,0.059863165,42.468346,-18.489939,-1.45623,43.63763,-16.693415,-3.3626378,45.089195
34,-23.2888,3.2861178,38.08324,-21.417841,1.4480146,39.309864,-19.746326,0.08266719,42.453518,-18.458864,-1.4421431,43.696415,-16.685028,-3.3482754,45.16403
35,-23.341772,3.2690775,38.090782,-21.463083,1.4221936,39.28698,-18.437832,-3.5444725,39.039097,-18.460613,-1.4568655,43.71038,-16.707294,-3.347346,45.225666
36,-23.357185,3.260861,38.087467,-21.495724,1.4057676,39.302795,-19.784128,0.060079113,42.439617,-18.465942,-1.486251,43.74231,-16.722782,-3.3705006,45.276188
37,-23.317945,3.3007076,38.106907,-21.49297,1.4106283,39.307663,-19.797428,0.03602432,42.462856,-18.480488,-1.5588745,43.80292,-16.74848,-3.4072735,45.352287
38,-23.270996,3.287885,38.06231,-21.481953,1.38454,39.320812,-19.820263,-0.0053576413,42.48308,-18.49662,-1.6292009,43.846325,-16.766886,-3.4721742,45.41914
39,-23.257603,3.2646794,38.061676,-21.492119,1.3409086,39.33373,-19.84573,-0.063356556,42.515594,-18.535677,-1.6842667,43.858116,-16.796686,-3.5139544,45.499275
40,-23.245817,3.2386208,38.048183,-21.492891,1.3069994,39.316505,-18.67934,-3.6145086,39.487686,-18.537792,-1.7187228,43.890694,-16.810747,-3.5323553,45.552086
41,-23.235106,3.230666,38.0326,-21.490707,1.2806501,39.311424,-19.856615,-0.100365765,42.52318,-18.538864,-1.7413198,43.91572,-16.815739,-3.5449142,45.58067
42,-23.230043,3.2185507,38.02988,-21.496416,1.2589899,39.303085,-19.865423,-0.11975349,42.532475,-18.54764,-1.7642343,43.92549,-16.827457,-3.5596735,45.617344
