scorer,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
31,839.48474,413.42953,0.7121029,793.5051,271.45993,0.7468749,823.0715,135.49817,0.85095125,1788.6079,104.85381,0.07850877,1854.3292,410.3436,0.20252231
32,839.1827,413.28268,0.74130297,793.0219,271.53452,0.75566196,822.7242,134.92073,0.85638905,1788.5038,104.65746,0.07723473,1854.3052,410.14572,0.19365458
33,839.40106,413.05374,0.726257,793.03235,271.37183,0.75936574,822.7629,134.88739,0.8515655,1788.55,104.64081,0.07882808,1854.3115,410.06915,0.2006717
34,839.1862,413.25626,0.70530134,792.6781,271.49146,0.75860125,822.8491,134.8999,0.8338413,1788.557,104.592545,0.07987323,1854.3407,410.1121,0.19185692
35,839.93164,412.5524,0.6927191,793.4627,271.25577,0.73981017,823.07196,134.97124,0.8493802,1788.5706,104.524826,0.080894254,1854.33,410.1501,0.19113551
36,841.1844,413.40027,0.64696646,794.363,271.8721,0.75893867,823.3873,135.13803,0.86354685,1788.5681,104.44792,0.080104046,1854.2411,410.22778,0.18733037
37,841.5587,413.40454,0.6317902,794.7346,271.92038,0.77633244,823.41345,135.12009,0.8602039,1788.7246,104.37408,0.08429359,1854.2316,410.23367,0.19035996
38,841.62146,413.3694,0.6562084,794.3325,271.9625,0.7527741,823.18555,135.44345,0.85467803,1788.7627,104.36775,0.08279879,1854.2677,410.19315,0.18900861
39,841.23517,413.4475,0.62014383,793.7806,271.69244,0.748602,823.05536,135.59105,0.8420586,1788.8634,104.306984,0.08686686,1854.2263,410.09955,0.1866105
40,840.907,413.6281,0.60225844,793.75183,272.10083,0.7643918,822.94904,135.59787,0.8358402,1788.7382,104.36273,0.07970991,1854.185,410.06094,0.18720125
41,841.0574,413.68256,0.60576695,793.6995,272.0309,0.7609496,822.93,135.54317,0.8406143,1788.6582,104.47298,0.07883073,1854.2045,410.4051,0.1953131
42,840.89795,413.55777,0.56095403,793.4778,272.11447,0.756101,822.8065,135.65175,0.8377671,1788.681,104.49664,0.07917076,1854.2043,410.43335,0.19412388
43,840.5689,413.54337,0.58064723,793.10065,272.14014,0.76298755,822.53375,135.61398,0.85561615,1788.6498,104.53247,0.07833264,1854.1853,410.5015,0.19280252
44,840.2891,413.61215,0.61250603,792.6394,272.24127,0.761147,822.46094,135.60536,0.85198087,1788.5024,104.6115,0.07368291,1854.1462,410.51837,0.20248514
45,839.8382,413.47305,0.6116753,791.7284,272.4515,0.7763735,822.0208,135.55173,0.84639096,1788.4976,104.69027,0.07466263,792.45496,272.9243,0.19720933
46,839.2043,413.40707,0.6085822,791.62585,272.4658,0.7795985,821.9167,135.48448,0.84609306,1788.4933,104.670204,0.07365681,1854.0969,410.52957,0.20578481
47,839.2847,413.5482,0.58162946,791.2701,272.5341,0.78366226,821.8033,135.54053,0.83785325,1788.4977,104.668434,0.073015176,1854.0948,410.52994,0.20394346
48,838.6211,413.5817,0.65514624,790.88873,272.46664,0.7936587,821.5413,135.53775,0.8333151,1788.4575,104.635864,0.07229746,1854.1115,410.52997,0.20492733
49,838.6106,413.5631,0.68642104,790.89496,272.3918,0.80226487,821.58276,135.52467,0.8390042,1788.5162,104.6199,0.07318261,1854.0536,410.72238,0.1884534
50,838.6639,413.69562,0.6657652,790.88837,272.37387,0.80958605,821.53656,135.62834,0.8480724,1788.5441,104.59086,0.074816644,1854.0836,410.7604,0.19223523
51,838.69794,413.76013,0.6901294,790.8696,272.34995,0.81554794,821.5439,135.61198,0.8475082,1788.5334,104.59539,0.075431645,1854.1636,410.70212,0.18317023
52,838.8101,413.95993,0.640606,790.80316,272.43387,0.82693624,821.567,135.4992,0.84157705,1788.594,104.5186,0.07853427,1854.1198,410.7654,0.18750808
53,839.2821,413.76324,0.65662867,791.1651,272.45865,0.811474,821.97656,135.72115,0.84712225,1788.6276,104.47845,0.07833181,1854.1221,410.66495,0.18937677
54,839.6208,413.58737,0.6485998,791.46716,272.53876,0.80359566,822.0226,135.75186,0.8477411,1788.6066,104.4829,0.07581433,1854.151,410.61777,0.19344641
55,838.9402,413.67374,0.66332215,790.84973,272.468,0.8199199,822.02625,135.76813,0.844362,1788.618,104.49211,0.076203465,1854.1581,410.60718,0.19352871
56,839.6161,413.5958,0.63777906,791.48865,272.49957,0.8058313,822.0227,135.73584,0.85241616,1788.5278,104.58014,0.07134303,1854.1627,410.7585,0.19170518
57,839.39465,413.5365,0.6622817,791.197,272.53143,0.80215,822.0674,135.71698,0.8447365,1788.6315,104.59435,0.075172454,1854.106,410.6573,0.18527697
58,840.06226,413.4584,0.6131356,791.81915,272.4098,0.7962563,822.0554,135.59268,0.8415493,1788.6248,104.58814,0.07349998,1854.1531,410.64975,0.19205794
59,839.79785,413.3917,0.63892597,791.6955,272.47772,0.794295,822.04816,135.68118,0.83815795,1788.645,104.587074,0.073393404,1854.19,410.72064,0.1921939
60,839.4986,413.28683,0.66235685,791.49854,272.4948,0.79676706,822.0202,135.64925,0.8414438,1788.6754,104.61121,0.06990875,792.30865,272.8691,0.17927669
61,839.5105,413.3299,0.6618062,791.74365,272.41977,0.7960025,821.71216,135.54529,0.8535125,1788.8573,104.457596,0.07801801,792.61957,272.87384,0.17859255
62,839.44855,413.33597,0.65766233,791.8197,272.4962,0.786019,821.85913,135.37715,0.84824026,1788.7391,104.529915,0.075007014,792.6927,272.92972,0.18546323
63,839.5528,413.2881,0.65446174,791.92523,272.26202,0.77859926,821.8682,135.434,0.8480341,1788.8687,104.513275,0.07873495,1854.2582,410.45184,0.17904514
64,839.52295,413.2844,0.6472359,791.91797,272.39148,0.7879083,822.1818,135.4012,0.84576774,1788.9456,104.369415,0.082069665,1854.2787,410.41476,0.1770322
65,839.3583,413.26166,0.6959613,791.677,272.2104,0.7879116,821.89386,135.01724,0.8587721,1788.7592,104.57986,0.07545726,792.45807,272.59116,0.17827454
66,839.37494,413.16986,0.69876146,791.98065,272.2476,0.7727689,821.85486,135.39284,0.8438969,1788.7637,104.551025,0.073570795,792.7239,272.6844,0.18273303
67,839.3628,412.9461,0.68038374,791.9804,272.03592,0.766632,821.8271,135.26993,0.84982216,1788.7979,104.52028,0.074909516,1854.1592,410.35513,0.19742012
68,839.3368,412.9715,0.6710868,791.9566,271.86423,0.7722058,821.8962,135.11783,0.8655303,1788.7401,104.54138,0.07352191,1854.178,410.31702,0.19600005
69,839.3465,412.987,0.67133176,791.9426,272.02042,0.7681675,821.9689,135.04698,0.87301964,1788.7102,104.52912,0.07487929,1854.1667,410.32254,0.19060008
70,839.4737,413.0119,0.6875466,791.97144,271.99796,0.770012,821.8877,134.97571,0.87358475,1788.6744,104.56581,0.0727934,1854.217,410.3311,0.19757028
71,839.57513,412.99966,0.6888838,792.01434,272.00592,0.7738928,821.9663,134.7916,0.8791497,1788.7155,104.60598,0.07215964,1854.2161,410.32108,0.1973456
72,839.64905,413.05823,0.67869776,792.0223,271.9988,0.77206725,822.0192,134.85274,0.8766452,1788.5663,104.648834,0.07068012,1854.2108,410.34467,0.19917668
73,839.6164,413.10092,0.67981935,791.97675,272.0622,0.7694506,822.24316,135.11931,0.85657555,1788.5824,104.68065,0.070831746,1854.2432,410.11646,0.1985521
74,839.9299,413.2177,0.6627072,792.4731,271.93054,0.7580802,822.17224,135.07582,0.8491102,1788.5898,104.68346,0.0712391,1854.1874,410.42438,0.20313798
75,839.9563,413.30164,0.6443366,792.7154,272.25134,0.77513504,822.1871,135.65933,0.83936226,1788.6068,104.629295,0.07277461,1854.1777,410.44473,0.20113853
