scorer,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,897.1046,646.427,0.7295649,804.32074,509.93723,0.7964922,809.57404,321.91864,0.6084864,819.7271,173.4187,1.0,897.3774,644.5403,0.15300928
1,897.09326,646.41113,0.7206366,804.3938,509.89615,0.80208015,810.3424,320.7247,0.6680095,819.3281,173.35721,1.0,897.3469,644.5367,0.17351685
2,897.06244,646.42017,0.72899514,804.4244,509.8584,0.7973896,810.1858,320.82184,0.6649204,819.6397,173.17932,1.0,897.3139,644.5572,0.16785324
3,897.06665,646.4359,0.72410065,804.48944,509.79974,0.8105922,810.1719,320.78104,0.7342156,819.7372,173.24098,1.0,897.3243,644.5668,0.16451958
4,897.0455,646.4762,0.7193714,804.5804,509.79694,0.80712813,810.30096,320.85934,0.6658774,819.8804,173.1834,1.0,897.3213,644.616,0.14864473
5,896.8966,646.43146,0.7023048,804.8789,510.03683,0.8103773,810.30536,320.54895,0.69262326,819.9778,173.23967,1.0,897.1446,644.5398,0.16826695
6,897.0688,646.5273,0.71714103,804.9272,510.13306,0.8204462,810.31,320.6279,0.68937975,820.03534,173.28462,1.0,897.3992,644.68304,0.16538309
7,897.20416,646.5281,0.7183986,805.0146,510.11447,0.8133904,810.6304,320.37112,0.736783,820.17975,173.31358,1.0,897.5906,644.67456,0.16567966
8,897.14984,646.5663,0.7155671,805.12665,510.0859,0.8049176,810.95575,320.69727,0.7551728,820.3606,173.34492,1.0,897.4715,644.6923,0.15899068
9,897.3635,646.53503,0.7218561,805.14343,510.09076,0.8058622,810.7822,320.35406,0.81483805,820.3989,173.318,1.0,897.7509,644.7321,0.15914053
10,897.34644,646.5439,0.7158371,805.1278,510.10294,0.80586994,810.62085,320.49924,0.8065844,820.3968,173.3324,1.0,897.7099,644.7333,0.1556781
11,897.34485,646.5142,0.7030732,805.0958,510.08997,0.7991458,810.58453,320.4081,0.798971,820.412,173.38495,1.0,897.736,644.69916,0.1579885
12,897.3139,646.4037,0.70266986,805.14386,510.12473,0.806319,810.3312,320.59387,0.7856444,820.3326,173.22343,1.0,897.67786,644.59375,0.15199706
13,897.28796,646.38,0.7023058,805.06537,510.07837,0.8139115,810.26935,320.60422,0.7709079,820.2762,173.23102,1.0,897.6577,644.5849,0.14131486
14,897.2804,646.3858,0.7044563,805.0262,510.0141,0.80901843,810.2309,320.67444,0.75583214,820.2141,173.17896,1.0,897.6665,644.5782,0.1427635
15,897.28687,646.3856,0.70711935,805.0096,510.0005,0.8073593,810.2054,320.64905,0.77439684,820.20526,173.19882,1.0,897.6688,644.576,0.1413025
16,897.2746,646.45514,0.7046884,804.9648,509.974,0.8057478,810.133,320.4782,0.75771415,820.1551,173.17122,1.0,897.6377,644.6338,0.13013166
17,897.26184,646.35785,0.70159286,805.0408,509.98672,0.83044857,810.39044,320.41467,0.7840709,820.24005,173.14755,1.0,897.6183,644.5326,0.13971616
