scorer,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
32,932.3273,673.415,0.8223472,928.57605,514.2888,0.6827895,927.91516,353.2106,0.86046886,915.6268,151.11278,0.888343,926.73,48.13865,1.0
33,932.5123,673.3274,0.8408191,928.48676,514.12164,0.67963856,928.0327,353.09348,0.8637044,915.649,150.9853,0.8973129,926.6078,48.1549,1.0
34,932.50696,673.2993,0.84108114,928.5017,514.115,0.67828405,928.0018,353.09497,0.86773515,915.67377,150.96686,0.8973219,926.7287,47.861496,1.0
35,932.53375,673.29974,0.81400824,928.5075,514.16833,0.65767074,927.9267,353.05255,0.8562564,915.6533,150.9644,0.8931264,926.79626,47.782455,1.0
36,932.7084,673.3436,0.8470344,928.53467,514.0896,0.6548836,927.9876,352.85928,0.86473954,915.6573,150.89742,0.8941732,926.7534,47.71459,1.0
37,932.72217,673.34406,0.8538095,928.5721,514.086,0.6453951,927.92456,352.86765,0.8415212,915.62823,151.13661,0.8853101,926.76025,47.880272,1.0
38,932.75964,673.31836,0.84770226,928.54974,514.0978,0.6416884,927.97473,352.8286,0.8532363,915.6241,151.08574,0.88167197,926.70514,47.77682,1.0
39,932.6539,673.69977,0.8550449,928.48645,514.2049,0.74034005,926.94476,353.72073,0.7985224,915.78143,151.04866,0.90051687,926.79266,48.266197,0.8745233
40,932.63965,673.6981,0.8561808,928.53033,514.18665,0.74110425,926.94403,353.7298,0.7984867,915.78955,151.0458,0.9004796,926.7939,48.265865,0.87571746
41,932.71136,673.6987,0.84152895,928.43524,514.19495,0.7343893,927.6268,352.73798,0.8181135,915.8321,151.13487,0.9042856,926.84784,48.080063,0.9003445
42,932.7096,673.6929,0.84183276,928.46356,514.10657,0.7226224,927.5703,352.81534,0.8352099,915.8214,151.14592,0.90498984,926.91534,48.023132,0.8979581
43,932.8915,673.72974,0.8150959,928.42255,514.1017,0.73385847,927.69,352.8668,0.82021147,915.8565,151.13411,0.9035807,926.9019,48.131943,0.88049054
44,932.85394,673.74164,0.8270537,928.421,514.1428,0.73645115,927.6519,352.92358,0.8198313,915.8958,151.12494,0.9022933,926.9392,48.123657,0.89202374
45,932.6618,673.7982,0.8103845,928.4313,514.13947,0.7337713,927.8006,352.82697,0.82292855,915.9076,151.03616,0.9068493,926.8638,48.147873,0.89395463
46,932.5828,673.8065,0.82030064,928.4665,514.2101,0.72375023,927.7659,352.9227,0.82660615,915.88574,151.11894,0.9032349,926.71704,48.060314,0.87647325
47,932.36304,673.41693,0.8356982,928.54126,514.1958,0.7561376,927.5703,352.99646,0.8327385,915.7694,151.08994,0.91364443,926.64624,47.944805,0.8383834
48,932.4934,673.51544,0.8372697,928.5187,514.13715,0.7550374,927.63446,352.96246,0.8130935,915.6459,151.0569,0.9093479,926.56494,47.868313,0.842653
49,932.3598,673.4646,0.8392691,928.601,514.054,0.74117714,927.5265,352.99814,0.83609104,915.8712,151.01044,0.9180732,926.5894,47.933556,0.8203157
50,932.35693,673.3621,0.83608484,928.5956,514.04553,0.74367595,927.6831,353.02414,0.83805203,915.66125,151.0373,0.90802336,926.58344,47.955353,0.82433456
51,932.35504,673.40594,0.8377853,928.5655,514.0743,0.73945636,927.5817,352.96042,0.83240664,915.85583,151.08073,0.9098223,926.72485,48.017693,0.8189028
52,932.37384,673.4594,0.84918255,928.5803,514.0777,0.73090696,927.2233,353.6965,0.8090487,915.8135,150.9999,0.91202724,926.5666,47.953445,0.81811905
53,932.363,673.45056,0.83059794,928.50134,513.9631,0.7407125,927.04266,353.7071,0.81836236,915.83124,151.03499,0.91263443,926.48584,47.853195,0.852142
54,932.31573,673.4609,0.83317107,928.5188,513.9316,0.74405825,927.5914,352.97006,0.8213418,915.7065,151.0015,0.9095473,926.4751,47.7979,0.85472226
55,932.479,673.39215,0.7915023,928.5792,513.99536,0.7625104,927.4974,353.01273,0.8176917,915.75165,150.99763,0.90772194,926.4813,47.797283,0.8641192
56,932.4886,673.40704,0.79054946,928.5408,513.98706,0.77542734,927.6749,353.00757,0.8180348,915.73694,150.88394,0.9060688,926.7553,48.118282,0.82455605
57,932.3366,673.32794,0.79448843,928.5191,513.91956,0.7477975,927.7458,353.0508,0.84296346,915.7936,150.87422,0.92406046,926.4335,47.758,0.84653825
58,932.2997,673.2121,0.7871642,928.6999,513.7667,0.7569765,927.7294,352.92328,0.8407606,915.77576,150.88312,0.9292312,926.4897,47.783516,0.8470447
59,932.7285,672.7084,0.762959,928.91693,513.2062,0.7336978,927.6405,352.4062,0.82903135,915.9219,150.54633,0.93667686,926.7463,47.540516,0.8584577
60,932.7527,672.5254,0.7531636,928.8102,513.0686,0.732817,927.7225,352.19504,0.82717353,915.6589,150.4078,0.93772936,926.6679,47.316666,0.86193043
61,932.9044,672.5362,0.76101285,928.84186,513.05634,0.7338055,927.94214,352.16098,0.80905384,915.6268,150.34456,0.9402565,926.5826,46.999737,0.8722873
62,932.99896,672.51855,0.757605,928.8693,512.9402,0.7399099,927.8489,352.17584,0.81371295,915.65375,150.31705,0.9403154,926.57465,47.013447,0.8640689
63,932.96844,672.4981,0.7546136,928.9155,513.04205,0.74201,927.8943,352.2054,0.82643825,915.5944,150.39243,0.93096566,926.57025,46.976097,0.8751308
64,933.0221,672.47253,0.75649244,928.6684,512.1751,0.75301003,927.7767,352.08926,0.823393,915.4963,150.35762,0.9269661,926.6209,47.038567,0.8611487
65,933.04425,672.4053,0.7719555,928.8779,512.976,0.74009407,927.63104,352.1114,0.8073161,915.54877,150.33817,0.93136823,926.62836,47.004288,0.874632
66,932.9709,672.37744,0.7729399,928.87683,513.1521,0.74091834,927.7637,352.08923,0.80032486,915.5643,150.72778,0.9326096,926.7844,47.445263,0.8658502
67,932.8988,672.38245,0.7868693,928.64606,512.30115,0.73899204,927.7016,352.1511,0.80473685,915.53436,150.34917,0.9309126,926.6501,46.98685,0.8741446
68,932.7011,672.4524,0.7742337,928.5493,512.1949,0.73645705,927.80005,352.07822,0.8207118,915.5521,150.32912,0.9325766,926.6618,46.994995,0.8743278
69,933.0416,672.4106,0.75694555,928.8318,513.0314,0.7527433,927.87256,352.0569,0.81163365,915.6465,150.53413,0.92984694,926.60077,47.04116,0.8876674
70,933.0531,672.40845,0.7584913,928.7801,513.0105,0.7439182,927.7673,352.074,0.8218636,915.77295,150.29863,0.9317509,926.63184,47.02812,0.8927456
71,932.97235,672.4334,0.756731,928.8244,513.01526,0.7471781,927.7936,352.09726,0.8219318,915.7043,150.37393,0.9297996,926.7526,47.26754,0.8868219
72,932.92236,672.39886,0.7627309,928.8117,513.1924,0.7497712,927.92725,352.12845,0.8089733,915.638,150.53358,0.9332165,926.9295,47.411503,0.86249065
73,933.0508,672.3244,0.77081174,928.87415,512.9825,0.74715036,927.98834,352.2149,0.8120265,915.5594,150.34335,0.93033296,926.85474,47.244522,0.8606753
74,932.9874,672.4122,0.7836358,928.8436,512.9712,0.73773575,927.93164,352.22372,0.81139296,915.6956,150.46771,0.9383904,926.8599,47.346157,0.8492944
75,933.08215,672.3618,0.7766429,928.8738,513.01263,0.7396613,927.91565,352.252,0.82319266,915.74005,150.49915,0.9336428,926.941,47.375774,0.8640241
76,933.13934,672.25824,0.76830465,928.8303,512.9261,0.7402479,927.93097,352.27408,0.8209058,915.71704,150.45749,0.9352132,926.8997,47.407692,0.8465529
77,933.2276,672.1705,0.736821,928.9438,512.9692,0.7513821,927.9686,352.2503,0.8148618,915.87305,150.65576,0.9369533,926.91895,47.387074,0.8437684
78,933.3059,672.1697,0.7609797,928.9362,512.9688,0.75635564,928.0156,352.19882,0.82267725,915.98944,150.41089,0.9317101,926.9627,47.36357,0.8488183
79,933.2642,672.1643,0.7572865,928.80206,513.03156,0.7659334,927.97656,352.209,0.82628626,916.0301,150.43088,0.93395334,926.95044,47.315495,0.8522738
80,933.19434,672.1523,0.7497552,928.9784,513.038,0.77899075,928.06903,352.27054,0.8319066,916.18097,150.43259,0.9328524,926.99915,47.307747,0.9025222
81,933.0864,672.3067,0.7559472,929.01544,513.04865,0.77269524,928.059,352.212,0.8307017,916.1364,150.37682,0.931521,927.1297,47.232265,0.89074177
82,933.06573,672.32355,0.7585228,929.03107,513.0223,0.77232045,928.0542,352.19714,0.82732195,916.4179,150.50642,0.9284422,927.3183,47.17515,0.8880894
83,933.0272,672.44635,0.7697601,929.0108,513.09283,0.77722263,928.0955,352.16183,0.82875556,916.45166,150.51608,0.9273955,927.2851,47.182503,0.8806316
84,932.9836,672.4748,0.7893245,929.0625,513.07886,0.77749723,928.1548,352.17166,0.829773,916.45624,150.53955,0.9272598,927.2895,47.19602,0.8934149
85,933.09625,672.499,0.79170877,929.0722,513.0902,0.7747366,928.13525,352.20877,0.83017886,916.4904,150.51755,0.92777544,927.34235,47.135696,0.8970283
86,932.997,672.4885,0.7954798,929.10944,513.0312,0.7697483,928.1508,352.34293,0.8412587,916.3263,150.45515,0.9325843,927.2332,47.114788,0.8930221
87,933.0311,672.5031,0.7954586,929.11975,513.06055,0.77842855,928.24194,352.32193,0.83738244,916.4309,150.37724,0.9294447,927.37744,47.12665,0.9154044
88,933.1211,672.4983,0.7947711,929.18896,512.96893,0.7777455,928.3574,352.2246,0.83680123,916.411,150.41022,0.9269241,927.5759,47.154865,0.9078614
89,933.1557,672.5153,0.79865336,929.14655,512.9563,0.77206,928.2345,352.2785,0.84126246,916.3221,150.44077,0.93176395,927.4438,47.1606,0.9135447
90,933.1563,672.5151,0.79629767,929.1999,512.9599,0.7727543,928.10504,352.32776,0.84616846,916.4234,150.53891,0.92030084,927.3966,47.21991,0.9067881
91,933.1662,672.52264,0.79379094,929.153,512.9907,0.77325296,928.1923,352.3364,0.84723645,916.4152,150.48228,0.9287224,927.4508,47.21533,0.9046309
92,933.16394,672.51013,0.7935308,929.1458,512.94824,0.7672811,928.2866,352.20938,0.8430891,916.469,150.49435,0.92664725,927.45807,47.224636,0.9097923
93,933.1948,672.45685,0.81662714,929.0236,513.01605,0.7583988,928.26715,352.2134,0.8304913,916.3792,150.47255,0.92813164,927.4415,47.26779,0.9120417
94,933.1471,672.46747,0.81885535,929.01764,513.0017,0.75629807,928.2059,352.14038,0.8288485,916.4024,150.46794,0.92795026,927.43036,47.239475,0.9295642
