scorer,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
31,896.5854,741.0855,0.74247116,904.89374,569.408,1.0,912.339,373.9122,0.79704297,907.9791,228.09042,0.8417865,905.04956,44.80099,0.6605359
32,896.5075,741.1417,0.7339692,904.883,569.4126,1.0,912.3278,374.01035,0.8038871,908.0072,228.09999,0.8329171,905.0066,44.834393,0.6529435
33,896.4916,741.13257,0.73427534,904.8883,569.4116,0.9978365,912.141,373.9585,0.81971943,908.00854,228.11221,0.82962465,904.8718,44.875782,0.66694045
34,896.49396,741.12256,0.7350309,904.8777,569.3937,0.99377865,912.2545,373.94562,0.8480856,908.0071,228.10225,0.8252295,904.83966,44.76931,0.6499003
35,896.508,741.123,0.73877865,904.8465,569.444,0.99941283,912.2789,373.8632,0.8403684,908.002,228.10275,0.8284509,904.839,44.743362,0.64842314
36,896.51263,741.1138,0.73743504,904.8675,569.4083,0.96779215,912.21875,373.82617,0.8174577,907.94916,228.1601,0.81950855,904.9007,44.730083,0.64690447
37,896.5434,741.0745,0.7307416,904.84784,569.40857,0.985862,912.0052,373.71732,0.84308195,907.96674,228.18094,0.834355,904.9085,44.781662,0.6445011
38,896.5373,741.071,0.73102546,904.8761,569.4224,0.96598285,912.04175,373.78238,0.83864635,907.9071,228.16972,0.83430666,904.9343,44.810055,0.6374838
39,896.5634,741.08716,0.73322517,904.87036,569.4381,0.9783956,912.11664,373.82538,0.8386882,907.9138,228.21387,0.83213466,904.92834,44.864502,0.6503469
40,896.59235,741.07605,0.73055816,904.8294,569.40906,0.9805703,912.18304,373.9438,0.8381016,907.92444,228.22339,0.83958536,904.988,44.793427,0.62575686
