scorer,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
31,1000.91956,666.8785,0.68456644,909.80695,524.262,0.7984692,877.38196,337.07132,0.7983905,868.3487,192.91217,1.0,868.1966,193.58894,0.25578848
32,1001.0783,666.956,0.68188053,909.80695,524.2588,0.8132324,877.49664,337.164,0.75595313,868.31805,193.08096,1.0,868.1999,193.75674,0.23471855
33,1001.1451,666.9658,0.6828034,909.8895,524.33887,0.81958276,877.181,337.8604,0.7845929,868.3205,192.96246,1.0,868.16205,193.67053,0.24554327
34,1001.1698,666.98,0.67825264,909.9221,524.3501,0.828192,877.14197,337.97437,0.76374936,868.22723,192.88043,1.0,868.0639,193.62756,0.24056646
35,1001.2069,666.99036,0.6758977,909.91296,524.32635,0.822877,877.0757,338.0285,0.76980674,868.228,192.91068,1.0,868.06384,193.7086,0.24004014
36,1001.2014,666.9752,0.68211836,909.86633,524.3164,0.8055039,877.19196,337.93784,0.7604704,868.21497,192.9798,1.0,868.02356,193.83264,0.22508894
37,1001.14954,666.9685,0.6708163,909.95795,524.2878,0.80140895,877.2701,337.6973,0.7685607,868.21747,193.00682,1.0,868.00494,193.93048,0.22155865
38,1001.09534,666.9893,0.66575384,909.944,524.3126,0.81320965,877.3106,337.7393,0.77606887,868.22327,192.92229,1.0,868.0296,193.81604,0.22963706
39,1001.06506,666.97723,0.6619949,909.9663,524.3258,0.8135422,877.17194,337.97913,0.7567645,868.2356,192.85518,1.0,867.9802,193.6555,0.22527887
40,1001.0481,666.9308,0.6517663,910.02344,524.3034,0.8021639,877.4389,337.53156,0.71480113,868.30695,192.8397,1.0,487.572,1188.641,0.23371789
41,1000.95776,666.90607,0.644347,909.9625,524.3,0.8176014,877.2683,337.98022,0.7781731,868.256,192.86447,1.0,487.5823,1188.627,0.22994867
42,1000.9735,666.93115,0.6453143,909.9555,524.3031,0.82348895,877.2053,338.07733,0.7456144,868.1991,192.90395,1.0,487.63312,1188.607,0.23366837
43,1000.79016,666.88336,0.61595845,909.8798,524.246,0.81637734,877.107,337.4488,0.78116626,868.1272,192.93474,1.0,867.8413,193.63493,0.22968224
44,1000.7986,666.87286,0.62210137,909.86053,524.2612,0.8084229,877.22284,337.90204,0.7709269,868.1439,193.00981,1.0,867.8582,193.74503,0.2326649
