scorer,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
32,920.1546,683.52313,0.617466,907.37195,518.60345,0.8892537,887.75055,329.17807,0.7854359,875.3236,184.80899,1.0,875.46967,186.56944,0.19505371
33,920.40906,683.0176,0.61679494,907.4764,518.72766,0.88947296,887.6047,329.22327,0.7629473,875.3179,184.67291,1.0,875.46875,186.50429,0.1908061
34,920.33966,683.44714,0.64818376,907.5537,518.7704,0.85936934,887.55176,329.2241,0.75307393,875.33984,184.73198,1.0,875.55554,186.56169,0.20973708
35,920.3188,683.4557,0.6436988,907.6134,518.7482,0.872599,887.4013,329.2503,0.7369222,875.3261,184.72427,1.0,875.5244,186.5022,0.19696075
36,920.4675,683.46594,0.62186474,907.58746,518.591,0.8732058,887.4297,329.3225,0.7318861,875.3027,184.67252,1.0,875.511,186.48738,0.19194192
37,920.43225,683.3076,0.6311093,907.58923,518.58636,0.8745984,887.61,329.1638,0.7352915,875.29254,184.71631,1.0,875.4787,186.61394,0.18026082
38,920.4037,683.2353,0.65161866,907.59515,518.573,0.87029743,887.7151,328.93643,0.6931872,875.25366,184.7393,1.0,875.4767,186.5993,0.211303
39,920.4557,683.2597,0.6490657,907.59155,518.594,0.87193483,887.7013,328.9741,0.7120714,875.2492,184.82248,1.0,875.48676,186.58136,0.20486142
40,920.5219,683.16833,0.62000644,907.5861,518.56635,0.8690905,887.6942,328.94296,0.71496063,875.2641,184.83372,1.0,875.4926,186.59192,0.19665964
41,920.2657,683.255,0.65395236,907.64703,518.696,0.88780284,887.687,328.9243,0.69962084,875.2371,184.98187,1.0,875.5168,186.70064,0.20813899
42,920.209,683.2829,0.6386394,907.652,518.7347,0.8927244,887.6507,328.75635,0.6886681,875.2347,184.93967,1.0,875.5761,186.67577,0.20642303
43,920.4051,683.4199,0.62859684,907.68427,518.8035,0.8885791,887.5983,328.8204,0.73541266,875.1703,184.96078,1.0,875.49036,186.64555,0.2105007
44,920.2833,683.5983,0.6443136,907.7183,518.7889,0.86942935,887.2135,329.7109,0.7742728,875.18866,184.97235,1.0,875.48444,186.7702,0.20616403
45,920.2776,683.6012,0.64630675,907.71545,518.7941,0.87896013,887.6514,328.65326,0.69448435,874.9847,184.83716,1.0,875.367,186.59225,0.20014739
46,920.1645,683.61304,0.6487639,907.7277,518.8081,0.869722,887.7632,328.6889,0.69548565,874.96185,184.83691,1.0,875.38904,186.57788,0.20260228
47,920.24445,683.5865,0.65208375,907.7596,518.7992,0.8930711,887.55707,329.09784,0.7495299,874.9003,184.82541,1.0,875.31885,186.56651,0.20506565
48,920.3858,683.2859,0.6120641,907.6938,518.8305,0.8820508,887.28986,329.48782,0.77516013,874.84015,184.91873,1.0,875.2011,186.6413,0.19158635
49,920.1816,683.19214,0.64721984,907.74133,518.8203,0.87987334,887.29913,329.705,0.7561192,874.8458,184.91832,1.0,875.1742,186.64941,0.18436906
50,920.0868,683.24274,0.673448,907.7525,518.813,0.87842435,887.228,329.65002,0.7489184,874.8675,184.892,1.0,875.1342,186.62585,0.17774215
51,920.0158,683.25275,0.6706543,907.74243,518.85223,0.88994104,887.227,329.6487,0.7500276,874.9114,184.90204,1.0,875.15894,186.6429,0.1762218
52,919.9499,683.2567,0.6822798,907.74194,518.8599,0.8950906,886.955,329.43585,0.70894873,874.93835,184.79846,1.0,875.14734,186.53166,0.18576603
53,920.06036,683.2193,0.7034361,907.71295,518.8034,0.88303137,887.319,329.49234,0.7032534,874.89105,184.83002,1.0,941.14935,230.16624,0.19320047
54,920.0675,683.2272,0.7059811,907.71844,518.7587,0.87878126,887.2971,329.4313,0.71624875,874.93506,184.76424,1.0,875.1562,186.48532,0.19034503
55,920.12085,683.2069,0.70509714,907.6869,518.76196,0.8939538,887.26624,329.41714,0.7220808,874.9445,184.81667,1.0,875.19916,186.52869,0.19396573
56,920.2246,683.1957,0.6900283,907.71155,518.81006,0.874449,887.27295,329.3414,0.64085174,875.0333,184.60823,1.0,875.19366,186.33919,0.2048505
57,920.16583,683.2373,0.6852945,907.69586,518.80945,0.88242376,887.2165,329.29385,0.73015076,875.1551,184.80202,1.0,875.2601,186.39459,0.20331693
58,920.098,683.3191,0.6887446,907.67474,518.7322,0.882156,887.0213,329.1029,0.7723348,875.165,184.8696,1.0,875.285,186.46545,0.20216294
59,920.13586,683.2569,0.6885869,907.6928,518.6729,0.8715688,887.3476,329.04474,0.75862366,875.1104,184.7215,1.0,875.2641,186.42923,0.19036573
60,920.1689,683.19086,0.6911831,907.7152,518.5252,0.8616071,887.6336,328.97424,0.7386606,875.2937,184.80365,1.0,875.41754,186.58119,0.20292233
61,920.18604,683.21313,0.6864368,907.72186,518.5131,0.8610471,887.5983,329.0894,0.716113,875.2825,184.7985,1.0,875.4071,186.57498,0.20538642
62,920.1422,683.2256,0.68703884,907.75165,518.56226,0.8662019,887.5037,328.95752,0.725972,875.3064,184.78279,1.0,875.49164,186.37152,0.21413733
63,920.21796,683.24835,0.6782327,907.72375,518.5486,0.8619634,887.5112,329.03394,0.7522109,875.44147,184.75989,1.0,875.59906,186.40747,0.2015654
64,920.1717,683.17487,0.7014941,907.71564,518.54193,0.8668983,887.8009,329.04388,0.7367534,875.406,184.833,1.0,875.6493,186.49405,0.20914106
65,955.1012,679.35724,0.76133,908.9985,517.41315,0.86355144,886.16516,329.86917,0.7602916,874.97565,184.67824,1.0,1054.3025,395.07315,0.24580938
66,1025.5836,632.1544,0.91069365,911.87354,514.16235,0.83409363,884.0876,331.76285,0.79582095,872.6977,185.79994,1.0,938.4898,231.33398,0.19923165
67,1043.264,602.9266,0.9209471,912.9181,511.58823,0.798719,882.44507,332.39227,0.6510794,871.55615,186.21248,1.0,984.8981,478.16202,0.16567883
68,1053.3234,579.94635,0.92862576,913.41046,509.25986,0.92047966,880.76953,332.37613,0.6558251,870.4367,186.32318,0.9816167,935.4794,231.15395,0.14021836
69,1054.2268,564.74915,0.8509474,913.0187,507.5617,0.92316437,879.8326,332.83493,0.67281455,869.0289,186.8603,1.0,933.4384,231.06833,0.1345884
70,1049.6123,588.88727,0.8189387,913.09204,508.14764,0.922505,882.94226,330.656,0.80619115,872.45605,185.61797,1.0,872.70984,187.14404,0.14076076
71,975.7347,669.85547,0.833631,909.13055,517.0525,0.79301494,884.38635,330.8979,0.79499876,874.189,184.76476,1.0,874.5352,186.42838,0.17364359
72,922.9021,682.09955,0.64185303,905.7133,518.68134,0.7907084,885.875,329.04758,0.8114596,874.8382,184.43047,1.0,988.914,484.87405,0.26587638
73,919.9518,682.7009,0.60515785,907.08124,518.21454,0.7996641,888.0975,328.3311,0.73990065,876.3933,184.56241,1.0,988.69086,484.76077,0.24473871
74,976.3576,669.0648,0.9201225,909.3727,516.1187,0.77156353,885.17255,330.0393,0.84423506,874.5135,184.76933,1.0,989.37354,485.87213,0.2158522
75,1037.9009,611.6172,0.85100293,912.7159,510.85013,0.89349633,882.90796,330.4329,0.8714309,872.3704,185.43817,1.0,872.7935,186.88188,0.14162521
76,1052.9686,571.58435,0.8838324,913.3621,506.66425,0.8781608,879.89606,331.52838,0.8085086,869.54553,185.86299,0.9686314,934.1909,229.32385,0.122559056
77,1053.324,569.9225,0.86935186,912.8818,505.87726,0.87125653,879.4473,331.15073,0.76080656,869.06744,185.7513,0.9905556,933.89954,229.3693,0.13108763
78,1007.9982,649.2808,0.6885039,911.1342,512.80133,0.7929654,883.8861,328.6858,0.8050942,874.1391,183.91956,1.0,987.31604,476.0373,0.22684376
79,929.365,680.8297,0.6012033,905.682,518.1965,0.80645746,884.767,329.2384,0.7960961,873.9906,184.37839,1.0,939.4567,229.40347,0.20655078
80,909.4607,681.7525,0.6333053,905.119,517.5135,0.78577363,887.7318,327.5499,0.6934385,876.2469,183.69919,1.0,989.2766,483.4155,0.17436245
81,909.4589,681.791,0.6031627,905.31537,517.67035,0.78787875,887.9358,327.46613,0.69281554,876.5814,183.76718,1.0,889.03937,326.35736,0.16376013
82,924.951,682.53827,0.63794947,907.19403,517.0112,0.78778654,886.5013,328.54083,0.74157983,875.5444,184.10677,1.0,988.2588,484.9861,0.18604387
83,991.0202,661.0587,1.0,910.95447,514.65607,0.83354646,884.4142,330.25345,0.70521134,873.65155,184.59338,1.0,986.7092,477.69846,0.1891335
84,1029.7568,622.90125,0.9942572,912.2949,511.80182,0.85353804,883.6525,330.48737,0.59727556,872.46545,185.2423,1.0,985.29517,475.87567,0.2371993
85,1051.2322,583.40826,0.5447087,913.4854,508.24307,0.92666197,880.34924,331.24866,0.64607435,870.5895,185.69728,0.9867825,870.5013,186.03334,0.15487196
86,1052.9586,572.72296,0.6863093,913.487,506.85733,0.90850544,880.26953,331.11407,0.586754,869.6603,185.63385,0.9620245,869.8028,186.11275,0.12041427
87,1050.7156,583.06226,0.7417568,913.0713,507.5929,0.9235573,880.6471,331.15744,0.5925685,870.9711,185.46846,0.95477766,936.7192,228.95265,0.13678871
88,995.1103,657.1274,0.98309773,910.03156,515.9697,0.7543172,883.3273,329.6055,0.7051019,873.4122,184.83354,1.0,986.4432,476.93335,0.40310752
89,942.54803,681.16864,0.7740352,908.05756,518.5222,0.8164701,884.40265,329.61984,0.70896137,874.0238,184.79396,1.0,987.5071,482.03934,0.43040743
90,916.423,683.7881,0.8913963,905.5807,518.91406,0.7924144,886.42004,328.2719,0.7243642,875.166,184.40767,1.0,987.38947,482.45425,0.39767218
91,914.2459,683.4027,0.90784353,905.54224,517.8788,0.7858143,886.9798,327.50943,0.7002702,876.04364,183.83781,1.0,987.1512,482.1109,0.3465678
92,940.987,680.30676,0.7701073,907.9547,516.1506,0.7958492,884.8156,328.7087,0.74923414,874.7583,184.21384,1.0,987.22296,482.767,0.34898135
93,1022.7197,636.0773,0.91770375,913.1194,513.6259,0.8479181,883.86774,330.60638,0.76129013,873.3901,185.3233,1.0,986.44934,476.29596,0.1379834
94,1050.2174,587.1247,0.9185322,914.82605,507.4491,0.9285651,880.91364,331.59024,0.6849711,870.9298,185.6625,1.0,935.7596,228.59929,0.1333226
95,1057.5354,560.84283,0.97971064,914.96423,504.2318,0.9589407,878.88116,332.26624,0.7322882,867.5812,186.49542,0.993392,932.4995,229.09702,0.19146653
96,1059.0511,552.0064,0.97765666,915.4269,503.29044,0.9284041,877.29,332.28592,0.80735326,865.06323,186.53851,1.0,930.1764,229.46332,0.16801918
97,1056.4456,567.2582,0.9621582,914.9442,503.79648,0.98100907,877.80743,331.69693,0.7738335,866.0607,185.7283,1.0,930.12463,229.3649,0.12106862
98,1018.89417,635.7245,0.79632545,912.94635,511.19092,0.72011936,881.43915,329.06586,0.556598,870.2234,184.69072,0.95152307,936.3651,228.01556,0.14131983
99,948.10284,680.1554,0.9007483,908.6232,517.73236,0.7780807,883.15594,329.2784,0.6261567,871.4737,184.81685,0.97115517,989.7293,481.59253,0.17588742
100,915.76044,684.07806,0.833163,907.3512,517.44434,0.81727666,886.6221,328.1549,0.67637324,874.8617,183.80832,1.0,988.4596,480.93106,0.3322535
101,911.9695,681.59906,0.6632357,907.48413,516.77386,0.8142168,888.112,327.262,0.6052117,876.56036,183.65355,1.0,988.25977,480.94818,0.3439457
102,921.20844,681.4026,0.8937056,907.8923,515.5226,0.8206517,886.6305,328.049,0.64334744,874.953,183.4081,1.0,987.768,479.16937,0.31504735
103,1002.4675,652.831,0.8497164,912.21124,513.8372,0.8046569,883.15625,330.54153,0.6779228,872.12006,184.92035,1.0,987.5699,478.02643,0.28669673
104,1047.606,594.97565,0.88036954,915.19403,507.87927,0.9491978,880.8829,331.32306,0.6058297,870.19995,185.36258,0.9977483,987.17285,473.05243,0.27176002
105,1058.887,560.5819,0.82047874,916.9906,504.62924,1.0,879.85956,332.09415,0.6490035,868.43854,186.58241,1.0,933.698,229.27272,0.1839961
106,1059.5217,551.44366,0.8583464,917.26276,503.42035,0.99742895,878.6346,332.39047,0.69462633,866.1146,186.98683,1.0,931.69415,229.53094,0.15948804
107,1057.643,565.5828,1.0,916.0626,504.35135,0.9688118,878.81024,331.85587,0.7015954,866.4003,186.40736,1.0,932.1634,228.31508,0.19126953
108,1016.21686,649.27325,0.6391384,913.8539,511.41394,0.7953294,882.4368,329.46014,0.5700719,870.0761,185.0464,0.8848471,987.9016,472.46762,0.33376524
109,923.30835,681.1336,0.8356049,907.96014,516.8204,0.7556322,883.29865,329.35294,0.5870886,871.6729,185.22879,0.9302323,987.71216,479.8024,0.34013057
110,901.65375,681.11487,0.7139657,905.80994,515.89575,0.80534756,888.10455,326.86282,0.6449122,875.98584,183.89864,0.95107436,988.3345,480.87537,0.36135957
111,899.36554,681.1714,0.71032614,905.6218,515.7728,0.7981719,888.5359,326.65012,0.64024234,876.5135,183.58546,1.0,988.6058,480.58273,0.34512925
112,920.2886,680.8112,0.7603765,907.69214,514.72174,0.7523389,886.98883,327.90674,0.586911,875.2808,183.58661,1.0,985.9895,478.21487,0.31581566
113,1021.09045,635.88513,0.9927308,913.31226,511.8508,0.8684501,883.45013,330.25668,0.7487676,872.28845,185.15692,0.9716107,939.14795,228.23477,0.16176999
114,1054.0615,582.79364,0.9040989,915.7279,507.4268,0.9822564,880.7892,332.11255,0.58348584,869.68134,186.18976,0.9788156,869.7332,186.77376,0.10502777
115,1056.8922,559.4005,0.84024864,916.8859,505.43756,1.0,880.27716,332.54306,0.6265524,868.3287,186.32043,0.97510326,931.90515,229.61182,0.14504099
116,1057.0564,558.7034,0.8001623,916.67975,505.96936,1.0,880.32117,332.4519,0.63833886,867.9693,186.43077,0.99048066,931.4007,229.79109,0.14505999
117,1053.5542,579.12244,0.7862828,915.84894,506.91928,0.9785319,881.95526,330.55405,0.63950837,870.6169,185.42247,0.97757286,935.7049,228.98969,0.1566324
118,984.61584,664.79205,0.89558697,911.0439,516.78564,0.76847714,883.7359,330.72455,0.62145,871.5007,185.14513,1.0,988.9006,478.44882,0.30255452
119,932.04913,683.6685,0.99241966,908.7063,518.54694,0.8287477,886.0838,329.36102,0.6217266,874.3164,184.20958,1.0,989.5367,482.2181,0.30098084
120,915.5624,683.21606,0.9127922,907.9407,517.856,0.7979513,887.7125,327.8398,0.5893428,875.19214,183.92122,1.0,989.3428,481.70642,0.30286053
121,919.7379,681.459,0.85670775,908.28906,517.1912,0.7568622,887.2541,328.123,0.5493541,875.1575,183.70341,1.0,989.12506,481.45407,0.2327476
122,994.96277,660.1856,1.0,911.92645,514.80316,0.80717033,883.9693,330.55777,0.6615977,872.5462,184.79451,1.0,938.75946,228.83061,0.19205743
123,1045.3804,602.01337,0.9362545,914.75525,510.7579,0.94255525,882.1044,331.8577,0.6861158,870.8242,185.84439,0.9908713,987.11957,474.74057,0.24161735
124,1055.7743,568.6872,0.8672087,915.74976,507.5109,0.9500572,879.56903,332.82385,0.6914208,868.61115,186.40382,1.0,934.2704,229.3718,0.12748216
125,1056.3445,560.06726,0.86292994,915.7987,506.86728,0.97294956,879.5294,332.99524,0.62180877,868.0145,186.39078,0.9878287,931.67914,229.68237,0.16570976
126,1055.9856,569.7372,0.82350457,915.0044,507.79013,0.9507037,879.566,332.85593,0.6958662,868.6678,186.46437,1.0,933.60785,229.70769,0.12203574
127,1030.3654,621.64417,1.0,911.0573,513.6782,0.7254952,882.9478,330.1519,0.6442708,872.00586,185.15334,1.0,1043.1697,409.35422,0.16078681
128,979.31195,667.5081,0.8858464,910.25995,516.51056,0.7876546,885.9751,328.1529,0.7478371,875.5101,184.1104,1.0,875.8998,185.94896,0.17581059
129,915.1316,683.6516,0.7961685,907.5308,517.7446,0.9055022,888.1302,328.19485,0.67420876,876.9753,183.79321,1.0,987.29297,482.5031,0.19049564
130,909.34265,681.4309,0.6903148,907.49,516.91046,0.9015532,888.9799,327.3292,0.69821763,877.77185,182.81607,1.0,988.3028,482.28262,0.20521004
131,942.53076,680.0049,0.6725179,908.9452,515.4572,0.8092064,887.16266,327.92212,0.7467674,875.475,183.24756,1.0,987.5825,479.12128,0.30984116
132,1023.012,634.40717,0.8817679,912.6141,514.5234,0.8346119,883.9007,331.0891,0.80153054,873.10925,184.62697,1.0,1051.834,394.45593,0.30666086
133,1050.02,587.7093,0.8582394,914.1119,509.61053,0.88614684,881.4584,331.6604,0.69654,870.74335,185.59105,0.9669325,936.35815,229.23526,0.14465225
