timestamp,quat1,quat2
152205306087,"(0.9866943359375, 0.08544921875, 0.13812255859375, -0.0098876953125)","(0.0, 0.0, 0.0, 0.0)"
152205317586,"(0.98675537109375, 0.08502197265625, 0.13775634765625, -0.01031494140625)","(0.0, 0.0, 0.0, 0.0)"
152205329610,"(0.98681640625, 0.08465576171875, 0.13775634765625, -0.01055908203125)","(0.0, 0.0, 0.0, 0.0)"
152205340674,"(0.9869384765625, 0.08380126953125, 0.1373291015625, -0.00994873046875)","(0.0, 0.0, 0.0, 0.0)"
152205351506,"(0.99505615234375, 0.08148193359375, 0.13653564453125, -0.009521484375)","(0.0, 0.0, 0.0, 0.0)"
152205361472,"(0.98724365234375, 0.08148193359375, 0.13653564453125, -0.009521484375)","(1.0, 0.00054931640625, 0.00103759765625, -0.0003662109375)"
152205370938,"(0.9952392578125, 0.08026123046875, 0.13592529296875, -0.0091552734375)","(1.0078125, 0.0003662109375, 0.00091552734375, -0.000244140625)"
152205378881,"(0.98760986328125, 0.0792236328125, 0.13531494140625, -0.0086669921875)","(1.0078125, 0.00018310546875, 0.0006103515625, 0.00030517578125)"
152205388118,"(0.99560546875, 0.07830810546875, 0.1346435546875, -0.00787353515625)","(1.0078125, 0.0, 0.000244140625, 0.00054931640625)"
152205397847,"(0.9957275390625, 0.07745361328125, 0.1339111328125, -0.00750732421875)","(1.0078125, -0.00018310546875, -6.103515625e-05, 0.00048828125)"
152205407035,"(0.995849609375, 0.0767822265625, 0.13360595703125, -0.00653076171875)","(1.0078125, -0.00018310546875, -6.103515625e-05, 0.00048828125)"
152205415815,"(0.995849609375, 0.07659912109375, 0.13372802734375, -0.0064697265625)","(1.0, -0.00018310546875, 0.0, 0.0003662109375)"
152205425721,"(0.99591064453125, 0.07598876953125, 0.133544921875, -0.00640869140625)","(0.968994140625, 0.01806640625, 0.24652099609375, 0.00079345703125)"
152205434095,"(0.98822021484375, 0.0750732421875, 0.13311767578125, -0.00689697265625)","(0.9688720703125, 0.0179443359375, 0.24688720703125, 0.0009765625)"
152205441604,"(0.98822021484375, 0.0750732421875, 0.13311767578125, -0.00689697265625)","(0.96881103515625, 0.01788330078125, 0.2470703125, 0.000732421875)"
152205448569,"(0.98828125, 0.07464599609375, 0.13311767578125, -0.007568359375)","(0.96881103515625, 0.0181884765625, 0.24700927734375, 0.0003662109375)"
152205456342,"(0.98834228515625, 0.07421875, 0.1326904296875, -0.0078125)","(0.96881103515625, 0.0181884765625, 0.24700927734375, 0.0003662109375)"
152205464032,"(0.9884033203125, 0.07403564453125, 0.1322021484375, -0.00738525390625)","(0.96881103515625, 0.01812744140625, 0.24700927734375, -6.103515625e-05)"
152205470581,"(0.9884033203125, 0.07403564453125, 0.1322021484375, -0.00738525390625)","(0.96881103515625, 0.01849365234375, 0.24713134765625, -0.0001220703125)"
152205476589,"(0.988525390625, 0.073486328125, 0.13189697265625, -0.00775146484375)","(0.96881103515625, 0.01849365234375, 0.24713134765625, -0.0001220703125)"
152205483920,"(0.98858642578125, 0.0728759765625, 0.131591796875, -0.0084228515625)","(0.96881103515625, 0.01898193359375, 0.24700927734375, -0.00048828125)"
152205489930,"(0.98858642578125, 0.0728759765625, 0.131591796875, -0.0084228515625)","(0.968994140625, 0.0189208984375, 0.2464599609375, -0.000732421875)"
152205497531,"(0.9886474609375, 0.07269287109375, 0.13128662109375, -0.00872802734375)","(0.968994140625, 0.0189208984375, 0.2464599609375, -0.000732421875)"
152205505931,"(0.98858642578125, 0.07305908203125, 0.13134765625, -0.00927734375)","(0.9691162109375, 0.01861572265625, 0.24603271484375, -0.0010986328125)"
152205513428,"(0.98858642578125, 0.07342529296875, 0.13140869140625, -0.009521484375)","(0.9691162109375, 0.0185546875, 0.24578857421875, -0.00128173828125)"
152205518749,"(0.98858642578125, 0.07342529296875, 0.13140869140625, -0.009521484375)","(0.9691162109375, 0.0185546875, 0.24578857421875, -0.00128173828125)"
152205525969,"(0.98846435546875, 0.07403564453125, 0.13177490234375, -0.0096435546875)","(0.96917724609375, 0.01873779296875, 0.24566650390625, -0.00164794921875)"
152205531984,"(0.99627685546875, 0.074462890625, 0.13140869140625, -0.0101318359375)","(0.97698974609375, 0.018798828125, 0.24560546875, -0.001953125)"
152205539420,"(0.98846435546875, 0.074462890625, 0.13140869140625, -0.0101318359375)","(0.97705078125, 0.01904296875, 0.24530029296875, -0.00238037109375)"
152205548676,"(0.988525390625, 0.0743408203125, 0.13128662109375, -0.0108642578125)","(0.97711181640625, 0.01898193359375, 0.24505615234375, -0.00274658203125)"
152205557664,"(0.996337890625, 0.07421875, 0.1312255859375, -0.0115966796875)","(0.97711181640625, 0.01898193359375, 0.24505615234375, -0.00274658203125)"
