scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,-23.887154,5.138774,35.34547,-22.236132,3.4024599,36.857147,-21.010862,1.4169484,40.003906,-19.699892,-0.8794432,42.066227,-18.3099,-2.2759643,43.882515
1,-23.8926,5.1485314,35.342422,-22.239523,3.4147906,36.8601,-21.014565,1.4272368,40.005123,-19.700977,-0.8737085,42.0646,-18.314123,-2.269151,43.88323
2,-23.899591,5.1582594,35.343678,-22.244614,3.4184403,36.86186,-21.021166,1.4307835,39.992203,-19.703928,-0.8712284,42.062798,-18.315882,-2.2669442,43.880013
3,-23.908035,5.1624646,35.349804,-22.2543,3.419087,36.86849,-21.027205,1.4315569,39.986965,-19.708647,-0.8695193,42.06793,-18.325449,-2.267739,43.881577
4,-23.909355,5.162025,35.34465,-22.25652,3.4188893,36.868313,-21.02786,1.4317138,39.986,-19.71048,-0.8714533,42.066593,-18.32582,-2.2683725,43.88188
5,-23.913239,5.169937,35.35541,-22.257338,3.4280028,36.87066,-21.029514,1.4366902,39.981182,-19.711315,-0.8660188,42.06873,-18.32698,-2.2654026,43.88648
6,-23.909166,5.1682963,35.349247,-22.256721,3.4278817,36.87158,-21.029818,1.438556,39.980057,-19.710392,-0.86635154,42.066586,-18.327059,-2.2656875,43.886517
7,-23.913572,5.1648273,35.34577,-22.258589,3.4237838,36.867504,-21.03244,1.4378799,39.981644,-19.7112,-0.86653113,42.06457,-18.327646,-2.2647066,43.891945
8,-23.916603,5.166047,35.34959,-22.264297,3.427521,36.87541,-21.033525,1.4371754,39.980206,-19.716057,-0.8669508,42.069817,-18.329224,-2.2645645,43.895374
9,-23.917444,5.1710696,35.35516,-22.263386,3.4318883,36.874958,-21.032707,1.4408805,39.98196,-19.716581,-0.86527264,42.067677,-18.330608,-2.25995,43.891197
10,-23.922356,5.1853385,35.36248,-22.270332,3.448482,36.8903,-21.035854,1.4529495,39.98729,-19.718513,-0.8534281,42.065983,-18.331738,-2.2543879,43.898014
11,-23.923914,5.187174,35.358078,-22.270252,3.4551244,36.891552,-21.03595,1.4606544,39.974003,-19.723919,-0.8456053,42.0556,-18.333996,-2.2481549,43.89499
12,-23.92781,5.189794,35.35394,-22.276592,3.4593937,36.89157,-21.042868,1.4620882,39.983944,-19.729692,-0.8429678,42.05047,-18.337446,-2.244328,43.892067
13,-23.928545,5.1883707,35.358326,-22.277893,3.4596374,36.892395,-21.044159,1.4632275,39.985847,-19.729599,-0.84060496,42.051224,-18.336653,-2.2454205,43.89351
14,-23.926617,5.1866717,35.357197,-22.276848,3.45856,36.890697,-21.03847,1.4635401,39.97996,-19.726854,-0.8402403,42.047455,-18.334562,-2.2478619,43.892506
15,-23.926361,5.182862,35.361214,-22.275679,3.4530878,36.89385,-21.0389,1.4547476,39.993885,-19.722134,-0.84688944,42.05663,-18.332222,-2.2499638,43.894974
16,-23.927439,5.179086,35.363697,-22.275257,3.447448,36.893574,-21.037828,1.4516771,39.99142,-19.71917,-0.85365623,42.06455,-18.329212,-2.2519214,43.893112
17,-23.924986,5.179292,35.36143,-22.270424,3.447699,36.889072,-21.035568,1.4513471,39.986504,-19.717857,-0.85462874,42.067364,-18.32943,-2.251441,43.894253
