scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
34,-26.808918,6.255382,34.328503,-25.204203,4.426455,35.70995,-23.798391,2.2695093,38.632706,-22.012238,0.18441156,40.58038,-20.697483,-1.0874321,42.174603
35,-26.798395,6.269209,34.3249,-25.201424,4.430798,35.71612,-23.797426,2.2714663,38.640255,-22.011887,0.18505533,40.590538,-20.696726,-1.0901364,42.184082
36,-26.797361,6.2737045,34.325115,-25.198606,4.4305105,35.70693,-23.797808,2.2713363,38.63375,-22.01399,0.18209083,40.584717,-20.699675,-1.0909472,42.177742
37,-26.794529,6.285087,34.329742,-25.197859,4.4319324,35.706543,-23.799541,2.2697754,38.626213,-22.01798,0.1819091,40.585762,-20.70011,-1.091913,42.176468
38,-26.78786,6.3063173,34.34759,-25.19687,4.4377995,35.702587,-23.80499,2.2709415,38.629505,-22.023384,0.17852166,40.589783,-20.70882,-1.0997474,42.18288
39,-26.76186,6.33684,34.342995,-25.190481,4.4434447,35.6887,-23.811512,2.2664058,38.616535,-22.025082,0.16818354,40.580933,-20.707249,-1.107116,42.166355
40,-26.711216,6.3783593,34.343674,-25.18326,4.45131,35.682537,-23.816063,2.2639887,38.61681,-22.032331,0.16155589,40.58583,-20.716787,-1.1141248,42.170662
41,-26.699537,6.387026,34.308712,-25.183186,4.456059,35.68015,-23.81937,2.2629056,38.610367,-22.033579,0.15873757,40.583637,-20.717573,-1.1149347,42.17207
42,-26.704609,6.375093,34.311253,-25.185137,4.4476643,35.678406,-23.821339,2.2608333,38.604515,-22.039097,0.15669093,40.58904,-20.71942,-1.1177262,42.16724
43,-26.695913,6.3758116,34.312256,-25.190538,4.4403644,35.682777,-23.830421,2.25429,38.59864,-22.041859,0.1518004,40.58485,-20.727869,-1.1321647,42.16684
44,-26.572594,6.4676876,34.369854,-25.192507,4.4009867,35.67001,-23.844675,2.2396226,38.593533,-22.057835,0.1341452,40.5849,-20.745295,-1.1460992,42.17827
45,-26.137165,6.751114,34.498173,-25.14688,4.3829556,35.62398,-23.893682,2.2211487,38.575775,-22.086828,0.09329917,40.59682,-20.780285,-1.1837424,42.15642
46,-25.628643,7.0666385,34.73431,-25.049732,4.478659,35.626442,-23.864433,2.2605977,38.563324,-22.077822,0.09997348,40.596714,-20.7743,-1.1812574,42.17318
47,-25.196838,7.274979,35.00007,-24.941647,4.5853763,35.621975,-23.849348,2.3070338,38.51425,-22.076023,0.097033694,40.594826,-20.779621,-1.1933945,42.16753
48,-24.816078,7.356748,35.186714,-24.869019,4.6413593,35.623436,-23.857193,2.3207598,38.46301,-22.084534,0.082015604,40.594124,-20.79479,-1.2097136,42.163696
49,-24.520378,7.391096,35.43974,-24.81429,4.6825385,35.64672,-23.859465,2.3343494,38.434048,-22.09022,0.069551654,40.587627,-20.79986,-1.2140566,42.15086
50,-24.260046,7.4006076,35.642353,-24.745499,4.714397,35.640457,-23.858433,2.3487434,38.414143,-22.09906,0.05671164,40.576454,-20.81288,-1.2276552,42.166
51,-24.045862,7.4044166,35.79603,-24.685148,4.776328,35.691433,-23.849743,2.3582902,38.409447,-22.108286,0.036346648,40.552094,-20.824972,-1.2462715,42.15957
52,-23.84637,7.389244,35.961605,-24.608137,4.8129163,35.711693,-23.845295,2.3639908,38.40332,-22.12302,0.021925375,40.52771,-20.829948,-1.2692931,42.14579
53,-23.623472,7.32097,36.02308,-24.520046,4.85381,35.74434,-23.837223,2.3642154,38.410908,-22.132603,-0.0011779715,40.508648,-20.838993,-1.291224,42.142193
54,-23.482412,7.3153434,36.16,-24.453579,4.887454,35.76472,-23.818123,2.374526,38.414993,-22.130474,-0.0016948094,40.501045,-20.840858,-1.2943891,42.13758
55,-23.430202,7.307588,36.199978,-24.41736,4.8969083,35.753822,-23.811123,2.378467,38.413506,-22.125341,0.0024392514,40.496243,-20.838669,-1.2923803,42.13737
