scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
33,-24.432339,2.3681645,37.571217,-22.416256,0.85407335,38.928173,-18.828644,-2.9035308,38.591778,-18.70041,-1.7745209,43.866817,-16.765526,-2.971017,45.847195
34,-24.434942,2.3597465,37.56313,-22.420458,0.8476693,38.933617,-20.376516,-0.20713823,42.094246,-18.700731,-1.7773709,43.867367,-16.76421,-2.9712486,45.84689
35,-24.434927,2.3596725,37.563164,-22.420443,0.84775233,38.933403,-18.826698,-2.9035122,38.57953,-18.696611,-1.7780597,43.870728,-16.758888,-2.9696214,45.835037
36,-24.433554,2.374132,37.577087,-22.41964,0.8557096,38.93042,-18.823456,-2.90106,38.580704,-18.694063,-1.7787148,43.869408,-16.757788,-2.9695363,45.835354
37,-24.430145,2.3812695,37.58376,-22.418447,0.8554454,38.928543,-18.823599,-2.9014876,38.58014,-18.69007,-1.7772005,43.867546,-16.752827,-2.9672492,45.83625
38,-24.429493,2.3798454,37.58279,-22.41734,0.8549232,38.92709,-18.8155,-2.899256,38.562443,-18.687477,-1.7763985,43.86986,-16.745138,-2.9617143,45.853043
39,-24.426657,2.3838422,37.58127,-22.415934,0.85429955,38.924534,-18.811264,-2.8975062,38.572613,-18.683104,-1.7741033,43.86903,-16.7423,-2.958341,45.845554
40,-24.426916,2.382761,37.57986,-22.414928,0.8537524,38.924263,-18.811401,-2.897292,38.572735,-18.678257,-1.7721273,43.867702,-16.741913,-2.9576857,45.844593
41,-24.42745,2.3833897,37.58168,-22.41511,0.8545215,38.923347,-18.81581,-2.8988194,38.56022,-18.678267,-1.7722398,43.867752,-16.742275,-2.957639,45.84366
42,-24.427977,2.3821077,37.58144,-22.415365,0.8546504,38.92355,-18.81621,-2.8988428,38.559093,-18.678198,-1.7722386,43.86753,-16.742815,-2.9577258,45.842896
43,-24.428104,2.3820148,37.581184,-22.417181,0.8525525,38.923885,-18.81174,-2.8967888,38.570984,-18.67957,-1.7754496,43.866234,-16.742159,-2.9576364,45.84369
44,-24.426449,2.3804934,37.588417,-22.419851,0.84951514,38.92809,-18.81135,-2.90074,38.572292,-18.681986,-1.7787626,43.86779,-16.743885,-2.9581463,45.83905
45,-24.427929,2.3808365,37.582176,-22.42051,0.84868896,38.926056,-18.814367,-2.9016242,38.5709,-18.68302,-1.7834197,43.866997,-16.74462,-2.9607925,45.839554
46,-24.42791,2.3807664,37.58218,-22.420813,0.84870064,38.92466,-18.812971,-2.9029343,38.577175,-18.68299,-1.7834857,43.866867,-16.744743,-2.9649982,45.843224
47,-24.42793,2.3807843,37.5821,-22.420412,0.8482418,38.92591,-18.814314,-2.9036574,38.577133,-18.683298,-1.7842404,43.867565,-16.745491,-2.965466,45.848076
48,-24.426458,2.3802524,37.588127,-22.41998,0.84778243,38.927288,-18.815212,-2.9043062,38.5789,-18.683165,-1.7842753,43.867653,-16.746803,-2.9661882,45.846302
49,-24.422552,2.354171,37.562263,-22.409904,0.8340839,38.92683,-18.816093,-2.9188118,38.57801,-18.6785,-1.7886255,43.85903,-16.748505,-2.969852,45.848194
50,-24.319677,2.1684196,37.510746,-22.348955,0.644811,38.909653,-18.82874,-2.9810224,38.691025,-18.6948,-1.8042026,43.883198,-16.755281,-2.995806,45.864807
51,-24.03443,1.6579453,37.315704,-22.148563,0.22435504,38.917812,-18.819065,-3.106853,38.86351,-18.717321,-1.8638144,43.91711,-16.772911,-3.063143,45.875244
52,-23.607023,1.0300368,37.051994,-21.799717,-0.2610451,38.89383,-18.725096,-3.251763,39.125034,-18.6711,-1.931561,43.9407,-16.71867,-3.1362045,45.92334
53,-23.162413,0.46397355,36.817432,-21.429829,-0.66741663,38.85597,-18.593954,-3.3850305,39.37081,-18.539434,-2.01538,43.973774,-16.593834,-3.189314,45.94174
54,-22.885874,0.07668329,36.70201,-21.205967,-0.96772265,38.843197,-18.520267,-3.458004,39.47503,-18.435553,-2.065361,43.955364,-16.495745,-3.2305162,45.964054
55,-22.834259,-0.24406163,36.612247,-21.172558,-1.1823792,38.78693,-18.488762,-3.4975686,39.474712,-18.388378,-2.1260695,43.87101,-16.433086,-3.268038,45.92873
56,-23.122793,-0.36317182,36.612633,-21.382326,-1.272477,38.77874,-18.491482,-3.537844,39.26049,-18.3764,-2.2495914,43.833397,-16.389442,-3.3523147,45.84831
57,-23.551926,-0.07095643,36.625046,-21.657307,-1.0452319,38.58404,-18.487528,-3.546764,38.91909,-18.29826,-2.3956609,43.67164,-16.294783,-3.4982426,45.709946
58,-23.908442,0.4112399,36.52582,-21.866598,-0.6423083,38.2952,-19.824898,-1.2216498,41.470516,-18.236296,-2.5426495,43.35976,-16.228155,-3.6266685,45.436703
59,-24.182045,0.74461985,36.201344,-22.072578,-0.27525732,37.897915,-19.967058,-1.0790014,41.021015,-18.331598,-2.5299883,42.92184,-16.323421,-3.5757587,44.973515
60,-24.552355,1.0114075,35.743916,-22.367384,0.08516118,37.396797,-20.219654,-0.8674848,40.455284,-18.563211,-2.3634865,42.351944,-16.581203,-3.3770313,44.34548
61,-25.069014,1.3394161,35.15419,-22.862986,0.5047805,36.782825,-20.699038,-0.5375319,39.815582,-19.027292,-2.0785882,41.699932,-17.04866,-3.056801,43.60081
62,-25.82009,1.7732127,34.62087,-23.56209,1.0077802,36.2528,-21.375433,-0.09150876,39.170895,-19.70794,-1.665726,41.021442,-17.723969,-2.6168292,42.84629
63,-26.673637,2.293462,34.15271,-24.404194,1.5658562,35.81985,-22.203806,0.41204193,38.655468,-20.512655,-1.1705412,40.41016,-18.497526,-2.1181216,42.16957
64,-27.499413,2.890566,33.82851,-25.213902,2.1922898,35.450806,-23.025257,0.9123629,38.229595,-21.30903,-0.69764096,39.942078,-19.249886,-1.647295,41.62207
65,-28.209887,3.4175398,33.640404,-25.875164,2.6710021,35.160717,-23.69099,1.266974,37.922688,-21.969648,-0.35492462,39.537617,-19.871906,-1.2821802,41.192562
66,-28.649782,3.782962,33.409817,-26.292034,2.9710107,34.903847,-24.14035,1.5064002,37.63499,-22.446762,-0.12444781,39.272015,-20.2986,-1.0049168,40.875885
67,-28.811798,4.0769577,33.117233,-26.475105,3.196895,34.635838,-24.4239,1.6792583,37.454487,-22.751318,0.043843597,39.052956,-20.578434,-0.80115277,40.66641
68,-28.828478,4.4679666,32.955276,-26.549473,3.4661195,34.465378,-24.603413,1.8791059,37.29942,-22.964481,0.23531488,38.90836,-20.782633,-0.5861655,40.530354
69,-28.942444,4.8043137,32.86782,-26.673206,3.7311997,34.418003,-24.811266,2.0893028,37.21144,-23.180033,0.42944744,38.859886,-20.990623,-0.3647367,40.45468
70,-29.086313,5.035428,32.899323,-26.843794,3.9292066,34.43377,-25.012579,2.2656584,37.275455,-23.427195,0.63648856,38.88162,-21.222897,-0.14671679,40.470222
71,-29.232098,5.1979423,32.971893,-27.019257,4.0803146,34.533478,-25.225597,2.450894,37.377514,-23.630886,0.84005725,38.969193,-21.405079,0.052543458,40.502773
72,-29.306873,5.298092,32.942905,-27.110434,4.1659265,34.57492,-25.329271,2.5923865,37.470707,-23.756767,1.0178814,39.03557,-21.517466,0.26608264,40.524364
73,-29.297255,5.3689985,32.80017,-27.130362,4.2209344,34.458076,-25.373186,2.7177374,37.392246,-23.81038,1.1676263,38.967102,-21.587591,0.430128,40.509506
74,-29.332167,5.516655,32.77043,-27.194708,4.3241453,34.412743,-25.439997,2.8462157,37.3345,-23.887264,1.3303015,38.893604,-21.653137,0.5895483,40.423973
75,-29.40335,5.64589,32.77823,-27.318724,4.312039,34.366146,-25.533627,2.9193966,37.336197,-23.974033,1.4417354,38.90252,-21.718159,0.7110857,40.4224
76,-29.232788,6.0233593,32.858227,-27.371826,4.3415217,34.349888,-25.600935,2.9712934,37.284588,-24.009468,1.4845994,38.89103,-21.767958,0.7627907,40.470047
77,-29.096931,6.212823,32.865253,-27.34558,4.4104357,34.329674,-25.598364,3.0523338,37.287567,-24.006031,1.5653358,38.93816,-21.771847,0.84307075,40.476833
78,-29.045292,6.253548,32.871624,-27.332066,4.438999,34.349884,-25.587631,3.1053655,37.337475,-24.013166,1.6236364,38.97566,-21.781933,0.89169073,40.486473
79,-29.01316,6.256352,32.862446,-27.314888,4.450277,34.365246,-25.569931,3.1391835,37.35095,-24.027727,1.6491535,38.98739,-21.803804,0.90136385,40.523174
80,-28.988798,6.2533994,32.857777,-27.301983,4.4589143,34.37483,-25.562494,3.159888,37.37638,-24.047064,1.652845,38.991253,-21.834286,0.89287716,40.534756
