timestamp,raw,volts,angle
125245361740,2968,0.5565,-132.62065426687167
125245385331,2959,0.5548125,-132.72455562477555
125245411299,2958,0.554625,-132.7361002200982
125245432744,2961,0.5551875000000001,-132.70146643413023
125245458317,2936,0.5505,-132.9900813171965
125245481036,2962,0.5553750000000001,-132.68992183880758
125245503871,2949,0.5529375,-132.84000157800205
125245525331,2957,0.5544375,-132.74764481542084
125245547327,2969,0.5566875,-132.60910967154902
125245569544,2939,0.5510625,-132.95544753122857
125245592911,2939,0.5510625,-132.95544753122857
125245615443,2963,0.5555625,-132.67837724348493
125245636577,2951,0.5533125,-132.81691238735675
125245658530,2947,0.5525625,-132.86309076864734
125245679081,2942,0.551625,-132.9208137452606
125245700711,2969,0.5566875,-132.60910967154902
125245721647,2951,0.5533125,-132.81691238735675
125245743776,2964,0.55575,-132.66683264816228
125245764613,2948,0.55275,-132.85154617332472
125245787099,2964,0.55575,-132.66683264816228
125245809774,2934,0.550125,-133.01317050784183
125245830747,2961,0.5551875000000001,-132.70146643413023
125245851771,2959,0.5548125,-132.72455562477555
125245874300,2957,0.5544375,-132.74764481542084
125245896807,2956,0.55425,-132.7591894107435
125245918765,2969,0.5566875,-132.60910967154902
125245941056,2943,0.5518125,-132.90926914993796
125245962430,2967,0.5563125,-132.63219886219431
125245983037,2959,0.5548125,-132.72455562477555
125246003786,2942,0.551625,-132.9208137452606
125246024575,2949,0.5529375,-132.84000157800205
125246046060,2941,0.5514375,-132.93235834058328
125246066905,2962,0.5553750000000001,-132.68992183880758
125246090498,2939,0.5510625,-132.95544753122857
125246112525,2965,0.5559375,-132.65528805283964
125246135876,2956,0.55425,-132.7591894107435
125246157725,2942,0.551625,-132.9208137452606
125246179706,2967,0.5563125,-132.63219886219431
125246201291,2965,0.5559375,-132.65528805283964
125246222742,2946,0.5523750000000001,-132.87463536397001
125246244274,2963,0.5555625,-132.67837724348493
125246266554,2969,0.5566875,-132.60910967154902
125246288777,2964,0.55575,-132.66683264816228
125246309438,2943,0.5518125,-132.90926914993796
125246331963,2959,0.5548125,-132.72455562477555
125246354109,2949,0.5529375,-132.84000157800205
125246376470,2962,0.5553750000000001,-132.68992183880758
125246397900,2964,0.55575,-132.66683264816228
125246421055,2930,0.5493750000000001,-133.05934888913242
125246442539,2939,0.5510625,-132.95544753122857
125246463798,2951,0.5533125,-132.81691238735675
125246484558,2945,0.5521875,-132.88617995929266
125246506162,2954,0.553875,-132.78227860138878
125246527314,2939,0.5510625,-132.95544753122857
125246550112,2969,0.5566875,-132.60910967154902
125246571002,2947,0.5525625,-132.86309076864734
125246594486,2961,0.5551875000000001,-132.70146643413023
125246617283,2956,0.55425,-132.7591894107435
125246639944,2941,0.5514375,-132.93235834058328
125246662893,2975,0.5578125,-132.5398420996131
125246685227,2943,0.5518125,-132.90926914993796
125246708915,2949,0.5529375,-132.84000157800205
125246729870,2963,0.5555625,-132.67837724348493
125246751169,2952,0.5535,-132.8053677920341
125246773299,2936,0.5505,-132.9900813171965
125246794757,2938,0.550875,-132.96699212655122
125246816343,2966,0.556125,-132.64374345751696
125246838323,2949,0.5529375,-132.84000157800205
125246859916,2957,0.5544375,-132.74764481542084
125246881706,2963,0.5555625,-132.67837724348493
125246902977,2971,0.5570625,-132.58602048090373
125246923787,2948,0.55275,-132.85154617332472
125246945138,2967,0.5563125,-132.63219886219431
125246966938,2955,0.5540625,-132.77073400606614
125246988357,2959,0.5548125,-132.72455562477555
125247013017,2940,0.55125,-132.94390293590592
125247035476,2967,0.5563125,-132.63219886219431
125247056445,2936,0.5505,-132.9900813171965
125247079031,2961,0.5551875000000001,-132.70146643413023
125247099944,2948,0.55275,-132.85154617332472
125247122566,2950,0.553125,-132.8284569826794
125247144641,2940,0.55125,-132.94390293590592
125247167174,2966,0.556125,-132.64374345751696
125247189771,2952,0.5535,-132.8053677920341
125247215250,2944,0.552,-132.8977245546153
125247238592,2946,0.5523750000000001,-132.87463536397001
125247261927,2948,0.55275,-132.85154617332472
125247284133,2975,0.5578125,-132.5398420996131
125247306603,2942,0.551625,-132.9208137452606
125247329474,2958,0.554625,-132.7361002200982
125247350583,2957,0.5544375,-132.74764481542084
125247375528,2952,0.5535,-132.8053677920341
125247397994,2977,0.5581875000000001,-132.51675290896782
125247419683,2937,0.5506875,-132.97853672187387
125247442882,2964,0.55575,-132.66683264816228
125247466973,2967,0.5563125,-132.63219886219431
125247487588,2964,0.55575,-132.66683264816228
125247509477,2934,0.550125,-133.01317050784183
125247529805,2978,0.5583750000000001,-132.50520831364514
125247550104,2966,0.556125,-132.64374345751696
125247570171,2950,0.553125,-132.8284569826794
125247590647,2948,0.55275,-132.85154617332472
125247611296,2942,0.551625,-132.9208137452606
125247631546,2973,0.5574375,-132.5629312902584
125247652422,2978,0.5583750000000001,-132.50520831364514
125247673005,2946,0.5523750000000001,-132.87463536397001
125247693745,2951,0.5533125,-132.81691238735675
125247713614,2957,0.5544375,-132.74764481542084
125247733966,2957,0.5544375,-132.74764481542084
125247754177,2965,0.5559375,-132.65528805283964
125247774164,2938,0.550875,-132.96699212655122
125247793879,2940,0.55125,-132.94390293590592
125247815289,2960,0.555,-132.7130110294529
125247836219,2952,0.5535,-132.8053677920341
125247856465,2947,0.5525625,-132.86309076864734
