scorer,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
31,1032.5295,632.3318,0.5703743,1005.67847,468.92233,0.8044164,964.47064,285.51526,0.8873996,942.70013,144.50522,1.0,942.66565,145.17772,0.24693441
32,1032.5513,632.29645,0.56816286,1005.67334,468.7885,0.7810338,964.34674,285.32193,0.90227383,942.4525,144.54637,1.0,942.5048,145.11348,0.2273918
33,1032.4381,632.29926,0.5862172,1005.6508,468.87714,0.7859171,964.53314,285.44354,0.84602636,942.683,144.55727,1.0,942.685,145.09402,0.21473497
34,1032.23,632.4698,0.60175073,1005.6595,468.86737,0.78351194,964.46014,285.339,0.83603895,942.6731,144.53731,1.0,942.71826,145.05931,0.21934706
35,1032.1816,632.51044,0.6126232,1005.6406,468.8563,0.7860256,964.5263,285.35385,0.8217403,942.7527,144.59177,1.0,942.7915,145.14218,0.19785659
36,1032.2218,632.54156,0.61638176,1005.668,468.89542,0.7754763,964.6726,285.21298,0.81804353,942.6843,144.67949,1.0,942.7124,145.12265,0.22136484
37,1032.2994,632.46265,0.65310764,1005.57513,468.80118,0.76266223,964.63617,285.49927,0.7945481,942.5862,144.5928,1.0,942.66095,145.01846,0.23280077
38,1032.2911,632.43774,0.6477169,1005.4847,468.71155,0.7529823,964.84357,285.1692,0.8203777,942.78455,144.53568,1.0,942.8407,144.88763,0.23668574
39,1032.1729,632.44934,0.68019706,1005.4485,468.7414,0.7608858,964.9031,285.11395,0.87932557,942.8946,144.44435,1.0,942.9497,144.78928,0.2439986
40,1047.6543,716.18744,0.6174482,1005.47363,468.7054,0.7748089,964.93835,285.1379,0.7522906,942.6613,144.49812,1.0,942.69574,144.90489,0.23028372
41,1032.2311,632.3347,0.622888,1005.4475,468.6271,0.77023715,964.9134,285.02905,0.8163908,942.6156,144.49998,1.0,942.6301,145.00879,0.22265369
42,1032.2244,632.2975,0.6168728,1005.427,468.5619,0.7645059,964.8408,285.04086,0.797419,942.685,144.3912,1.0,942.6974,144.81726,0.19929123
43,1032.2183,632.29895,0.6123607,1005.41583,468.6725,0.7661132,964.99457,285.08203,0.8404301,942.66315,144.38849,1.0,942.7662,144.77257,0.2180765
44,1048.0935,716.0035,0.6034639,1005.689,468.4477,0.7718056,964.7692,285.0636,0.84377617,942.48474,144.42935,1.0,942.6259,144.86444,0.23998076
45,1032.2383,632.23016,0.59023714,1005.67725,468.62173,0.796317,964.8971,284.9418,0.8332057,942.49866,144.42055,1.0,942.62714,144.81212,0.22057788
46,1048.1155,715.1837,0.64137673,1005.73676,468.61502,0.7943448,964.8782,284.9813,0.8247361,942.68994,144.48459,1.0,942.7952,144.8941,0.24704203
47,1048.0013,715.78613,0.61022663,1005.7508,468.58554,0.79416585,964.9156,284.9077,0.7742486,942.6769,144.45348,1.0,942.8455,144.84062,0.21271086
48,1048.7596,713.98914,0.61666834,1005.7963,468.5805,0.79259235,964.9676,284.9293,0.8359636,942.3767,144.65828,1.0,942.51733,145.10394,0.23638141
49,1048.46,714.2828,0.6170857,1005.79156,468.55484,0.7741265,965.1318,284.87033,0.82375413,942.4201,144.22874,1.0,942.526,144.73312,0.2414195
50,1048.4678,714.56604,0.59101737,1005.81757,468.5959,0.7689698,965.41595,284.77066,0.8450448,942.6978,144.18146,1.0,942.78064,144.64993,0.20113958
51,1048.1284,715.08405,0.60693884,1005.74695,468.58655,0.7703508,965.5217,284.78595,0.81591004,943.0108,144.2937,1.0,943.06305,144.64758,0.18380535
52,1047.9977,714.9446,0.6375981,1005.7372,468.35242,0.7460147,965.2054,284.81866,0.6996057,943.6024,144.34125,1.0,943.27344,144.28267,0.22482586
53,1048.2024,715.15875,0.5922058,1005.6646,467.8227,0.72659516,965.2609,284.2344,0.73589784,943.7158,143.73094,1.0,943.3618,143.80011,0.18322939
54,1048.1064,714.2023,0.5623708,1005.51825,467.42505,0.70505923,965.3267,284.2025,0.758191,943.6031,143.69069,1.0,943.32056,143.7774,0.18258141
55,1032.107,631.3926,0.5661143,1005.4962,467.46094,0.7054644,965.3739,284.2219,0.7133874,943.6876,143.57085,1.0,943.38855,143.70244,0.20422949
56,1047.828,714.17834,0.54798496,1005.4876,467.469,0.6900316,965.4071,284.25714,0.699083,943.6791,143.53409,1.0,943.3777,143.71065,0.1771003
57,1047.8684,714.09814,0.6053593,1005.42725,467.47916,0.68882275,965.4806,284.10504,0.8064864,943.8296,143.44061,1.0,943.50183,143.6396,0.19719641
58,1030.7189,630.9837,0.49940467,1005.41754,467.40793,0.7086735,965.5486,284.1344,0.79400885,943.8959,143.4639,1.0,943.566,143.61237,0.2064262
59,1030.7306,631.0112,0.50271183,1005.3802,467.42618,0.7125037,965.5291,284.05356,0.80411875,943.85315,143.51894,1.0,943.48975,143.62843,0.20450741
60,1030.7223,631.01624,0.496116,1005.2732,467.40546,0.71362036,965.4357,284.007,0.80195653,943.7678,143.75165,1.0,943.5187,143.86006,0.2247038
61,1030.7327,631.0531,0.48903447,1005.2629,467.39642,0.69633377,965.1458,283.99533,0.7231123,943.5913,143.80692,1.0,943.5056,144.05948,0.1906127
62,1030.6902,631.07684,0.47244987,1005.32056,467.41077,0.6964839,965.3527,283.89252,0.7377655,943.6298,143.6265,1.0,943.5642,143.94987,0.21794225
63,1030.6874,631.1038,0.48008895,1005.3116,467.41534,0.6991724,965.32526,284.0484,0.7513965,943.6079,143.69014,1.0,943.5356,143.9747,0.1954847
64,1046.581,716.48157,0.4774852,1005.2719,467.44373,0.7078073,965.1627,284.15784,0.77977836,943.6771,143.7137,1.0,943.5993,144.08246,0.2007327
65,1046.2612,716.39667,0.4929279,1005.24603,467.28015,0.6927748,965.3754,284.17352,0.7713773,943.7268,143.47731,1.0,943.68964,143.8066,0.22158626
66,1045.8895,716.395,0.5076429,1005.25006,467.28436,0.69185543,965.39185,284.10898,0.750908,943.81683,143.54086,1.0,943.7871,143.8487,0.21868077
67,1045.9344,715.48596,0.47174084,1005.20776,467.1697,0.67593974,965.5017,283.96082,0.8169775,943.9371,143.04688,1.0,943.8845,143.44049,0.25682354
