scorer,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
31,981.4801,607.3128,0.86464846,969.6628,432.802,0.8593505,959.7385,247.46675,0.7651521,948.39044,114.67889,0.75202876,969.6851,431.7589,0.05301118
32,981.5497,607.3077,0.8566975,969.6829,432.84836,0.8690423,959.66235,247.52084,0.76545835,948.4002,114.69848,0.75156665,969.65857,431.80145,0.0521429
33,981.48,607.3979,0.8403077,969.72406,432.83914,0.87005085,959.72144,247.48593,0.78577983,948.3998,114.682785,0.765408,969.71576,431.78244,0.049620442
34,981.5422,607.356,0.8540522,969.7556,432.85153,0.86318934,960.255,247.23552,0.78049415,948.28986,114.673096,0.76892215,969.75775,431.78928,0.048954614
35,981.5614,607.35425,0.85126597,969.7768,432.85983,0.869633,960.268,247.25117,0.7743453,948.37885,114.68687,0.7705507,969.79736,431.80865,0.044337645
36,981.47766,607.3772,0.8345415,969.86005,432.84122,0.8948328,959.7467,247.51706,0.7787976,948.42255,114.64904,0.7671217,970.902,426.98328,0.04741
37,981.4685,607.32465,0.8523571,969.72736,432.91522,0.9002704,960.06726,247.20758,0.7504946,948.4175,114.68348,0.76411027,1012.43604,167.71745,0.045914643
38,981.5045,607.3469,0.8569826,969.7543,432.95078,0.9163411,960.1171,247.25166,0.74754137,948.3864,114.68518,0.7651792,948.6652,114.71331,0.044427395
39,981.4841,607.3368,0.85783464,969.70245,432.9857,0.90537804,960.0888,247.29532,0.7458796,948.38965,114.7097,0.76156247,906.8231,213.57639,0.048842397
40,981.5261,607.3249,0.8439195,969.67865,433.01508,0.9134892,960.1334,247.35228,0.76563275,948.4567,114.722404,0.758057,906.3975,214.41145,0.056995917
41,981.3221,607.40735,0.827309,969.6119,432.9343,0.8980555,960.1159,247.36206,0.75165665,948.4373,114.69391,0.7649691,906.40137,214.35625,0.05628974
42,981.2695,607.39874,0.82430214,969.582,432.82437,0.8832167,960.1041,247.3624,0.7610812,948.43585,114.65487,0.75960356,969.59143,431.78094,0.051097542
43,981.07495,607.4379,0.84073937,969.5992,432.676,0.85536104,960.0691,247.35936,0.7846701,948.45447,114.64165,0.7585228,969.6132,431.63037,0.049810033
44,981.0838,607.52374,0.81239283,969.6197,432.79407,0.8791135,960.194,247.30867,0.77413714,948.4982,114.630516,0.7494351,969.6197,431.7494,0.05004064
45,981.1759,607.5263,0.82122564,969.5934,432.869,0.87922007,960.37524,247.34251,0.7715568,948.4747,114.59627,0.75915813,969.5964,431.82275,0.051596686
46,981.2286,607.54,0.8175135,969.59265,432.84814,0.8741046,960.3369,247.30383,0.7701542,948.49054,114.607796,0.7587859,969.59827,431.80835,0.055357773
47,981.20013,607.49347,0.8253754,969.6201,432.85486,0.8876555,960.423,247.38516,0.7668996,948.48425,114.60327,0.7541403,969.63196,431.80182,0.051799834
48,981.23,607.5557,0.82168573,969.67444,432.84427,0.87756836,960.5098,247.37325,0.7666455,948.46545,114.681465,0.7496034,1156.582,455.94873,0.05504547
49,981.1825,607.5219,0.8479019,969.72314,432.6926,0.8648325,960.37396,247.17154,0.7778268,948.47345,114.63793,0.7574363,1012.50385,167.44424,0.05369731
50,981.17706,607.4941,0.845307,969.7357,432.7086,0.8714233,960.304,247.26022,0.7998475,948.5376,114.620766,0.7596447,1012.5181,167.57455,0.050435282
51,981.1727,607.49396,0.84915483,969.7843,432.67575,0.85219723,960.257,247.27739,0.8080141,948.54834,114.62442,0.76011056,1012.4949,167.52527,0.050318915
52,981.1379,607.4242,0.850931,969.8045,432.6231,0.84357363,960.38837,247.2735,0.79028827,948.54553,114.63968,0.7683413,1012.39557,167.80133,0.048653822
53,981.11,607.3564,0.8573618,969.7615,432.6588,0.8660937,960.4448,247.28258,0.781719,948.6744,114.65245,0.75795287,969.8135,431.61224,0.05067045
54,981.1954,607.3715,0.85734123,969.7742,432.70206,0.87495875,960.6183,247.33456,0.7916323,948.70123,114.64025,0.7799786,969.8204,431.65585,0.047902253
55,981.19434,607.39404,0.85817456,969.7502,432.73697,0.867173,960.5119,247.37772,0.7952992,948.65894,114.65952,0.7790975,969.78204,431.6961,0.047383845
56,981.35986,607.3056,0.83909094,969.7425,432.7875,0.85932994,960.4667,247.3611,0.80838585,948.55835,114.62669,0.778945,969.7798,431.75424,0.047053296
57,981.37305,607.3216,0.83598965,969.7352,432.86258,0.88083863,960.65497,247.26953,0.7839987,948.6512,114.670425,0.7761183,969.77057,431.8205,0.047730036
58,981.35583,607.32227,0.8244037,969.74884,432.8713,0.8838636,960.57434,247.35991,0.78598815,948.69727,114.71318,0.76725304,1011.7699,168.15652,0.04667938
59,981.3674,607.3352,0.83238876,969.6925,432.96573,0.8942233,960.496,247.26817,0.77821434,948.7923,114.677795,0.7649375,1011.0882,168.27275,0.04578601
60,981.3066,607.4762,0.81569564,969.8005,432.98047,0.9092153,961.02637,247.30165,0.7330824,948.8899,114.73012,0.7505913,912.7784,257.63724,0.05914291
