timestamp,raw,volts,angle
162200398299,2943,0.5518125,-132.90926914993796
162200422352,2972,0.55725,-132.57447588558108
162200446238,2978,0.5583750000000001,-132.50520831364514
162200469382,2945,0.5521875,-132.88617995929266
162200492248,3007,0.5638125,-132.17041504928827
162200513617,2952,0.5535,-132.8053677920341
162200536084,2984,0.5595,-132.43594074170926
162200558785,2964,0.55575,-132.66683264816228
162200579352,2986,0.559875,-132.41285155106394
162200602530,2939,0.5510625,-132.95544753122857
162200625596,2985,0.5596875,-132.42439614638658
162200648873,2949,0.5529375,-132.84000157800205
162200670138,2968,0.5565,-132.62065426687167
162200692759,2979,0.5585625,-132.49366371832252
162200714839,2936,0.5505,-132.9900813171965
162200737123,2992,0.561,-132.34358397912803
162200759441,2969,0.5566875,-132.60910967154902
162200781117,2961,0.5551875000000001,-132.70146643413023
162200804006,2957,0.5544375,-132.74764481542084
162200827858,2984,0.5595,-132.43594074170926
162200848908,2944,0.552,-132.8977245546153
162200870704,2984,0.5595,-132.43594074170926
162200892552,2958,0.554625,-132.7361002200982
162200915768,2965,0.5559375,-132.65528805283964
162200936418,2946,0.5523750000000001,-132.87463536397001
162200958930,2987,0.5600625,-132.4013069557413
162200980169,2937,0.5506875,-132.97853672187387
162201002069,2956,0.55425,-132.7591894107435
162201023760,2981,0.5589375,-132.4705745276772
162201047419,2966,0.556125,-132.64374345751696
162201070551,2953,0.5536875,-132.79382319671146
162201092007,2996,0.56175,-132.29740559783744
162201112983,2942,0.551625,-132.9208137452606
162201134371,2953,0.5536875,-132.79382319671146
162201155336,2983,0.5593125,-132.4474853370319
162201175856,2975,0.5578125,-132.5398420996131
162201201680,2942,0.551625,-132.9208137452606
162201223805,2995,0.5615625,-132.3089501931601
162201246134,2941,0.5514375,-132.93235834058328
162201267853,2977,0.5581875000000001,-132.51675290896782
162201290330,2970,0.556875,-132.59756507622637
162201313774,2975,0.5578125,-132.5398420996131
162201334568,2934,0.550125,-133.01317050784183
162201356006,2997,0.5619375,-132.28586100251476
162201377226,2954,0.553875,-132.78227860138878
162201400051,2967,0.5563125,-132.63219886219431
162201423759,2984,0.5595,-132.43594074170926
162201446809,2994,0.561375,-132.32049478848273
162201467361,2931,0.5495625000000001,-133.04780429380978
162201489816,2988,0.56025,-132.38976236041864
162201512355,2962,0.5553750000000001,-132.68992183880758
162201535243,2957,0.5544375,-132.74764481542084
162201556747,2947,0.5525625,-132.86309076864734
162201577081,2996,0.56175,-132.29740559783744
162201600084,2944,0.552,-132.8977245546153
162201619362,2950,0.553125,-132.8284569826794
162201640096,2970,0.556875,-132.59756507622637
162201660844,2963,0.5555625,-132.67837724348493
162201680969,2974,0.557625,-132.55138669493576
162201701170,2940,0.55125,-132.94390293590592
162201720924,2933,0.5499375,-133.02471510316448
162201740338,2982,0.559125,-132.45902993235455
162201761559,2959,0.5548125,-132.72455562477555
162201781887,2962,0.5553750000000001,-132.68992183880758
162201801872,2943,0.5518125,-132.90926914993796
162201821758,2945,0.5521875,-132.88617995929266
162201841598,2987,0.5600625,-132.4013069557413
162201862047,2949,0.5529375,-132.84000157800205
162201882736,2956,0.55425,-132.7591894107435
162201903318,2959,0.5548125,-132.72455562477555
162201923142,2950,0.553125,-132.8284569826794
162201943579,2990,0.560625,-132.36667316977335
162201963417,2995,0.5615625,-132.3089501931601
162201983388,2949,0.5529375,-132.84000157800205
162202003885,2983,0.5593125,-132.4474853370319
162202023321,2955,0.5540625,-132.77073400606614
162202043809,2976,0.558,-132.52829750429046
162202063750,2991,0.5608125,-132.3551285744507
162202084008,2943,0.5518125,-132.90926914993796
162202104725,2986,0.559875,-132.41285155106394
162202125220,2973,0.5574375,-132.5629312902584
162202144934,2957,0.5544375,-132.74764481542084
162202164814,2974,0.557625,-132.55138669493576
162202184922,2940,0.55125,-132.94390293590592
162202205322,2944,0.552,-132.8977245546153
162202225376,2987,0.5600625,-132.4013069557413
162202245739,2955,0.5540625,-132.77073400606614
162202267218,2963,0.5555625,-132.67837724348493
162202289238,2987,0.5600625,-132.4013069557413
162202312764,2938,0.550875,-132.96699212655122
162202336750,2981,0.5589375,-132.4705745276772
162202359055,2987,0.5600625,-132.4013069557413
162202381638,2969,0.5566875,-132.60910967154902
162202404391,2960,0.555,-132.7130110294529
162202425458,2990,0.560625,-132.36667316977335
162202447996,2948,0.55275,-132.85154617332472
162202469749,2940,0.55125,-132.94390293590592
162202489817,2969,0.5566875,-132.60910967154902
162202511192,2972,0.55725,-132.57447588558108
162202530480,2965,0.5559375,-132.65528805283964
162202550649,2935,0.5503125,-133.00162591251916
162202570550,2941,0.5514375,-132.93235834058328
162202590826,2977,0.5581875000000001,-132.51675290896782
162202610901,2980,0.55875,-132.48211912299985
162202630298,2960,0.555,-132.7130110294529
162202649823,2969,0.5566875,-132.60910967154902
162202670807,2941,0.5514375,-132.93235834058328
162202691279,2983,0.5593125,-132.4474853370319
162202712524,2951,0.5533125,-132.81691238735675
162202733400,2953,0.5536875,-132.79382319671146
162202753751,2969,0.5566875,-132.60910967154902
162202775149,2954,0.553875,-132.78227860138878
162202795220,2991,0.5608125,-132.3551285744507
162202815993,2943,0.5518125,-132.90926914993796
162202836832,2939,0.5510625,-132.95544753122857
162202856622,2981,0.5589375,-132.4705745276772
162202876508,2954,0.553875,-132.78227860138878
162202897532,2971,0.5570625,-132.58602048090373
162202917538,2940,0.55125,-132.94390293590592
162202937532,2927,0.5488125,-133.0939826751004
162202958058,2998,0.562125,-132.27431640719215
162202979923,2957,0.5544375,-132.74764481542084
