scorer,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
32,980.1358,653.1979,0.92161393,942.0603,482.97717,0.97453016,934.613,300.6444,0.6282051,944.02783,177.60316,0.9835357,980.88446,14.878461,1.0
33,980.1302,653.2211,0.91422766,942.04443,483.00848,0.97943854,934.5202,300.95703,0.67461205,943.8879,177.55963,0.9586801,980.9073,14.891724,1.0
34,980.1715,653.22437,0.9142314,942.04736,483.00552,0.97167844,934.51886,301.131,0.6881659,944.0089,177.48102,0.96862906,980.9036,14.820742,1.0
35,980.1514,653.21765,0.9161969,942.0265,483.0354,0.9750084,934.3915,301.0851,0.67690665,943.94086,177.54237,0.95823103,981.16797,14.837606,1.0
36,980.0951,653.26,0.92719096,941.9965,483.0347,0.9695145,934.37213,300.99472,0.68456835,943.9891,177.555,0.95973104,981.1997,14.818289,1.0
37,980.07635,653.2425,0.911307,942.0037,483.00946,0.9746655,934.4976,300.9504,0.67348117,943.8823,177.60376,0.9601529,981.158,14.814327,1.0
38,980.09106,653.2404,0.9135734,941.9797,482.9841,0.9719924,934.5593,300.78943,0.67512727,944.0457,177.55159,0.96253043,980.9895,14.856097,1.0
39,980.1899,653.2668,0.91325897,941.9716,482.9915,0.98135275,934.4833,300.87848,0.680397,944.00775,177.6175,0.963574,981.14954,14.829111,1.0
40,980.11993,653.4617,0.88633686,941.9574,483.00256,0.9825079,934.56476,301.1134,0.69500524,944.2176,177.60687,0.97374594,981.1495,14.81132,1.0
41,980.1468,653.2982,0.91947323,942.0102,482.985,0.9753572,934.441,300.80484,0.6634482,944.2042,177.54823,0.968272,981.1552,14.81507,1.0
