scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,forearm,forearm,forearm
coords,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,-9.219865,-3.7542086,18.754984,-8.933744,-3.4365144,16.991968,-8.779913,-2.950621,14.778589
1,-9.566504,-4.2070217,20.501398,-9.220099,-3.7529767,18.755037,-8.933089,-3.4361715,16.990726,-8.779542,-2.9508164,14.778365
2,-9.566445,-4.206971,20.501524,-9.221335,-3.7525167,18.756477,-8.933123,-3.435971,16.991167,-8.780002,-2.9501982,14.779385
3,-9.565941,-4.2070947,20.50412,-9.224165,-3.751069,18.760826,-8.933108,-3.4356866,16.991734,-8.780142,-2.9503775,14.779813
4,-9.566763,-4.208692,20.515835,-9.224022,-3.7516546,18.76482,-8.933717,-3.4368653,16.994286,-8.780111,-2.9511027,14.780919
5,-9.570826,-4.2109094,20.526634,-9.224022,-3.7516546,18.76482,-8.933717,-3.4368653,16.994286,-8.7805195,-2.9512775,14.781744
6,-9.571663,-4.210548,20.529074,-9.2228565,-3.7517166,18.764677,-8.933026,-3.4375653,16.995644,-8.778566,-2.9522638,14.782394
7,-9.57441,-4.210807,20.535189,-9.223646,-3.7531183,18.769112,-8.934325,-3.437363,16.999348,-8.779269,-2.9529393,14.784899
8,-9.576581,-4.2118306,20.54018,-9.22409,-3.7524543,18.770535,-8.934471,-3.4369745,17.000076,-8.77932,-2.952937,14.784912
9,-9.579707,-4.2121058,20.554176,-9.222415,-3.7520676,18.771374,-8.935516,-3.439059,17.005459,-8.7789955,-2.9534514,14.788186
10,-9.578546,-4.212463,20.553291,-9.222281,-3.7520611,18.771326,-8.935516,-3.439059,17.005459,-8.7789955,-2.9534514,14.788186
11,-9.578546,-4.212463,20.553291,-9.222281,-3.7520611,18.771326,-8.935516,-3.439059,17.005459,-8.7789955,-2.9534514,14.788186
12,-9.580423,-4.212007,20.559822,-9.224129,-3.752245,18.77837,-8.937663,-3.4394736,17.011023,-8.77838,-2.9538257,14.789188
13,-9.580809,-4.212036,20.559967,-9.224129,-3.752245,18.77837,-8.937663,-3.4394736,17.011023,-8.77838,-2.9538257,14.789188
14,-9.596992,-4.2168555,20.625013,-9.236865,-3.756301,18.816462,-8.937611,-3.44301,17.02645,-8.776791,-2.959879,14.798544
15,-9.595701,-4.2171054,20.624393,-9.237547,-3.756326,18.818857,-8.937655,-3.4430125,17.026884,-8.776962,-2.959701,14.79884
16,-9.596974,-4.2142563,20.633097,-9.237848,-3.7554972,18.820934,-8.938028,-3.4429297,17.028013,-8.776975,-2.9596786,14.79901
17,-9.596214,-4.2135777,20.634773,-9.238278,-3.7556534,18.822037,-8.938224,-3.4426033,17.028744,-8.77703,-2.9597027,14.799123
18,-9.597275,-4.214099,20.6411,-9.240037,-3.756279,18.827848,-8.938354,-3.4424844,17.02916,-8.777205,-2.9594033,14.799655
19,-9.596594,-4.21289,20.64876,-9.239468,-3.7563472,18.827625,-8.938616,-3.4424777,17.02985,-8.776891,-2.9596088,14.799814
20,-9.609322,-4.2131095,20.685997,-9.242667,-3.7580853,18.83591,-8.939138,-3.443003,17.03185,-8.776915,-2.9595594,14.7998905
21,-9.630269,-4.208174,20.771803,-9.242251,-3.758066,18.835766,-8.939238,-3.4431314,17.031672,-8.776915,-2.9595594,14.7998905
22,-9.676224,-4.186809,20.930208,-9.236519,-3.7596712,18.830894,-8.93988,-3.4423788,17.033178,-8.77616,-2.9596152,14.799207
23,-9.783169,-4.1730146,21.262098,-9.234487,-3.7607608,18.823557,-8.938474,-3.4423494,17.030046,-8.776257,-2.9589465,14.798545
24,,,,-9.23266,-3.7603703,18.817678,-8.938493,-3.4425504,17.025381,-8.778022,-2.956749,14.796045
25,,,,-9.220191,-3.7607071,18.787893,-8.93671,-3.4421864,17.020254,-8.777408,-2.9575138,14.793763
26,-10.052171,-4.06368,22.15276,-9.20696,-3.7533152,18.738176,-8.931162,-3.4341862,16.997946,-8.780275,-2.9516973,14.784758
27,-10.163136,-4.0173287,22.454802,-9.200375,-3.7535584,18.722715,-8.92991,-3.4339051,16.995346,-8.7799015,-2.9515717,14.783675
28,-10.243872,-3.96722,22.704988,-9.198679,-3.7539113,18.718401,-8.930608,-3.433061,16.994625,-8.780354,-2.951137,14.783204
29,-10.287593,-3.9199185,22.861607,-9.197486,-3.7538311,18.717249,-8.930564,-3.43303,16.994635,-8.780849,-2.9511614,14.782985
30,-10.356176,-3.8789213,23.045086,-9.196142,-3.7548773,18.713276,-8.931305,-3.4335194,16.993574,-8.782278,-2.9497786,14.781069
31,-10.403892,-3.8248973,23.168919,-9.196333,-3.7543552,18.711948,-8.930642,-3.433587,16.992476,-8.780145,-2.95026,14.779591
32,,,,-9.194576,-3.7554152,18.705427,-8.930418,-3.4344132,16.990929,-8.778756,-2.9499073,14.778119
33,,,,-9.194492,-3.756614,18.705036,-8.929698,-3.4352043,16.991388,-8.778314,-2.9500315,14.777921
34,,,,-9.1937065,-3.7566464,18.704035,-8.928076,-3.4352221,16.98858,-8.778733,-2.9500468,14.777896
35,,,,-9.1932955,-3.7564678,18.70315,-8.927608,-3.4356334,16.987038,-8.781026,-2.9511895,14.782461
36,,,,-9.190719,-3.7572098,18.70238,-8.927024,-3.4355562,16.986324,,,
37,,,,-9.191543,-3.7554958,18.706043,-8.927356,-3.4355617,16.98643,,,
38,,,,-9.192868,-3.7540846,18.709154,-8.927378,-3.435522,16.986504,,,
39,,,,-9.193357,-3.7533464,18.71073,-8.928176,-3.4350853,16.987312,,,
40,,,,-9.193455,-3.753122,18.71121,-8.929822,-3.434049,16.989271,,,
41,,,,-9.193726,-3.753135,18.711306,-8.930226,-3.433681,16.990026,,,
42,,,,-9.1949,-3.7532575,18.712719,-8.930247,-3.4337149,16.990303,,,
43,,,,-9.194617,-3.7527456,18.713993,-8.930546,-3.4336808,16.990982,,,
44,,,,-9.195671,-3.7556326,18.722635,-8.928637,-3.4357393,16.993105,,,
