scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
34,-26.653543,6.1679068,34.535942,-24.912073,4.574284,36.031857,-23.485638,2.448062,38.886433,-22.0346,0.2160335,40.782887,-20.757202,-1.2005098,42.37538
35,-26.623999,6.2001743,34.53462,-24.88312,4.5991774,36.008755,-23.47343,2.4573262,38.87759,-22.034624,0.2139844,40.78249,-20.775257,-1.2125483,42.358982
36,-26.570898,6.2662277,34.522415,-24.847586,4.65282,36.001614,-23.429342,2.5112164,38.84376,-22.010248,0.24596152,40.763855,-20.75333,-1.1928227,42.357296
37,-26.538097,6.3058624,34.54234,-24.805866,4.696555,35.992393,-23.406397,2.544543,38.851532,-22.003033,0.25955278,40.76184,-20.748789,-1.1828414,42.35378
38,-26.540382,6.3000894,34.54222,-24.807663,4.6905556,35.988068,-23.406893,2.544876,38.85127,-22.014627,0.25814083,40.7618,-20.772259,-1.1951443,42.343338
39,-26.545826,6.2710276,34.51229,-24.8241,4.658055,36.00305,-23.424395,2.5138109,38.854008,-22.032492,0.23398857,40.769962,-20.804358,-1.2249502,42.332787
40,-26.527527,6.234054,34.524727,-24.81431,4.635406,36.009544,-23.43803,2.4690094,38.869236,-22.04736,0.1924581,40.780056,-20.840616,-1.2895994,42.35962
41,-26.508465,6.2064915,34.5275,-24.80145,4.6108236,36.033188,-23.433884,2.4509683,38.88297,-22.054434,0.17358394,40.790424,-20.86445,-1.3302563,42.378433
42,-26.483414,6.2020597,34.52723,-24.781946,4.6057625,36.05762,-23.435314,2.4467475,38.887848,-22.05697,0.15793622,40.798656,-20.873058,-1.352678,42.386074
43,-26.50612,6.2075734,34.532505,-24.7969,4.5955024,36.053127,-23.445307,2.4405408,38.881588,-22.074394,0.15135944,40.80227,-20.890587,-1.3595766,42.38915
44,-26.544403,6.1760716,34.53266,-24.832111,4.560882,36.027714,-23.474152,2.415435,38.90131,-22.101051,0.12342386,40.808918,-20.91749,-1.3708888,42.3918
45,-26.559422,6.1490417,34.511673,-24.850567,4.5488873,36.016727,-23.492794,2.3944855,38.888622,-22.118044,0.10800778,40.818268,-20.922276,-1.376577,42.39271
46,-26.570309,6.141872,34.52127,-24.85615,4.5433064,36.02374,-23.494001,2.3914735,38.888912,-22.120007,0.10566646,40.823128,-20.920542,-1.3768184,42.39606
47,-26.580547,6.136811,34.524975,-24.872145,4.5388136,36.02592,-23.50491,2.384903,38.89981,-22.129509,0.10022671,40.827236,-20.925123,-1.3813616,42.393135
