scorer,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
31,1013.00415,638.13104,0.62055117,896.6397,559.09717,0.7899292,865.1883,414.21384,0.7687315,827.19104,302.7404,0.84542155,761.4943,174.90451,0.7220805
32,1012.98315,638.15106,0.6184776,896.6036,559.1372,0.7897425,865.14606,414.3108,0.76770437,827.11615,302.74847,0.836149,761.33,174.7708,0.7108543
33,1012.92596,638.0879,0.6176598,896.59296,559.2853,0.7916749,864.883,414.31375,0.75462395,827.112,302.60602,0.7807132,761.3075,174.75871,0.6849851
34,1012.89703,638.089,0.6180227,896.65515,559.2159,0.80334437,864.78735,414.25012,0.76851845,826.9448,302.58292,0.7916653,760.9947,174.73601,0.6658001
35,1012.91815,638.09546,0.6210509,896.6673,559.3174,0.78785944,864.8824,414.26355,0.7614656,826.90265,302.55435,0.7998163,760.935,174.7711,0.65503204
36,1012.92236,638.0594,0.61046314,896.5959,559.3983,0.785521,864.82007,414.1316,0.7613801,826.8387,302.55243,0.80645394,760.8688,174.82057,0.65403366
37,1012.7656,638.02124,0.5956377,896.44824,559.4858,0.7864197,865.0139,414.08224,0.7595891,826.8712,302.5076,0.80108863,760.9583,174.83424,0.6737475
38,1012.7803,638.01764,0.58250934,896.4082,559.48987,0.7718984,864.9076,414.0983,0.7588688,826.8062,302.42075,0.7914748,760.9688,174.86998,0.68355215
39,1012.753,638.05145,0.5969793,896.3712,559.495,0.7700515,864.97406,414.20886,0.7631872,826.9035,302.4706,0.88686645,760.98694,174.86028,0.67910665
40,1012.8639,638.1273,0.60415447,896.3575,559.4592,0.77992195,865.10944,414.164,0.7533201,826.83026,302.4143,0.7874199,760.9462,174.84079,0.67379045
