scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
33,-24.82974,3.3957105,36.992435,-22.931894,1.757331,38.377865,-21.17925,0.16948262,41.40209,-19.786709,-1.8520818,43.307606,-18.25369,-3.2444005,44.99708
34,-24.830051,3.3953354,36.99339,-22.932959,1.7575501,38.37496,-21.17816,0.16938163,41.400024,-19.788506,-1.8532606,43.307938,-18.254595,-3.2435853,44.998627
35,-24.830086,3.3954575,36.99332,-22.933958,1.7583654,38.3769,-21.179296,0.16888495,41.401276,-19.788464,-1.8531898,43.30782,-18.255112,-3.2435002,45.00018
36,-24.83013,3.3954763,36.993126,-22.934319,1.7576779,38.3798,-21.179617,0.16799937,41.401493,-19.790483,-1.8529471,43.3075,-18.255194,-3.243818,45.00153
37,-24.830238,3.3961766,36.992485,-22.932491,1.7584857,38.37685,-21.179419,0.16811153,41.401695,-19.790783,-1.8566558,43.30744,-18.260046,-3.2511215,44.99933
38,-24.830065,3.3974724,36.991116,-22.932453,1.7582867,38.376736,-21.178642,0.16802813,41.39932,-19.790668,-1.8575608,43.307903,-18.259407,-3.2534037,44.998005
39,-24.826748,3.4002337,36.984592,-22.92638,1.7683862,38.380676,-21.173952,0.17446242,41.390606,-19.783274,-1.8519357,43.30141,-18.258232,-3.2484694,44.99494
40,-24.831758,3.4009304,36.98585,-22.9306,1.7695017,38.367714,-21.176332,0.17675363,41.381397,-19.789299,-1.8496296,43.2999,-18.270844,-3.2571628,44.99275
41,-24.969934,3.2834172,36.876728,-23.033894,1.6904619,38.327133,-21.231897,0.12122438,41.347095,-19.845179,-1.8843977,43.246857,-18.326979,-3.2843566,44.907993
42,-25.283915,3.0719461,36.78194,-23.29614,1.5388168,38.172928,-21.37692,0.0653683,41.16451,-19.977156,-1.9055339,43.13979,-18.442596,-3.288259,44.787235
43,-25.654081,2.91965,36.509636,-23.604212,1.5035974,37.96024,-21.636175,0.0848219,40.961254,-20.161354,-1.8591912,42.917343,-18.624716,-3.2105615,44.569138
44,-26.078875,2.8707054,36.133312,-23.96934,1.5548161,37.584248,-21.966452,0.19682258,40.56767,-20.466642,-1.7158254,42.541756,-18.903551,-3.035365,44.219723
45,-26.558746,2.879037,35.655895,-24.394838,1.6387558,37.145615,-22.400013,0.33193815,40.101948,-20.869146,-1.5311681,42.10822,-19.265337,-2.8029664,43.760265
