timestamp,marker
040659501823,0
040659511988,0
040659512753,0
040659523368,0
040659523547,0
040659533634,0
040659533801,0
040659544027,0
040659544184,0
040659554271,0
040659554422,0
040659564567,0
040659564751,0
040659574848,0
040659575012,0
040659585457,0
040659586346,0
040659596489,0
040659596703,0
040659607485,0
040659607756,0
040659617845,0
040659618019,0
040659628203,0
040659628390,0
040659638533,0
040659638652,0
040659648859,0
040659649059,0
040659659207,0
040659659346,0
040659669430,0
040659669575,0
040659679659,0
040659679779,0
040659689863,0
040659689993,0
040659700202,0
040659700767,0
040659710852,0
040659710973,0
040659721074,0
040659721204,0
040659731290,0
040659731482,0
040659741559,0
040659741679,0
040659751765,0
040659751887,0
040659761957,0
040659762098,0
040659772185,0
040659772347,0
040659782434,0
040659782568,0
040659792732,0
040659792985,0
040659803068,0
040659803203,0
040659813279,0
040659813398,0
040659823480,0
040659823608,0
040659833722,0
040659833890,0
040659843969,0
040659844119,0
040659854299,0
040659854414,0
040659864537,0
040659864781,0
040659874870,0
040659875029,0
040659887225,0
040659887549,0
040659897637,0
040659897770,0
040659907910,0
040659908106,0
040659918193,0
040659918356,0
040659928510,0
040659928678,0
040659938760,0
040659938910,0
040659948989,0
040659949121,0
040659959204,0
040659959340,0
040659969424,0
040659969585,0
040659980031,0
040659980159,0
040659990233,0
040659990369,0
040700000469,0
040700000655,0
040700010729,0
040700010882,0
040700020959,0
040700021106,0
040700031182,0
040700031324,0
040700041401,0
040700041526,0
040700051758,0
040700051898,0
040700061976,0
040700062157,0
040700072327,0
040700072423,0
040700082529,0
040700082613,0
040700092698,0
040700093279,0
040700103373,0
040700103455,0
040700113676,0
040700113793,0
040700123871,0
040700124054,0
040700134138,0
040700134306,0
040700144696,0
040700144874,0
040700154957,0
040700155107,0
040700165302,0
040700165505,0
040700175592,0
040700175757,0
040700185854,0
040700186044,0
040700196156,0
040700196288,0
040700206369,0
040700206486,0
040700216598,0
040700216719,0
040700227209,0
040700227836,0
040700237920,0
040700238151,0
040700248313,0
040700248485,0
040700258943,0
040700259083,0
040700269165,0
040700269326,0
040700279502,0
040700279644,0
040700289734,0
040700289850,0
040700299957,0
040700300066,0
040700310166,0
040700310287,0
040700320618,0
040700320711,0
040700330796,0
040700330904,0
040700341283,0
040700341448,0
040700351784,0
040700351921,0
040700362001,0
040700362168,0
040700372308,0
040700372475,0
040700382515,0
040700382621,0
040700392716,0
040700392813,0
040700402969,0
040700403077,0
040700413158,0
040700413276,0
040700423360,0
040700423465,0
040700433657,0
040700433815,0
040700443993,0
040700444113,0
040700454294,0
040700454541,0
040700464512,0
040700464737,0
040700474850,0
040700474944,0
040700485069,0
040700485171,0
040700495284,0
040700495398,0
040700505501,0
040700505596,0
040700515957,0
040700516134,0
040700526226,0
040700526395,0
040700536693,0
040700536891,0
040700546987,0
040700547095,0
040700557269,0
040700557654,0
040700567731,0
040700567888,0
040700577971,0
040700578130,0
040700588271,0
040700588386,0
040700598485,0
040700598589,0
040700608706,0
040700608896,0
040700618955,0
040700619189,0
040700629451,0
040700629970,0
040700640429,0
040700640657,0
040700650841,0
040700651073,0
040700661148,0
040700661544,0
040700671719,0
040700671947,0
040700682698,0
040700683153,0
040700693241,0
040700693367,0
040700703578,0
040700703682,0
040700713764,0
040700713894,0
040700723972,0
040700724065,0
040700734142,0
040700734247,0
040700744391,0
040700744900,0
040700755001,0
040700755092,0
040700765447,0
040700765546,0
040700775847,0
040700775924,0
040700785997,0
040700786088,0
040700796162,0
040700796270,0
040700806344,0
040700806420,0
040700816495,0
040700816578,0
040700826661,0
040700826785,0
040700836878,0
040700837010,0
040700847114,0
040700847222,0
040700857304,0
040700857411,0
040700867497,0
040700867626,0
040700877706,0
040700877828,0
040700888062,0
040700888303,0
040700898381,0
040700898545,0
040700909147,0
040700909325,0
040700919493,0
040700919617,0
040700929710,0
040700930841,0
040700940946,0
040700941807,0
040700951198,0
040700952076,0
040700961454,0
040700962271,0
040700971631,0
040700972523,0
040700981825,0
040700983088,0
040700992341,0
040700993249,0
040701002589,0
040701003500,0
040701013056,0
040701014002,0
040701023268,0
040701024233,0
040701033515,0
040701034537,0
040701044553,0
040701044867,0
040701054834,0
040701054998,0
040701065071,0
040701065208,0
040701075286,0
040701075619,0
040701085694,0
040701085832,0
040701095909,0
040701096044,0
040701106256,0
040701106512,0
040701116589,0
040701116729,0
040701127421,0
040701127607,0
040701137714,0
040701137813,0
040701147928,0
040701148040,0
040701158158,0
040701158481,0
040701168356,0
040701168865,0
040701178581,0
040701179070,0
040701188787,0
040701189393,0
040701199095,0
040701199942,0
040701210048,0
040701210149,0
040701220574,0
040701220755,0
040701230876,0
040701230978,0
040701241519,0
040701241617,0
040701251728,0
040701251837,0
040701261942,0
040701262072,0
040701272162,0
040701272275,0
040701282614,0
040701282709,0
040701292793,0
040701292892,0
040701303081,0
040701303283,0
040701314105,0
040701314311,0
040701324673,0
040701324774,0
040701335110,0
040701335341,0
040701345594,0
040701345724,0
040701356004,0
040701356148,0
040701366245,0
040701366372,0
040701376451,0
040701376564,0
040701386660,0
040701386763,0
040701396846,0
040701396960,0
040701407245,0
040701407352,0
040701417432,0
040701417528,0
040701427653,0
040701427809,0
040701437900,0
040701438017,0
040701448093,0
040701448185,0
040701458411,0
040701458523,0
040701468700,0
040701468802,0
040701479175,0
040701479348,0
040701489431,0
040701489529,0
040701499626,0
040701499765,0
040701509844,0
040701509953,0
040701520030,0
040701520140,0
040701530230,0
040701530343,0
040701540423,0
040701540616,0
040701550700,0
040701550811,0
040701560883,0
040701560986,0
040701571094,0
040701571224,0
040701581395,0
040701581502,0
040701591580,0
040701591700,0
040701601793,0
040701602223,0
040701611973,0
040701612376,0
040701622229,0
040701622745,0
040701632472,0
040701632923,0
040701642666,0
040701643294,0
040701652901,0
040701653469,0
040701663083,0
040701663700,0
040701673290,0
040701673879,0
040701683500,0
040701684139,0
040701693689,0
040701694315,0
040701703863,0
040701704459,0
040701714063,0
040701714797,0
040701724274,0
040701725095,0
040701734442,0
040701735432,0
040701744643,0
040701745640,0
040701754835,0
040701755813,0
040701765137,0
040701766165,0
040701775832,0
040701776408,0
040701786300,0
040701786994,0
040701796501,0
040701797170,0
040701806820,0
040701807443,0
040701817082,0
040701817610,0
040701827272,0
040701827768,0
040701837467,0
040701838178,0
040701847646,0
040701848327,0
040701857959,0
040701858673,0
040701868159,0
040701868842,0
040701878525,0
040701879432,0
040701888742,0
040701889682,0
040701898937,0
040701899908,0
040701909116,0
040701910124,0
040701919607,0
040701920276,0
040701929778,0
040701930428,0
040701939949,0
040701940585,0
