scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,forearm,forearm,forearm
coords,x,y,z,x,y,z,x,y,z,x,y,z
53,-11.297624,-2.3231218,20.173395,-9.56919,-2.2840605,20.249277,-8.85677,-2.4377346,21.404917,-7.7637157,-2.787982,23.69675
54,,,,-9.567301,-2.2846553,20.248098,-8.854543,-2.438596,21.403084,-7.763086,-2.787719,23.69739
55,-11.342056,-2.3472471,20.311079,-9.565347,-2.283143,20.252047,-8.850562,-2.4407005,21.40736,-7.761031,-2.7899017,23.702822
56,-11.335182,-2.3566554,20.367527,-9.552985,-2.2882586,20.25645,-8.840206,-2.445768,21.415926,-7.7577877,-2.796535,23.72602
57,,,,-9.544571,-2.2943585,20.283894,-8.832468,-2.4566517,21.444632,-7.7448726,-2.8119204,23.74273
58,,,,-9.524184,-2.3067343,20.301975,-8.817935,-2.4701502,21.457653,-7.727999,-2.831043,23.757383
59,,,,-9.524501,-2.3062377,20.302963,-8.817238,-2.470119,21.45741,-7.7262874,-2.830945,23.756626
60,,,,-9.523631,-2.305765,20.305984,-8.815745,-2.470052,21.45689,-7.7258267,-2.8309183,23.75642
61,,,,-9.521499,-2.3036647,20.308872,-8.811726,-2.4648466,21.456947,-7.723666,-2.8234382,23.756088
62,,,,-9.52381,-2.2998147,20.316137,-8.814437,-2.458592,21.46988,-7.723172,-2.8191898,23.76475
63,,,,-9.52391,-2.299373,20.316341,-8.8145,-2.4585655,21.469934,-7.7232676,-2.8191361,23.764881
64,-11.086378,-2.2202766,19.825268,-9.523974,-2.2992704,20.316547,-8.8145,-2.4585655,21.469934,-7.7232904,-2.8190923,23.764988
65,-11.009775,-2.192393,19.700422,-9.529445,-2.297856,20.318687,-8.817069,-2.4606416,21.466038,-7.7256894,-2.8169608,23.765162
66,-10.925992,-2.1685853,19.570194,-9.532784,-2.2968273,20.316856,-8.819551,-2.4619136,21.456818,-7.728871,-2.814689,23.762695
67,-10.831851,-2.1274383,19.478165,-9.540474,-2.2945955,20.31457,-8.824067,-2.461412,21.456186,-7.732598,-2.813148,23.758656
68,-10.700231,-2.0964928,19.37349,-9.543973,-2.2939544,20.31174,-8.82939,-2.4598427,21.453905,-7.7369666,-2.811508,23.758512
69,-10.563734,-2.0679948,19.291159,-9.543372,-2.295915,20.298107,-8.829711,-2.4583673,21.446444,-7.735549,-2.8105137,23.748707
70,-10.413714,-2.0525262,19.214146,-9.543372,-2.295915,20.298107,-8.834417,-2.4560347,21.445772,-7.739984,-2.8096442,23.751982
71,-10.270484,-2.0234132,19.16647,-9.543372,-2.295915,20.298107,-8.836376,-2.4550614,21.442703,-7.7402906,-2.811864,23.745152
72,-10.0980625,-2.0073004,19.124603,-9.542358,-2.2926586,20.309357,-8.8386135,-2.4540064,21.442421,-7.7417393,-2.8107395,23.744764
73,-9.969557,-1.9886545,19.126049,,,,-8.838076,-2.4533606,21.437243,-7.7425117,-2.8103583,23.742506
74,-9.822852,-1.9697795,19.135307,,,,-8.841074,-2.4515176,21.438766,-7.7440763,-2.8094318,23.743166
75,-9.665687,-1.9525188,19.139633,,,,-8.840959,-2.4506238,21.434986,-7.7438536,-2.808569,23.742437
76,-9.515574,-1.9429833,19.187864,,,,-8.841814,-2.447627,21.439999,-7.744559,-2.8064332,23.746038
77,-9.363131,-1.9513195,19.165394,,,,-8.843098,-2.4397204,21.436472,-7.743303,-2.8013897,23.737024
78,,,,,,,,,,-7.746323,-2.7972002,23.740715
79,,,,,,,-8.846881,-2.436491,21.429255,-7.747915,-2.7963169,23.740074
80,,,,,,,-8.84862,-2.435629,21.429667,-7.7471495,-2.795462,23.7364
81,,,,,,,-8.850091,-2.4352188,21.430723,-7.750947,-2.7937927,23.738913
82,,,,,,,-8.850125,-2.4345734,21.427841,,,
83,,,,,,,-8.851896,-2.4336104,21.424597,,,
84,,,,,,,-8.856863,-2.4316149,21.424002,,,
85,,,,,,,-8.858905,-2.43506,21.417606,,,
86,,,,,,,-8.861799,-2.4325345,21.412825,,,
