scorer,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
31,892.57654,922.3915,0.7342636,880.98395,754.8441,0.88280183,878.27527,554.7135,0.7664255,872.2027,404.97632,0.695568,859.72925,220.60872,0.6793281
32,892.5559,922.438,0.7200138,881.0177,754.8145,0.86922354,878.2481,554.74335,0.75807804,872.2139,404.9603,0.67655027,859.86914,220.57335,0.6819542
33,892.52747,922.3804,0.71819806,881.1348,755.0772,0.8999614,878.1763,554.82336,0.7626663,872.1987,404.97702,0.6817591,859.84357,220.66756,0.65679455
34,892.415,922.3675,0.7067682,881.11786,755.0697,0.90419394,878.1081,554.8931,0.75671756,872.25104,404.9707,0.6917868,859.9092,220.70752,0.6673636
35,892.5112,922.35077,0.73605907,881.115,755.05133,0.8810465,878.1068,554.8866,0.76376426,872.2926,404.89114,0.6652814,859.92505,220.78072,0.6880694
36,892.56244,922.3892,0.71082914,881.1707,755.0603,0.90850466,877.9725,554.9351,0.7701127,872.2479,404.94763,0.6624808,859.9373,220.6917,0.6967742
37,892.6437,922.4031,0.7035051,881.18915,755.0465,0.9054269,878.0912,554.9288,0.74504644,872.2502,405.00497,0.671125,859.81165,220.67209,0.6826565
38,892.5465,922.3723,0.70204496,881.14056,754.99005,0.90582794,878.0991,554.9072,0.75279915,872.3119,404.94135,0.6738257,859.84656,220.74069,0.6937145
39,892.516,922.37317,0.7116465,881.1576,754.88806,0.9037264,878.1548,554.87024,0.7273068,872.3952,404.87854,0.678124,859.77423,220.72292,0.6704872
40,892.33685,922.4069,0.6888582,881.0541,754.83514,0.88285893,878.3011,554.8231,0.73272294,872.48926,404.81964,0.70420355,859.7988,220.60617,0.6933703
41,892.4378,922.37604,0.7167257,881.1904,754.91235,0.8979775,878.2499,554.81586,0.7471826,872.5356,404.83606,0.70814735,859.77246,220.6499,0.70605534
42,892.45795,922.39874,0.7087057,881.2807,754.9238,0.90487224,878.0619,554.8258,0.73894733,872.55316,404.80292,0.7039888,859.8264,220.68658,0.6803546
43,892.45355,922.4063,0.7121279,881.2916,754.861,0.9169675,878.07526,554.81006,0.74513584,872.4655,404.80777,0.7063639,859.8602,220.73085,0.673132
44,892.36884,922.4139,0.6977987,881.277,754.7555,0.91363215,878.38434,554.7531,0.73739296,872.41144,404.87714,0.71455926,859.8861,220.73775,0.66095185
45,892.4275,922.35004,0.7076154,881.13226,755.01544,0.9112325,878.21594,554.8262,0.7475889,872.3675,404.9706,0.708709,860.08746,220.74905,0.6821077
46,892.4987,922.4642,0.7130132,881.42926,755.0972,0.91343135,878.1591,554.8979,0.77985203,872.3964,404.97852,0.7074225,860.03955,220.95538,0.66834223
47,892.4898,922.4688,0.7159039,881.4683,755.26917,0.9334293,878.14,554.94354,0.7708335,872.429,405.08484,0.69728255,860.1019,220.93031,0.6597371
48,892.4761,922.51294,0.71372783,881.7052,755.31946,0.9365965,878.1313,555.0029,0.7286837,872.4096,405.12683,0.6960939,860.15906,220.96751,0.63745594
49,892.67737,922.5206,0.72391,881.5803,755.2758,0.9329311,878.1872,555.10596,0.76952296,872.4967,405.08954,0.6935878,860.13464,220.8839,0.6429266
50,892.58514,922.52844,0.70867634,881.59344,755.29584,0.9318982,878.1006,555.14343,0.78578484,872.5372,405.04654,0.70072424,860.14734,220.9774,0.61187476
51,892.61957,922.5138,0.7070931,881.6007,755.26636,0.94278574,878.0065,555.09,0.7732262,872.5263,405.07135,0.6939324,860.18634,221.03506,0.6142971
52,892.7038,922.5297,0.6956024,881.64795,755.28217,0.93835205,878.00354,555.0127,0.7328614,872.70746,405.05643,0.69574535,860.1285,220.91472,0.6391373
53,892.70526,922.55524,0.71944505,881.5718,755.28613,0.93884534,878.3077,555.14,0.76889646,872.6749,405.0315,0.68290305,860.1869,220.886,0.647147
54,892.7371,922.5495,0.706558,881.45825,755.28326,0.9229705,878.57874,555.1112,0.77888805,872.6967,405.08023,0.6920918,860.19934,220.9133,0.6486629
55,892.70044,922.56635,0.7192516,881.6301,755.2664,0.9273887,878.59625,555.0925,0.7446487,872.7476,405.19864,0.66350955,860.5374,221.14095,0.6521259
56,892.692,922.50885,0.7244011,881.7015,755.24756,0.9216591,878.7275,555.0717,0.70189154,872.7352,405.16257,0.6899068,860.78265,221.34143,0.6556651
57,892.48645,922.5054,0.71929234,881.3593,755.2848,0.91468894,878.5372,555.1156,0.73066527,872.7276,405.1759,0.6731572,860.7601,221.38081,0.63935614
58,892.4976,922.4934,0.71622676,881.30817,755.3043,0.9101186,878.59064,555.1055,0.715009,872.7569,405.16058,0.6930297,860.7684,221.31184,0.6508172
59,892.50055,922.4806,0.7118432,881.40546,755.32306,0.9131603,878.5414,555.12885,0.70901895,872.81824,405.13162,0.6921041,860.7041,221.35867,0.6325959
60,892.4921,922.4961,0.7135226,881.4782,755.2628,0.92348844,878.84796,555.08765,0.7166526,872.8593,404.9345,0.71806365,860.6724,221.26483,0.6406933
61,892.4404,922.4959,0.72757816,881.4903,754.99335,0.89710987,878.59375,555.07544,0.7326442,872.9294,404.94724,0.7145635,860.65845,221.30379,0.64097136
62,892.44305,922.49304,0.738607,881.56696,755.1582,0.9114926,878.9794,554.78986,0.7604127,873.18976,404.99466,0.74646425,860.6894,221.27264,0.6632568
63,892.44714,922.5008,0.72974443,881.5995,755.06244,0.922306,878.85376,554.7565,0.7531627,873.20703,405.0345,0.74944216,860.67084,221.28017,0.6581833
64,892.4701,922.48254,0.7359829,881.43726,754.9973,0.8981718,879.2383,554.5737,0.6978208,873.0623,405.05472,0.7615985,860.6927,221.29965,0.66230625
