scorer,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
31,880.1993,693.939,0.61094123,860.6746,550.0029,0.96113724,849.59607,389.46573,0.8110128,829.8898,260.50928,0.714069,796.02545,118.65258,0.8959583
32,880.3944,694.2165,0.64607054,860.68713,550.01086,0.9648335,849.53125,389.347,0.802571,829.6874,260.66196,0.73045796,795.7261,118.94563,0.8619628
33,880.368,694.20465,0.63827413,860.6966,550.0701,0.96761566,849.3666,389.70837,0.8122026,829.5574,260.67838,0.7212543,795.6588,118.87281,0.88654673
34,880.3382,694.13086,0.61946756,860.6965,550.10223,0.9710738,849.3256,389.67746,0.8102973,829.52747,260.70282,0.71182287,795.61176,118.908676,0.88701314
35,880.3391,694.1944,0.6147984,860.6659,549.99286,0.96897274,849.3998,389.88855,0.82026756,829.3793,260.9583,0.72008604,795.635,118.956215,0.87218696
36,880.4328,694.0161,0.58990043,860.6232,550.1462,0.9330782,849.27936,389.6989,0.8191464,829.2797,261.09143,0.73951334,795.71295,119.12366,0.88920534
37,880.38184,694.1147,0.61729586,860.7006,550.1732,0.9454469,849.2722,389.89236,0.8301175,829.32495,261.07153,0.7363302,795.6226,119.188774,0.8721072
38,880.46265,694.1998,0.6229802,860.7323,550.1318,0.9551984,849.2246,389.98224,0.81109655,829.21735,261.10028,0.7326329,795.582,119.14749,0.86660004
39,880.3858,694.2658,0.6394477,860.74225,550.13324,0.94508135,849.3268,390.1033,0.8201168,829.28735,261.12497,0.7426718,795.46277,119.11026,0.8633089
40,880.4322,694.52484,0.64419055,860.68506,550.0704,0.9459038,849.21136,389.6487,0.8221495,829.3005,261.20993,0.76629186,795.4223,119.08438,0.8765777
