timestamp,marker
131454407907,0
131454418035,0
131454418541,0
131454430966,0
131454431127,0
131454443352,0
131454443789,0
131454453876,0
131454454001,0
131454464080,0
131454464197,0
131454474273,0
131454474383,0
131454484739,0
131454484895,0
131454494982,0
131454495106,0
131454505189,0
131454505313,0
131454515561,0
131454515679,0
131454525763,0
131454525872,0
131454535948,0
131454536020,0
131454546091,0
131454546166,0
131454556355,0
131454556429,0
131454566505,0
131454566591,0
131454576665,0
131454576761,0
131454586836,0
131454586920,0
131454596990,0
131454597059,0
131454607177,0
131454607258,0
131454617328,0
131454617404,0
131454627540,0
131454627643,0
131454637725,0
131454637828,0
131454647909,0
131454648035,0
131454658110,0
131454658202,0
131454668283,0
131454668388,0
131454678580,0
131454678690,0
131454688860,0
131454688964,0
131454699086,0
131454699220,0
131454709302,0
131454709403,0
131454719483,0
131454719594,0
131454729673,0
131454729776,0
131454739849,0
131454739926,0
131454750006,0
131454750088,0
131454760159,0
131454760233,0
131454770320,0
131454770427,0
131454780729,0
131454780813,0
131454790886,0
131454790963,0
131454801039,0
131454801207,0
131454811286,0
131454811507,0
131454821585,0
131454821689,0
131454831768,0
131454831862,0
131454842074,0
131454842196,0
131454852278,0
131454852379,0
131454862454,0
131454862540,0
131454872617,0
131454872715,0
131454882792,0
131454882893,0
131454892975,0
131454893081,0
131454903167,0
131454903286,0
131454913427,0
131454913558,0
131454923643,0
131454923763,0
131454933844,0
131454933956,0
131454944094,0
131454944197,0
131454954279,0
131454954413,0
131454964533,0
131454964816,0
131454975057,0
131454975174,0
131454985317,0
131454985450,0
131454995532,0
131454995644,0
131455005724,0
131455005825,0
131455015909,0
131455016017,0
131455026172,0
131455026273,0
131455036359,0
131455036461,0
131455046543,0
131455046656,0
131455056807,0
131455057271,0
131455067364,0
131455067486,0
131455077587,0
131455077783,0
131455087870,0
131455087986,0
131455098072,0
131455098198,0
131455108285,0
131455108393,0
131455118482,0
131455118820,0
131455129339,0
131455129442,0
131455139527,0
131455139635,0
131455149768,0
131455149924,0
131455160017,0
131455160130,0
131455170266,0
131455170374,0
131455180459,0
131455180568,0
131455190651,0
131455190754,0
131455200893,0
131455201007,0
131455211095,0
131455211206,0
131455221359,0
131455221505,0
131455231591,0
131455231705,0
131455241786,0
131455241893,0
131455251976,0
131455252081,0
131455262167,0
131455262284,0
131455272378,0
131455272492,0
131455282580,0
131455282694,0
131455292862,0
131455293059,0
131455303208,0
131455303316,0
131455313400,0
131455313508,0
131455323826,0
131455323932,0
131455334020,0
131455334136,0
131455344219,0
131455344324,0
131455354462,0
131455354579,0
131455365039,0
131455365143,0
131455375227,0
131455375344,0
131455385484,0
131455385601,0
131455395731,0
131455395849,0
131455405929,0
131455406038,0
131455416299,0
131455416400,0
