timestamp,raw,volts,angle
042147055137,2935,0.5503125,-133.00162591251916
042147082699,2975,0.5578125,-132.5398420996131
042147106272,2955,0.5540625,-132.77073400606614
042147128856,2933,0.5499375,-133.02471510316448
042147149190,2998,0.562125,-132.27431640719215
042147172644,2931,0.5495625000000001,-133.04780429380978
042147196918,2946,0.5523750000000001,-132.87463536397001
042147217361,2966,0.556125,-132.64374345751696
042147239142,2975,0.5578125,-132.5398420996131
042147260974,2930,0.5493750000000001,-133.05934888913242
042147284114,2994,0.561375,-132.32049478848273
042147304945,2993,0.5611875000000001,-132.33203938380538
042147325329,2947,0.5525625,-132.86309076864734
042147348791,2966,0.556125,-132.64374345751696
042147369933,2984,0.5595,-132.43594074170926
042147392679,2927,0.5488125,-133.0939826751004
042147414105,2928,0.549,-133.08243807977772
042147435359,2987,0.5600625,-132.4013069557413
042147458142,2950,0.553125,-132.8284569826794
042147480417,2960,0.555,-132.7130110294529
042147501183,2994,0.561375,-132.32049478848273
042147523057,3001,0.5626875,-132.23968262122418
042147544705,2930,0.5493750000000001,-133.05934888913242
042147566727,2977,0.5581875000000001,-132.51675290896782
042147589981,2962,0.5553750000000001,-132.68992183880758
042147610763,2933,0.5499375,-133.02471510316448
042147633210,2927,0.5488125,-133.0939826751004
042147654991,3000,0.5625,-132.25122721654682
042147676645,2933,0.5499375,-133.02471510316448
042147697766,2980,0.55875,-132.48211912299985
042147719375,2969,0.5566875,-132.60910967154902
042147744240,2934,0.550125,-133.01317050784183
042147766488,2928,0.549,-133.08243807977772
042147787094,2997,0.5619375,-132.28586100251476
042147808711,2944,0.552,-132.8977245546153
042147830267,2972,0.55725,-132.57447588558108
042147851112,2951,0.5533125,-132.81691238735675
042147872545,2988,0.56025,-132.38976236041864
042147894557,2928,0.549,-133.08243807977772
042147915667,2988,0.56025,-132.38976236041864
042147936985,2981,0.5589375,-132.4705745276772
042147958262,2962,0.5553750000000001,-132.68992183880758
042147979244,2943,0.5518125,-132.90926914993796
042148002849,2995,0.5615625,-132.3089501931601
042148023632,2927,0.5488125,-133.0939826751004
042148045829,2935,0.5503125,-133.00162591251916
042148067939,2969,0.5566875,-132.60910967154902
042148090938,2965,0.5559375,-132.65528805283964
042148114767,2928,0.549,-133.08243807977772
042148135612,3000,0.5625,-132.25122721654682
042148158719,2940,0.55125,-132.94390293590592
042148180011,2977,0.5581875000000001,-132.51675290896782
042148201807,2963,0.5555625,-132.67837724348493
042148224520,2976,0.558,-132.52829750429046
042148246637,2930,0.5493750000000001,-133.05934888913242
042148269507,2991,0.5608125,-132.3551285744507
042148290394,2937,0.5506875,-132.97853672187387
042148311993,2955,0.5540625,-132.77073400606614
042148334776,2959,0.5548125,-132.72455562477555
042148357510,2984,0.5595,-132.43594074170926
042148380277,2927,0.5488125,-133.0939826751004
042148403735,2987,0.5600625,-132.4013069557413
042148424954,2950,0.553125,-132.8284569826794
042148446289,2954,0.553875,-132.78227860138878
042148466650,2945,0.5521875,-132.88617995929266
042148486975,2990,0.560625,-132.36667316977335
042148508432,3003,0.5630625,-132.21659343057888
042148529194,2990,0.560625,-132.36667316977335
042148553319,2974,0.557625,-132.55138669493576
042148574347,2955,0.5540625,-132.77073400606614
042148596772,2937,0.5506875,-132.97853672187387
042148617728,2931,0.5495625000000001,-133.04780429380978
042148638386,2995,0.5615625,-132.3089501931601
042148659221,2948,0.55275,-132.85154617332472
042148681321,2969,0.5566875,-132.60910967154902
042148703269,2976,0.558,-132.52829750429046
042148725149,2930,0.5493750000000001,-133.05934888913242
042148748467,2934,0.550125,-133.01317050784183
042148769328,2994,0.561375,-132.32049478848273
042148791314,2946,0.5523750000000001,-132.87463536397001
042148816102,2969,0.5566875,-132.60910967154902
042148838156,2980,0.55875,-132.48211912299985
042148859723,2929,0.5491875,-133.0708934844551
042148881456,2923,0.5480625,-133.14016105639098
042148903187,2992,0.561,-132.34358397912803
042148923879,2950,0.553125,-132.8284569826794
042148945380,2967,0.5563125,-132.63219886219431
042148966234,2944,0.552,-132.8977245546153
042148988061,2995,0.5615625,-132.3089501931601
042149010050,2938,0.550875,-132.96699212655122
042149031234,2977,0.5581875000000001,-132.51675290896782
042149053333,2971,0.5570625,-132.58602048090373
042149075134,2962,0.5553750000000001,-132.68992183880758
042149096167,2933,0.5499375,-133.02471510316448
042149121632,3004,0.56325,-132.2050488352562
042149142114,2933,0.5499375,-133.02471510316448
042149163503,2947,0.5525625,-132.86309076864734
042149182994,2961,0.5551875000000001,-132.70146643413023
042149203018,2948,0.55275,-132.85154617332472
042149223504,2988,0.56025,-132.38976236041864
042149243817,2926,0.548625,-133.10552727042304
042149264486,2934,0.550125,-133.01317050784183
042149284340,2988,0.56025,-132.38976236041864
042149304596,2958,0.554625,-132.7361002200982
042149326038,2973,0.5574375,-132.5629312902584
042149347086,2930,0.5493750000000001,-133.05934888913242
042149367096,2928,0.549,-133.08243807977772
042149387026,2994,0.561375,-132.32049478848273
042149407122,2948,0.55275,-132.85154617332472
042149427403,2951,0.5533125,-132.81691238735675
042149447105,2949,0.5529375,-132.84000157800205
042149467727,2932,0.54975,-133.03625969848713
042149488104,2996,0.56175,-132.29740559783744
042149508907,2937,0.5506875,-132.97853672187387
042149529508,2940,0.55125,-132.94390293590592
042149549677,2961,0.5551875000000001,-132.70146643413023
042149570915,2978,0.5583750000000001,-132.50520831364514
042149591071,2985,0.5596875,-132.42439614638658
042149611919,2926,0.548625,-133.10552727042304
042149633060,2987,0.5600625,-132.4013069557413
042149654936,2980,0.55875,-132.48211912299985
042149674886,2960,0.555,-132.7130110294529
042149695683,2974,0.557625,-132.55138669493576
042149715166,2933,0.5499375,-133.02471510316448
042149735273,2997,0.5619375,-132.28586100251476
042149754909,2992,0.561,-132.34358397912803
042149776008,2951,0.5533125,-132.81691238735675
042149796164,2949,0.5529375,-132.84000157800205
042149815647,2943,0.5518125,-132.90926914993796
042149837439,2993,0.5611875000000001,-132.33203938380538
042149862582,2922,0.547875,-133.15170565171366
042149885998,2986,0.559875,-132.41285155106394
042149908049,2952,0.5535,-132.8053677920341
042149930012,2939,0.5510625,-132.95544753122857
042149952566,2991,0.5608125,-132.3551285744507
042149976448,2928,0.549,-133.08243807977772
042149998195,2984,0.5595,-132.43594074170926
042150020785,2950,0.553125,-132.8284569826794
042150044062,2961,0.5551875000000001,-132.70146643413023
042150069335,2992,0.561,-132.34358397912803
042150093219,2927,0.5488125,-133.0939826751004
042150117546,2993,0.5611875000000001,-132.33203938380538
042150139222,2982,0.559125,-132.45902993235455
042150159105,2948,0.55275,-132.85154617332472
042150179400,2974,0.557625,-132.55138669493576
042150199106,2933,0.5499375,-133.02471510316448
042150219046,3003,0.5630625,-132.21659343057888
042150238595,2992,0.561,-132.34358397912803
042150258427,2940,0.55125,-132.94390293590592
042150278040,2950,0.553125,-132.8284569826794
042150298430,2949,0.5529375,-132.84000157800205
042150319210,2938,0.550875,-132.96699212655122
042150339663,2998,0.562125,-132.27431640719215
042150360531,2929,0.5491875,-133.0708934844551
042150380613,2945,0.5521875,-132.88617995929266
042150400586,2964,0.55575,-132.66683264816228
042150420302,2950,0.553125,-132.8284569826794
042150439982,2982,0.559125,-132.45902993235455
042150459542,3001,0.5626875,-132.23968262122418
042150479980,2927,0.5488125,-133.0939826751004
042150500454,2983,0.5593125,-132.4474853370319
042150519934,2975,0.5578125,-132.5398420996131
042150541029,2962,0.5553750000000001,-132.68992183880758
042150561073,2987,0.5600625,-132.4013069557413
042150580899,2925,0.5484375,-133.1170718657457
042150602113,2994,0.561375,-132.32049478848273
042150621552,2989,0.5604375,-132.378217765096
042150642185,2954,0.553875,-132.78227860138878
042150661802,2959,0.5548125,-132.72455562477555
042150682192,2940,0.55125,-132.94390293590592
042150702862,3003,0.5630625,-132.21659343057888
042150723128,3004,0.56325,-132.2050488352562
042150743390,2935,0.5503125,-133.00162591251916
042150765284,2953,0.5536875,-132.79382319671146
042150784627,2957,0.5544375,-132.74764481542084
042150804668,2988,0.56025,-132.38976236041864
042150825230,3000,0.5625,-132.25122721654682
042150845946,2922,0.547875,-133.15170565171366
042150867618,2984,0.5595,-132.43594074170926
042150888053,2978,0.5583750000000001,-132.50520831364514
042150909934,2945,0.5521875,-132.88617995929266
042150934078,2937,0.5506875,-132.97853672187387
042150955308,2998,0.562125,-132.27431640719215
042150976009,2937,0.5506875,-132.97853672187387
042150996742,2933,0.5499375,-133.02471510316448
042151017867,2957,0.5544375,-132.74764481542084
042151038252,2971,0.5570625,-132.58602048090373
042151059959,2920,0.5475,-133.17479484235895
042151081502,2925,0.5484375,-133.1170718657457
042151103688,2996,0.56175,-132.29740559783744
042151125302,2949,0.5529375,-132.84000157800205
042151147914,2954,0.553875,-132.78227860138878
042151169575,2941,0.5514375,-132.93235834058328
042151189519,2998,0.562125,-132.27431640719215
042151212565,2933,0.5499375,-133.02471510316448
042151234582,2984,0.5595,-132.43594074170926
042151256118,2976,0.558,-132.52829750429046
042151276363,2971,0.5570625,-132.58602048090373
042151296531,2937,0.5506875,-132.97853672187387
042151317213,2928,0.549,-133.08243807977772
042151338394,2927,0.5488125,-133.0939826751004
042151363847,2974,0.557625,-132.55138669493576
042151386798,2970,0.556875,-132.59756507622637
042151409264,2971,0.5570625,-132.58602048090373
042151432482,2934,0.550125,-133.01317050784183
042151452977,3002,0.562875,-132.22813802590153
042151476515,2935,0.5503125,-133.00162591251916
042151498081,2967,0.5563125,-132.63219886219431
042151518799,2952,0.5535,-132.8053677920341
042151541091,2981,0.5589375,-132.4705745276772
042151562598,2924,0.54825,-133.12861646106833
042151584356,2998,0.562125,-132.27431640719215
042151605500,2941,0.5514375,-132.93235834058328
042151627962,2954,0.553875,-132.78227860138878
042151649103,2940,0.55125,-132.94390293590592
042151671515,2988,0.56025,-132.38976236041864
042151692326,2917,0.5469375,-133.2094286283269
042151713936,2928,0.549,-133.08243807977772
042151736805,2985,0.5596875,-132.42439614638658
042151758766,2959,0.5548125,-132.72455562477555
042151781270,2948,0.55275,-132.85154617332472
042151803015,3002,0.562875,-132.22813802590153
042151825820,2932,0.54975,-133.03625969848713
042151847161,2976,0.558,-132.52829750429046
042151874254,2961,0.5551875000000001,-132.70146643413023
042151897743,2935,0.5503125,-133.00162591251916
042151922115,2992,0.561,-132.34358397912803
042151942850,3006,0.563625,-132.1819596446109
042151963317,2933,0.5499375,-133.02471510316448
042151983277,2973,0.5574375,-132.5629312902584
042152003062,2963,0.5555625,-132.67837724348493
042152023281,2974,0.557625,-132.55138669493576
042152043287,3002,0.562875,-132.22813802590153
042152063186,2922,0.547875,-133.15170565171366
042152082726,2930,0.5493750000000001,-133.05934888913242
042152103401,2974,0.557625,-132.55138669493576
042152123277,2959,0.5548125,-132.72455562477555
042152143836,2977,0.5581875000000001,-132.51675290896782
042152163628,2932,0.54975,-133.03625969848713
042152183309,2925,0.5484375,-133.1170718657457
