scorer,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
31,736.5985,808.29443,0.61014575,744.73755,647.9654,0.695001,752.9235,485.00726,0.7801273,755.3086,265.37054,0.89353997,762.6618,176.8592,0.89504737
32,736.7997,808.298,0.6000098,744.7959,648.0606,0.7029535,752.95325,485.09106,0.78342205,755.1604,265.3916,0.89748305,762.56464,176.99466,0.9103896
33,737.06085,808.62164,0.64213645,744.89417,648.0977,0.698669,752.86914,485.07175,0.7828101,754.9869,265.4213,0.8944853,762.55096,176.84279,0.91385823
34,736.96497,808.566,0.6153256,744.98474,648.1735,0.691795,752.8941,485.18893,0.77412015,754.8806,265.46103,0.8922168,762.39417,176.91255,0.91361594
35,738.5483,808.54486,0.63255346,745.1838,648.23895,0.68237257,752.79645,485.18066,0.7696364,754.69385,265.4188,0.8967035,762.29736,176.78902,0.905788
36,737.5703,808.9343,0.6337389,745.26666,648.21857,0.6779259,752.5396,485.2554,0.77012503,754.61536,265.3337,0.89743876,762.1631,176.68578,0.92516434
37,737.1396,808.80963,0.6362389,745.2499,648.1369,0.6872965,752.7101,485.15506,0.79296315,754.70374,265.4178,0.9015149,762.2947,176.79347,0.8978898
38,737.1366,808.7719,0.6370072,745.2498,648.1327,0.67750895,752.62994,485.04953,0.7844839,754.7669,265.45636,0.9017651,762.3829,176.89557,0.9197533
39,736.91223,808.33,0.63239527,745.2095,648.12897,0.6727668,752.6256,485.092,0.78348434,754.58966,265.32422,0.8944107,762.38727,176.88725,0.93673474
40,736.854,808.32007,0.60796076,745.11707,648.14905,0.6879108,752.6653,485.0687,0.7907949,754.5325,265.4394,0.8946453,762.42175,176.84668,0.9270865
