scorer,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
31,886.39154,625.52856,0.75493103,878.4184,465.75287,0.75844723,870.60547,307.73953,0.7734663,827.8849,106.79503,0.97451675,843.33057,3.5942802,0.65042686
32,886.51514,625.539,0.7473813,878.3699,465.7704,0.76053846,870.8185,307.45746,0.7612442,828.03186,106.65384,0.96589226,843.6098,3.3295555,0.6270864
33,886.46466,625.4509,0.75454366,878.4611,465.82236,0.7635404,870.8472,307.58078,0.7683315,828.0088,106.8142,0.9672744,843.2242,3.5518074,0.64165217
34,886.52704,625.4363,0.76088387,878.4595,465.84647,0.774274,870.7146,307.43185,0.78681123,828.09644,106.60408,0.9702047,843.6033,3.3285408,0.61959404
35,886.52966,625.449,0.760466,878.4485,465.9452,0.7646468,870.7891,307.56866,0.76887643,827.7995,106.75698,0.9583278,842.74713,3.5968018,0.6146427
36,886.5006,625.4593,0.7609358,878.36975,465.819,0.7753753,870.8114,307.41888,0.7665323,828.1211,106.610016,0.97071147,843.6284,3.33043,0.61748195
37,886.363,625.4492,0.761845,878.3624,465.91592,0.76932687,870.84564,307.42487,0.7713394,828.24493,106.58347,0.9602475,843.8559,3.2841158,0.6033884
38,886.563,625.4102,0.76168054,878.3856,465.9222,0.7705788,870.83527,307.42178,0.7630052,828.3843,106.51532,0.95236206,844.2085,3.1690435,0.57931095
39,886.60095,625.4377,0.7573376,878.37885,465.93768,0.7628425,870.83075,307.57898,0.7741666,828.2392,106.649155,0.96317416,843.98535,3.3676844,0.6120246
40,886.59406,625.5342,0.7568509,878.2847,465.987,0.7764233,870.85034,307.8191,0.79237664,828.2602,106.7025,0.96422035,843.9857,3.3681288,0.6141357
41,886.5768,625.58307,0.74263906,878.3311,465.9064,0.76886487,870.8204,307.59857,0.77619153,828.226,106.697296,0.96287954,843.99493,3.2022858,0.60501987
42,886.526,625.55634,0.7519087,878.26495,465.9622,0.76038224,870.9254,307.57053,0.7749558,828.3628,106.73753,0.9686546,844.4907,3.5651693,0.61945003
43,886.5117,625.5199,0.7435227,878.32355,465.91943,0.7709168,870.86365,307.57565,0.776223,828.50903,106.83809,0.9642485,844.71783,3.2035246,0.5987959
44,886.4843,625.5126,0.7456585,878.2755,465.91913,0.76975083,870.812,307.51672,0.7670645,828.4855,106.80918,0.966109,844.7282,3.19454,0.59786767
45,886.38586,625.554,0.74536794,878.2551,465.94406,0.7647575,870.8642,307.5335,0.7728353,828.745,106.624954,0.9548302,844.9222,3.37891,0.62700945
46,886.3539,625.52466,0.7458225,878.26227,465.933,0.762918,870.9569,307.43668,0.768325,828.4948,107.07602,0.9814974,844.9062,3.3794355,0.6112865
47,886.31555,625.5921,0.7419852,878.2693,465.9621,0.762268,870.9346,307.36075,0.75789946,828.9164,106.680046,0.966979,845.3715,3.3945866,0.6657603
48,886.3798,625.592,0.7514567,878.20746,465.56107,0.7565555,870.9159,307.38028,0.7717479,828.85175,106.840965,0.9711081,845.3572,3.3315086,0.65263927
49,886.51263,625.47015,0.7428013,878.2864,466.01532,0.75778615,870.95404,307.4462,0.76799953,828.8668,106.70615,0.96777797,845.4315,3.34696,0.67406857
50,886.56805,625.45264,0.7428963,878.2865,465.9745,0.76569086,870.9265,307.45956,0.7758622,828.8995,106.63916,0.9667079,845.4322,3.3381472,0.6791774
51,886.60535,625.4032,0.753066,878.2601,465.9703,0.76145107,870.9154,307.44266,0.77356404,829.2318,106.44945,0.975488,845.9089,3.1017818,0.6374322
52,886.80975,625.3545,0.74301755,878.26495,465.95712,0.76511127,870.92303,307.4537,0.77689326,829.2657,106.62119,0.97617674,845.9373,3.1080647,0.65107316
53,886.93115,625.2534,0.73297924,878.26355,465.9755,0.7607155,871.1792,307.5052,0.78119123,829.7598,106.41566,0.99110943,846.17914,2.8816042,0.65241873
54,886.88385,625.2327,0.7375595,878.29156,466.02875,0.7567034,871.28174,307.4938,0.75906515,829.61847,106.34325,0.98941344,846.1521,2.8777027,0.6668943
55,887.12177,625.17145,0.7364663,878.4555,465.85233,0.75546,871.1664,307.46582,0.7704999,830.34656,105.93356,0.97031546,846.3786,2.6971235,0.66547775
56,886.9019,625.10156,0.7474722,878.29346,465.98892,0.76192576,871.0055,307.53064,0.7463226,829.7653,106.256676,0.9842957,846.3825,2.714404,0.6649882
57,886.7408,624.88196,0.74830747,878.1098,465.35532,0.76756287,871.3153,307.25677,0.7615909,830.3664,106.18134,0.9882774,846.6692,2.8361588,0.64297074
58,886.73303,625.02655,0.7494994,878.0301,465.34613,0.7760428,870.96405,307.5919,0.771508,830.34753,106.178024,0.98592925,846.85583,3.3697376,0.6603327
59,886.90094,625.0538,0.74981123,878.24817,465.90305,0.7645515,870.92346,307.60077,0.7785779,830.2749,106.273674,0.988662,847.11725,3.2250252,0.65194166
60,888.00946,624.8125,0.74740565,878.2868,466.00113,0.7549292,870.6941,307.84384,0.76202345,829.7704,106.37553,0.9851068,846.73206,3.6267185,0.6616672
61,889.0788,624.8617,0.68996906,878.19293,465.30447,0.7711668,870.73145,307.82724,0.7514725,829.79114,106.442276,0.9948147,846.5745,3.5516882,0.65977347
62,892.1897,624.81775,0.66118395,878.18665,465.08478,0.7622706,870.7687,307.7992,0.7584116,829.72906,106.50272,0.9924503,846.9038,3.105258,0.7059177
63,916.33044,619.0034,0.7726232,878.6696,463.45987,0.824888,869.58704,308.7802,0.79564774,828.70685,106.92966,0.97310644,846.02966,3.8103914,0.79186964
64,943.8652,602.1159,0.7435145,879.75446,460.1747,0.9525891,868.774,309.70328,0.7699975,828.2596,107.09765,0.9876606,845.54266,4.2286835,0.8294104
65,983.33575,561.4964,0.9142755,879.78424,452.5544,0.8929676,867.2439,309.469,0.787192,828.88574,107.4889,0.97339934,845.6699,4.8383017,0.843757
66,1000.98083,521.8297,0.76889765,879.61426,446.96054,0.87627053,865.5782,309.50394,0.76378345,829.1654,108.024765,0.98832935,845.69086,5.413075,0.87040126
67,1006.4145,501.53595,0.6390148,879.5865,443.76346,0.7608016,865.1181,310.17163,0.71588796,829.0205,108.31979,0.98261726,845.8073,5.77656,0.88877517
68,1007.2916,496.79205,0.7265767,879.7103,443.63644,0.74897975,864.70044,311.0294,0.66833377,828.84033,108.75633,1.0,845.5134,6.0050845,0.90246904
69,1004.4755,512.9039,0.84541076,879.4587,444.54895,0.7455587,866.4089,309.6064,0.7371523,830.1148,107.71987,1.0,846.7912,4.8994193,0.84807867
70,949.78754,593.5831,0.80672157,880.0088,459.24057,0.93540853,868.9254,309.86954,0.7914372,830.9388,106.31787,0.97595614,847.3922,2.7886515,0.64099175
71,888.19135,625.28,0.7428143,878.4702,465.83255,0.77982414,869.57306,308.59564,0.7986828,828.7533,106.3977,0.9567747,846.3387,2.8374882,0.6597225
72,875.06445,624.97327,0.6380067,878.78656,465.68063,0.7819147,872.7498,305.41635,0.69545525,833.8984,104.080635,0.9050022,849.4281,1.4449091,0.6338619
73,877.7089,625.4924,0.5857334,878.78876,465.77866,0.77620363,871.91766,305.6318,0.72747743,832.2555,105.17979,0.90714425,847.9013,1.9277658,0.6082002
74,910.9635,619.94366,0.7547283,878.88055,464.3936,0.8074673,869.44025,308.67444,0.8056528,829.1554,106.10541,0.9414494,846.1232,2.6579123,0.6354544
75,966.0996,585.36163,0.75540745,880.51855,457.29535,0.94644886,866.98706,309.58005,0.7373551,828.8554,106.82205,0.9601879,845.7325,4.286422,0.8600975
76,999.07544,532.279,0.7679147,880.7218,447.88943,0.85096824,865.64124,309.6515,0.7484149,829.30194,107.44519,0.97996664,846.15314,5.348582,0.8905257
77,1005.2105,509.2575,0.69279885,878.8034,444.97827,0.81629103,864.915,310.01263,0.75974274,829.36005,107.57151,0.97935164,846.1549,5.3337145,0.8863474
