scorer,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
31,872.4832,643.6031,0.7359024,861.11316,485.1911,0.8045801,855.87415,328.56235,0.7785466,802.1849,128.81905,0.8993048,824.94403,23.232418,0.9373835
32,872.443,643.578,0.73468465,861.14966,485.19592,0.80617523,855.8447,328.60965,0.7773005,802.1668,128.89774,0.8940303,824.7986,23.234087,0.92430264
33,872.8307,643.56366,0.6864871,861.11957,485.12738,0.7967147,855.7615,328.59067,0.77646565,802.1175,128.93156,0.8986388,824.6694,23.254374,0.9376522
34,872.75256,643.614,0.68683493,861.1241,485.11377,0.7950679,855.72925,328.58148,0.78645676,802.1162,128.91313,0.8984925,824.6017,23.305256,0.93874407
35,872.69336,643.6294,0.6912582,861.1702,485.11563,0.7984041,855.7987,328.59192,0.7828302,802.12805,128.92705,0.89786476,824.5241,23.373547,0.93659306
36,872.6722,643.6193,0.7008886,861.1091,485.0512,0.791159,855.6376,328.4546,0.80731,801.979,129.00134,0.89956284,824.3837,23.403297,0.93664163
37,872.73706,643.5233,0.7037036,861.0609,485.16635,0.8099193,855.7971,328.4593,0.7743219,802.0106,128.84126,0.9030248,824.37976,23.293285,0.94557214
38,872.70416,643.5453,0.71331227,861.1085,485.02716,0.79821825,855.87933,328.34274,0.7839275,802.0612,128.7747,0.9012402,824.30804,23.112148,0.9465865
39,872.7481,643.5507,0.7145572,861.0657,485.0912,0.8095616,855.99835,328.35345,0.78003544,802.07635,128.76709,0.90428334,824.24243,23.120296,0.94879824
40,872.67615,643.4268,0.7152416,861.16223,485.02536,0.8227179,855.9362,328.36896,0.7851519,802.1161,128.62585,0.9096691,824.4408,23.162794,0.93505865
41,872.94824,643.42224,0.6852684,861.213,484.94467,0.8072613,855.9186,328.45615,0.7909805,802.1417,128.83963,0.91186374,824.51404,23.228865,0.93145937
42,872.91003,643.52484,0.68027157,861.1983,484.95633,0.81090224,855.86053,328.41162,0.7856541,801.9837,128.52397,0.9134143,824.3474,23.209438,0.9239981
43,872.85315,643.57306,0.6846717,861.17737,484.99594,0.8080376,855.86066,328.44904,0.7857623,802.15137,128.84726,0.9126596,824.19116,23.15287,0.92220706
44,872.9119,643.5653,0.68458086,861.1846,485.06918,0.79943967,855.771,328.4464,0.77957916,801.9475,128.5131,0.91743886,824.0514,23.156025,0.9472132
45,872.95917,643.64484,0.6632794,861.317,485.04102,0.8127008,855.7708,328.43335,0.7772728,802.0915,128.6001,0.9094703,824.1603,23.139912,0.951643
46,872.93665,643.6896,0.642072,861.2863,485.05777,0.80890244,855.77985,328.44684,0.77921045,802.0976,128.61302,0.90886205,824.28174,23.20253,0.9449775
47,872.95483,643.67285,0.64955163,861.3127,485.29776,0.8397615,855.7588,328.44916,0.76569545,802.1352,128.61618,0.90583634,824.29224,23.238152,0.9377179
48,872.67487,643.6755,0.68910545,861.33417,485.0555,0.82579935,855.7917,328.40982,0.7712523,802.13055,128.605,0.90012014,824.2975,23.105461,0.9379736
49,872.91113,643.8936,0.65064996,861.2435,485.06592,0.82072806,855.8197,328.51593,0.7793728,802.32733,128.47147,0.9059083,824.2687,23.096052,0.9458559
50,873.0277,643.6556,0.6557271,861.261,485.0665,0.8158614,855.8933,328.4883,0.78917474,802.1939,128.25262,0.91410464,824.49396,23.118748,0.92880434
51,872.9461,643.76483,0.66332626,861.27844,485.04727,0.8131139,855.8738,328.53802,0.7805197,802.30194,128.39606,0.909653,824.7229,23.08553,0.923202
52,872.807,643.8629,0.681547,861.18787,485.08273,0.8152064,855.92303,328.47256,0.78333044,802.52515,128.37108,0.9075315,824.7114,23.199806,0.92199564
53,872.86053,643.7198,0.66714704,861.2712,485.06876,0.8044657,855.93854,328.41464,0.76321775,802.6195,128.25401,0.91458136,824.805,23.080673,0.9202801
54,872.8691,643.7636,0.66744375,861.3613,484.99356,0.8060639,855.9767,328.4498,0.77471244,802.6466,128.19185,0.9156415,824.7594,23.070353,0.9222008
55,872.86,643.77185,0.66460997,861.45764,485.0843,0.8196426,856.0199,328.48065,0.77492017,802.73676,128.20445,0.9109408,824.85455,22.980692,0.93705916
56,872.9952,643.7145,0.6508365,861.4495,484.9597,0.82640004,856.1521,328.26315,0.7651499,802.8185,128.06514,0.91727716,824.8938,22.795307,0.9365065
57,872.9945,643.6819,0.66077185,861.468,485.00146,0.80827475,856.3077,328.61993,0.7807969,802.8235,128.04576,0.92516047,825.02783,22.861908,0.94651914
58,873.0068,643.68164,0.6508196,861.52216,484.93176,0.8120295,856.279,328.5053,0.7610088,802.9336,128.04974,0.9355496,825.0595,22.949396,0.9519465
59,873.0152,643.6474,0.6505952,861.54,484.9104,0.80893356,856.1347,328.27808,0.770511,802.91833,128.0044,0.9344482,825.0725,22.92471,0.95098865
60,873.03784,643.5978,0.6615874,861.5264,484.9671,0.8137364,856.2273,328.4817,0.763066,803.05524,127.97449,0.94324964,825.3339,23.0455,0.94293636
61,873.10834,643.62274,0.66321856,861.4348,485.01395,0.80995846,856.21484,328.45074,0.7569533,803.0986,127.772545,0.9566405,824.65845,22.461807,0.9452767
62,872.7373,643.54065,0.6878111,861.43805,484.9352,0.80182076,856.45135,328.5166,0.7471311,803.23395,127.558014,0.96739423,824.6762,22.362207,0.9469714
63,872.8914,643.65405,0.69672006,861.4636,484.8331,0.8094463,856.36884,328.26462,0.76482695,803.32513,127.42687,0.96909356,824.93097,22.34716,0.94297487
64,872.5971,643.6095,0.72840995,861.41077,484.65552,0.80747944,856.5897,328.04202,0.7382339,803.42126,127.263435,0.9650133,824.91046,22.173859,0.952548
65,872.59644,643.556,0.7189917,861.46643,484.70044,0.812008,856.5574,327.97733,0.76126164,803.3662,127.278755,0.9690399,824.7849,22.137583,0.9708292
66,872.4148,643.70245,0.72584987,861.3776,484.85306,0.80771375,856.47015,328.17517,0.7502744,803.36975,127.319565,0.9650372,824.7962,22.131067,0.9664984
67,872.3294,643.63617,0.6963043,861.4037,484.90314,0.805838,856.4753,328.14523,0.7508407,803.3454,127.42736,0.9679916,824.7855,22.142782,0.9753582
68,872.329,643.7644,0.69475454,861.36127,484.96838,0.79095894,856.30396,328.4451,0.7464756,803.2697,127.61555,0.96545595,824.5787,22.272848,0.96445805
69,872.51245,643.5793,0.6866613,861.3669,484.97122,0.7900048,856.2984,328.051,0.7479108,803.24677,127.67174,0.960733,825.188,22.636374,0.9638037
70,872.6675,643.57825,0.6783278,861.2881,484.9833,0.7891521,856.2711,328.28925,0.7440413,803.24945,127.728745,0.95642436,825.1289,22.644773,0.96347684
71,872.6707,643.4409,0.6587719,861.3765,484.7968,0.7870479,856.3029,328.14575,0.7439492,803.03485,127.56072,0.9697012,825.1432,22.666895,0.97039634
72,872.78845,643.3241,0.6859537,861.3444,484.5827,0.8006756,856.36176,328.1352,0.76476425,802.872,127.40706,0.9707577,824.99506,22.474907,0.9798918
73,872.7414,643.7222,0.6860293,861.30133,484.73425,0.782388,856.3338,328.19275,0.75925046,802.8056,127.527885,0.9597325,824.94836,22.492659,0.9748214
74,872.77106,643.54315,0.69112223,861.2729,484.82425,0.78220546,856.34515,328.31387,0.7638441,802.70636,127.60177,0.9539271,824.7576,22.715591,0.9784396
75,872.8351,643.6172,0.6889968,861.24066,484.93567,0.8020246,856.33136,328.37677,0.77719873,802.3726,127.63281,0.94044906,824.364,22.588417,0.9975107
76,872.9997,643.77893,0.66830224,861.2494,484.99835,0.80746657,856.3339,328.37897,0.7503727,802.43726,127.83202,0.9289623,824.255,22.689896,0.9865447
77,872.93835,643.75714,0.6854556,861.2414,485.03476,0.8116469,856.2959,328.33575,0.7497699,802.0914,127.923386,0.93036115,823.8873,22.67328,0.995919
78,872.9189,643.6501,0.6870647,861.2607,484.9169,0.80931205,856.26697,328.3169,0.7541626,801.8987,127.83182,0.9162314,823.6023,22.389723,1.0
79,872.87946,643.64,0.69568574,861.2211,485.06677,0.82109004,856.19257,328.20932,0.7527917,801.9331,127.973724,0.9163225,823.5552,22.375061,1.0
80,872.8423,643.57666,0.7074862,861.30804,485.01138,0.81510264,856.1225,328.3908,0.7778219,801.75775,127.69065,0.9287159,823.5942,22.418436,0.9920013
81,872.86786,643.5914,0.68992907,861.34607,484.95203,0.8239554,855.8616,328.2486,0.77145135,801.61786,127.690445,0.9395902,823.2172,22.399754,0.9886831
82,872.83673,643.65283,0.698002,861.30524,484.96857,0.81537,856.00507,328.38406,0.7717636,801.62177,127.69818,0.93907773,823.2273,22.394901,0.9884636
83,872.8249,643.61536,0.6907317,861.3014,484.9986,0.80790055,855.93695,328.34512,0.783374,801.5711,127.77504,0.9432701,823.2815,22.457138,0.9841091
84,872.78265,643.69446,0.70005834,861.2639,485.0239,0.8175966,855.79767,328.3568,0.7599423,801.48645,127.831055,0.9404388,822.9405,22.411274,1.0
85,873.07477,643.7991,0.65976715,861.35504,485.0552,0.8093071,855.8196,328.33868,0.74467283,801.52423,128.00941,0.9273144,822.9337,22.600863,0.99961597
86,872.91895,643.7646,0.6749507,861.2026,485.14243,0.79649943,855.8028,328.33865,0.750595,801.4912,127.83372,0.9378923,822.9492,22.407658,0.996801
87,872.97125,643.7241,0.67501706,861.3056,485.06296,0.7988944,855.7802,328.33685,0.7564215,801.56244,127.90423,0.93876994,822.9216,22.430962,0.9876899
88,873.0874,643.75635,0.656918,861.318,485.11487,0.80852324,855.9703,328.30176,0.743163,801.6014,128.01772,0.9256662,822.88556,22.604666,0.99207795
89,873.06934,643.7704,0.6353555,861.2787,485.22528,0.81146187,855.8964,328.22208,0.73139995,801.64325,127.97064,0.92968017,822.9042,22.645765,0.9902658
90,873.06757,643.88416,0.64729637,861.3768,485.15375,0.8232665,855.89935,328.16577,0.7447465,801.6894,127.867424,0.93596506,823.27563,22.38454,0.9914499
91,873.0334,643.8231,0.6478605,861.4251,485.16296,0.82895195,855.9012,328.2279,0.73778534,801.6767,127.88801,0.9282684,823.056,22.359758,0.99840933
92,873.0473,643.7758,0.639027,861.46655,485.08707,0.8241792,856.07043,328.3778,0.772601,801.92725,127.78697,0.9401248,823.53864,22.38355,0.9896791
93,873.0317,643.7361,0.6397502,861.4843,485.05017,0.8360749,856.153,328.23746,0.75952053,802.02124,127.69001,0.9442807,823.51056,22.453585,1.0
94,873.0275,643.7645,0.6342207,861.4514,485.05655,0.8351103,856.20764,328.21793,0.75900584,802.0022,127.764206,0.9424887,823.47864,22.44352,1.0
95,872.97064,643.67413,0.63990027,861.4616,484.92468,0.8264106,856.17834,328.3393,0.7666188,802.307,127.58792,0.9459907,824.07886,22.423853,0.98550165
96,872.89795,643.4703,0.62811583,861.39984,484.9315,0.8324079,855.99084,327.60828,0.760361,802.40283,127.52648,0.9448208,823.9765,22.468096,0.96941096
97,872.6021,643.3706,0.6619488,861.4317,484.8924,0.8220375,856.00653,327.5089,0.75146556,802.7167,127.32429,0.9670773,824.3606,22.572157,0.9776733
98,872.5684,643.41174,0.6656395,861.39264,484.87167,0.8185434,856.15436,327.6309,0.7548678,802.75653,127.16434,0.9722249,824.35815,22.309322,0.97447616
99,872.44434,643.4337,0.66273135,861.41626,484.84802,0.8190564,856.2676,327.55835,0.7619951,802.9503,126.954475,0.97698873,825.1395,22.336773,0.9519881
100,872.43176,643.403,0.6727966,861.53613,484.64792,0.8288138,856.525,327.54404,0.76573354,803.0976,127.010376,0.9820292,825.1973,22.21551,0.97272176
101,872.4067,643.44556,0.6736271,861.38354,484.72543,0.8131321,856.2595,327.38077,0.7771692,803.12915,126.80573,0.97797996,825.20514,22.162466,0.965168
102,872.5277,643.4373,0.67276174,861.47943,484.7431,0.8330692,856.5121,327.585,0.7632426,803.18634,127.076416,0.97386837,825.50037,22.096779,0.98251337
103,872.4705,643.4484,0.6758132,861.5327,484.6449,0.8251429,856.405,327.60214,0.76458836,803.24194,127.01778,0.97282714,824.79645,21.819561,0.98997265
104,872.522,643.46234,0.6872223,861.45215,484.61774,0.8287751,856.37024,327.5248,0.76117146,803.3269,127.042816,0.9701811,824.92004,21.796745,1.0
105,872.4956,643.4418,0.6894198,861.3998,484.7791,0.8268841,856.4389,327.5581,0.75738937,803.5534,127.005806,0.97827786,825.29315,21.798595,0.9979592
106,872.53796,643.525,0.6885853,861.4808,484.78445,0.83612216,856.4908,327.58597,0.7627488,803.5239,127.01238,0.978785,825.2629,21.830297,0.9962065
107,872.4634,643.6102,0.7110133,861.42474,484.7863,0.8350132,856.5121,327.59048,0.770429,803.5824,127.00461,0.97713065,825.2732,21.800568,0.99812275
