scorer,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
31,859.1095,699.0011,0.880058,843.26434,555.9697,0.933926,827.269,395.75427,0.77991974,804.295,271.12332,0.7712472,754.179,86.53689,0.9034087
32,859.04724,699.0915,0.8841468,843.31116,556.12506,0.9527818,827.2972,395.7916,0.77191556,804.19305,271.28296,0.7693366,754.1859,86.64656,0.9034842
33,859.0944,698.91113,0.88479304,843.2653,556.0555,0.954093,827.44525,395.77707,0.7610694,804.1391,271.20444,0.7716723,754.14557,86.57107,0.91502845
34,859.1112,698.8489,0.8744448,843.2333,555.99774,0.94312936,827.3369,395.7487,0.78090656,804.0726,271.14145,0.76842827,754.1342,86.53496,0.9122087
35,859.1264,698.8476,0.8777879,843.2774,555.96625,0.93462825,827.3252,395.7276,0.7820121,804.1292,271.13644,0.7718903,754.1731,86.466286,0.91459596
36,859.2035,698.7323,0.8736709,843.31274,555.8593,0.92160225,827.3133,395.672,0.7849161,804.0667,271.00732,0.7920706,754.3389,86.37585,0.9001467
37,859.16394,698.7902,0.88837343,843.24994,555.8658,0.91580296,827.40076,395.77817,0.7599337,804.11926,271.044,0.7762942,754.3325,86.45945,0.91642636
38,859.168,698.8057,0.8855547,843.28564,555.8345,0.93897396,827.3747,395.7169,0.7696612,804.0412,271.07928,0.7815578,754.2401,86.48261,0.9240703
39,859.1654,698.8727,0.879036,843.3282,555.81836,0.9332872,827.3958,395.6768,0.7852553,804.0375,270.93622,0.79093975,754.3121,86.51644,0.9261166
40,858.97784,698.9376,0.8682504,843.3568,555.81085,0.93726057,827.4321,395.71844,0.7964459,804.09454,271.03265,0.78658473,754.37024,86.5497,0.9227624
41,859.0987,698.82,0.8872476,843.45996,555.7639,0.95546293,827.7669,395.51602,0.8039771,804.38245,270.80573,0.7850125,754.3939,86.386284,0.9243157
42,859.151,698.8105,0.89336205,843.4586,555.6693,0.9689798,827.6926,395.49234,0.8059752,804.42914,270.91187,0.7845585,754.54736,86.182304,0.92544055
43,859.16785,698.78705,0.8942919,843.47455,555.59357,0.9510854,827.7821,395.462,0.81815195,804.5612,270.63055,0.7836613,754.83795,86.15483,0.91682565
44,859.2524,698.8871,0.898591,843.49176,555.52155,0.9695127,827.67285,395.45627,0.8154493,804.44806,270.52722,0.78423494,754.5691,86.09132,0.91810524
45,859.1757,698.71246,0.88370126,843.5448,555.6052,0.9580756,827.775,395.4179,0.81447405,804.4778,270.56815,0.7762724,754.5631,86.1906,0.91597646
46,859.1654,698.63086,0.87874067,843.4308,555.6315,0.95106983,827.7034,395.3175,0.8249424,804.4056,270.54593,0.7797894,754.5936,86.16334,0.90877837
47,859.15216,698.414,0.868273,843.4082,555.6892,0.95339507,827.7254,395.346,0.8183113,804.4252,270.4984,0.7828197,754.54877,86.1749,0.90443003
48,859.0887,698.3548,0.85576135,843.4322,555.7038,0.94461846,827.73785,395.35178,0.8153875,804.3701,270.49075,0.7860983,754.58795,86.32964,0.8983301
49,859.07184,698.4155,0.8587748,843.4168,555.6733,0.94588226,827.7771,395.34158,0.8228258,804.3684,270.50543,0.78747517,754.5766,86.31959,0.89072025
50,859.06165,698.41394,0.8559471,843.4515,555.6553,0.9494098,827.7508,395.31232,0.8338676,804.39624,270.55835,0.7921843,754.5663,86.28731,0.89814055
51,859.0497,698.42236,0.8621474,843.453,555.6812,0.9494369,827.6978,395.29205,0.82231355,804.4407,270.5883,0.7941216,754.48096,86.297516,0.8860895
52,858.98956,698.4578,0.86537564,843.4581,555.6436,0.95410913,827.7864,395.31638,0.81861496,804.4161,270.62653,0.79913116,754.46796,86.216705,0.90884054
53,858.97015,698.4496,0.88522637,843.4427,555.7953,0.95389277,827.657,395.518,0.7778644,804.42334,270.62445,0.7939804,754.5265,86.15213,0.91502583
54,858.94324,698.4137,0.8869054,843.46405,555.7632,0.9626636,827.7589,395.51456,0.7911029,804.4545,270.59137,0.8017587,754.53784,86.16332,0.90841496
55,858.9925,698.34326,0.8927949,843.46716,555.8262,0.97922504,827.7719,395.53235,0.7710987,804.403,270.6062,0.79944754,754.51166,86.1768,0.91647905
56,859.0494,698.4365,0.90290487,843.4748,555.8077,0.97900313,827.63245,395.4954,0.78555954,804.4886,270.6078,0.7933691,754.4688,86.18918,0.92055875
57,859.2536,698.42444,0.92189646,843.4638,555.79376,0.9499112,827.8391,395.4485,0.77515805,804.49506,270.61047,0.7897134,754.5096,86.11491,0.923909
58,859.16516,698.3602,0.9271985,843.4391,555.79407,0.95252186,827.78156,395.4106,0.7868317,804.4695,270.64682,0.79022694,754.49194,86.103226,0.9317363
59,859.1658,698.3919,0.93481,843.4449,555.7983,0.9582049,827.67426,395.41003,0.7969699,804.5106,270.65027,0.78722006,754.4911,86.11603,0.9274949
60,859.20197,698.4002,0.9065424,843.46,555.7551,0.9593796,827.6573,395.4118,0.7910972,804.5167,270.70804,0.78860044,754.49347,86.15704,0.90962327
61,859.19385,698.41,0.9170003,843.5079,555.75116,0.9482187,827.65704,395.41956,0.7859294,804.48206,270.70068,0.7876439,754.5275,86.13508,0.90516996
62,859.18353,698.4066,0.9145191,843.55786,555.8166,0.9672444,827.67487,395.39276,0.7945593,804.43744,270.67743,0.79255724,754.5405,86.064316,0.9207509
63,859.2064,698.39667,0.90821475,843.5362,555.8003,0.95702964,827.63434,395.39896,0.7981939,804.3331,270.7425,0.78121215,754.47095,86.060844,0.9258561
64,859.21643,698.4541,0.914894,843.48846,555.7946,0.942519,827.6075,395.45346,0.80178535,804.40894,270.72397,0.7867544,754.52313,86.13356,0.89927536
65,859.2365,698.4151,0.91244155,843.48474,555.7704,0.95900023,827.64154,395.50723,0.79211676,804.1156,270.65097,0.7999384,754.4054,86.19333,0.9163016
66,862.5076,697.32,0.89349264,843.1241,555.94556,0.9308052,826.83685,396.1471,0.8047813,803.8048,270.6618,0.7836964,754.3558,86.18285,0.91082495
67,887.42017,694.0369,0.9180299,845.0299,556.1055,1.0,825.74756,397.97202,0.8009368,802.8296,270.8354,0.7680889,753.4144,85.855095,0.8874186
68,915.5112,685.1954,0.8294496,847.3251,558.2844,0.94937223,824.1423,402.61432,0.84291613,801.8681,271.95694,0.73047805,752.66797,86.42357,0.8947263
69,931.9796,675.7194,0.82074445,848.59015,557.9116,0.9285588,823.8547,402.3804,0.8049327,801.95404,271.99374,0.73565435,752.757,86.41478,0.8907959
70,931.62915,675.66974,0.81657827,848.04364,558.2674,0.91848683,823.82654,402.5775,0.8252965,802.12494,271.92346,0.71555156,752.9481,86.35025,0.8988211
71,910.953,689.4835,0.91093767,846.9615,558.5331,0.93055373,824.38055,402.51898,0.81128424,802.65216,271.5357,0.75390387,753.3154,86.42174,0.9030723
72,856.00256,697.6676,0.86022586,843.11926,555.58344,0.95242614,826.58435,395.42584,0.77158016,803.68,270.54672,0.77899927,753.88837,86.27902,0.8872751
73,840.7919,692.6663,0.90910876,845.7073,550.7189,0.9392597,830.6263,392.16132,0.73370343,809.461,268.86053,0.712803,759.2126,85.025635,0.9541657
74,840.34436,692.6875,0.9201006,845.64026,550.5642,0.93442655,830.82806,391.5593,0.7408048,808.83405,269.0316,0.7416569,759.02893,85.21492,0.9510371
75,850.6218,695.59973,0.93316805,845.17584,553.5198,0.9309145,829.34485,394.21542,0.781258,806.7444,269.97726,0.7678557,757.5266,85.77959,0.9017009
76,880.8234,694.8065,0.9559395,846.04895,556.4263,0.9904818,826.8288,397.00708,0.74141717,804.40204,271.40878,0.7625373,754.3881,86.62108,0.8945774
77,915.4058,685.6663,0.83835465,848.45667,556.2314,0.9302641,825.33765,399.8329,0.78814167,804.4936,271.65256,0.7720705,754.546,86.78919,0.8944972
78,934.7135,674.57074,0.7896673,850.35754,556.5126,0.9183451,825.0775,402.3812,0.8256729,804.3378,272.94467,0.76255536,754.65796,87.28439,0.8842108
79,946.68097,663.9855,0.8296074,851.14685,556.38666,0.96627504,824.8557,402.98904,0.80781496,804.5827,273.09952,0.77371186,754.6611,87.274216,0.8883919
80,941.885,668.17993,0.9733405,850.66437,556.63007,0.93922913,825.21344,402.759,0.8036672,804.8443,273.342,0.7738846,754.587,87.4125,0.8851514
81,912.3801,687.89417,0.87254155,847.6225,558.01794,0.9076941,827.4202,400.50916,0.724313,805.4596,272.87943,0.7456319,755.1614,87.51919,0.8989306
82,862.53674,697.87213,0.864929,844.8083,555.6973,0.9998342,828.17255,395.96332,0.776878,805.8604,271.4293,0.7866376,756.07623,87.48326,0.90843207
83,854.9226,696.575,0.81461,845.2879,554.50726,0.96811676,828.9999,395.30676,0.7976583,807.3617,271.06454,0.7598627,757.7324,87.18021,0.90537786
84,860.404,698.75073,0.95359266,845.63556,555.53174,0.9761943,828.64,395.8718,0.7790558,806.4444,271.42432,0.7706869,757.0619,87.608116,0.91780496
85,876.6823,697.7245,0.8933046,846.5989,557.00165,0.98797286,827.7792,396.96234,0.7250917,805.7369,272.14087,0.77970505,755.9508,88.160645,0.9099219
86,918.8228,684.8691,0.90086293,849.7681,556.6649,0.9409881,827.0693,401.57892,0.7468042,805.6226,273.57672,0.80287373,755.40515,88.20914,0.88877255
87,952.6833,659.84094,0.74859685,852.26196,556.1063,0.93896914,825.2291,403.7522,0.82444704,804.94836,274.40503,0.81639606,754.95306,88.302376,0.8639647
88,964.21246,645.3405,0.8757561,852.7853,555.9544,0.928621,824.3087,403.96463,0.8562276,804.8967,274.92517,0.8480556,754.7946,88.365715,0.8699912
89,964.2865,644.6496,0.8339408,852.5533,555.8346,0.92628247,824.3139,404.03885,0.82055575,805.1733,274.99152,0.8218917,755.15607,88.4984,0.8470831
90,957.9017,652.91833,0.7785077,852.16077,556.27576,0.91446656,825.0991,403.6189,0.80498105,806.062,273.92535,0.7884518,755.6477,88.29845,0.8977643
91,918.9029,685.57556,0.98559064,849.00134,557.5088,0.85609317,828.8834,399.93393,0.7821672,808.04095,272.8489,0.7439187,757.6113,88.493195,0.89752746
92,868.5371,697.7179,0.84059393,846.25226,556.16614,0.9529438,829.81635,396.66898,0.7925719,809.2285,272.54184,0.7398482,758.66235,88.105865,0.8861596
93,855.0497,696.1743,0.8125624,846.3932,554.3642,0.9284061,831.9563,394.60233,0.7677254,811.105,271.56406,0.71981627,760.79926,87.7266,0.87110984
94,857.16864,697.5045,0.82952976,847.05597,554.9243,0.9308298,831.7274,395.06052,0.77816147,810.7195,271.6349,0.7137106,760.41223,87.85715,0.8701191
95,872.68823,698.35815,0.86982375,847.9343,556.2081,0.8959692,830.88525,396.46155,0.78939146,809.65094,272.54153,0.7408527,759.26196,88.373,0.86022115
96,911.2189,687.50256,0.81382155,851.0707,556.2654,0.9304352,829.6111,399.7859,0.7289158,808.3604,273.50156,0.75949645,757.7502,88.71425,0.87993026
97,944.0415,667.17175,0.77948993,852.31305,555.9631,0.9725368,827.8019,401.76413,0.7128853,807.5874,274.35602,0.7967398,756.8776,88.91445,0.8700671
98,956.99854,653.1615,0.9622243,853.1739,555.37885,0.9917642,827.4943,402.5117,0.74293303,807.547,274.28784,0.7859526,756.85016,88.96476,0.87013185
99,957.178,652.57605,0.93736345,852.8506,555.3694,0.98788345,827.59564,402.43915,0.74562484,807.837,274.34933,0.7957947,757.1354,89.08921,0.879126
100,953.69366,658.4836,0.719442,852.46124,555.7476,0.96573675,827.757,402.2527,0.7684548,808.0893,274.3054,0.79800457,757.30365,89.106094,0.869215
101,931.95337,676.94946,0.87969464,850.888,557.30237,0.88649976,828.79663,402.01056,0.8578618,808.49603,273.4911,0.7548102,757.7054,88.4641,0.87577784
102,877.88104,696.46265,0.9202966,846.3063,556.3315,0.9303581,829.3173,396.6608,0.79173666,808.2149,272.58725,0.7521508,757.75085,88.49873,0.8656065
103,852.3274,695.70825,0.8438845,845.70026,553.24603,0.7671534,830.69366,393.52338,0.7574021,810.4995,271.23434,0.67761433,759.526,87.515114,0.8655556
104,849.04565,695.00397,0.81506664,846.2628,551.69904,0.7139429,831.234,393.35202,0.76750106,811.1159,270.91132,0.6889451,760.2336,87.144775,0.88377756
105,855.6801,696.9591,0.73803467,846.4676,554.07526,0.7591102,830.9069,394.287,0.77725786,810.3453,271.47885,0.6971896,759.514,87.7164,0.88426524
106,884.44904,694.9735,0.8709944,847.382,555.2449,0.9406745,829.0858,396.26233,0.80151916,808.313,272.04697,0.7394955,757.7592,88.47981,0.8741975
107,926.9739,678.5337,0.9450953,850.3552,554.60455,1.0,828.6304,399.69516,0.6933784,807.8207,273.23657,0.7418819,756.8452,88.74259,0.86916184
108,955.39246,654.7684,0.7510349,852.28076,554.6909,1.0,827.3178,402.20514,0.7324176,807.42365,274.21313,0.7720853,756.5438,89.005684,0.8267908
109,962.99255,645.05963,0.8696911,852.5092,554.73737,1.0,826.887,403.325,0.70973456,807.199,274.3168,0.7795722,756.5585,88.95384,0.84817845
110,960.6749,647.6877,0.69738275,852.1726,554.5868,1.0,827.72394,402.1068,0.71953976,807.933,274.08084,0.7660543,757.26935,88.910484,0.8559289
111,933.4578,674.82,0.9076352,850.73865,556.7538,0.9671818,829.19055,400.98828,0.78474885,808.59143,272.97488,0.74345213,757.8487,88.23718,0.8718067
112,882.4782,694.821,0.8841959,846.6964,555.3917,0.9841298,830.8313,396.51685,0.7604089,810.00775,271.6741,0.70903254,758.9477,87.636635,0.8682586
113,845.2206,692.4189,0.92034775,845.8615,551.14825,0.8070276,833.4475,391.52432,0.71401054,813.4761,270.4209,0.8078031,762.2874,87.0111,0.8290208
114,840.6149,691.93054,0.7954203,845.85706,549.9392,0.84617716,834.3991,390.8799,0.7133357,814.44965,269.68427,0.8160012,763.1349,86.77084,0.8307535
115,853.75366,695.06964,0.81413025,846.7583,551.2298,0.7944127,832.62744,392.84842,0.7257859,812.7621,270.6329,0.80863,761.3511,87.50916,0.8465577
116,893.0592,691.0201,1.0,848.9597,552.9698,0.8831999,831.5033,394.7958,0.77619624,811.195,271.14337,0.71920204,760.06903,87.70497,0.9026892
117,930.27075,672.9481,0.7779389,851.82416,552.6797,0.84736806,830.3193,396.65814,0.78460664,810.61615,271.31198,0.67212826,759.67413,87.57604,0.8602815
118,958.61127,648.1485,0.6534001,854.1089,551.8434,0.9021306,829.6644,399.73633,0.7895718,810.4236,271.92422,0.69561815,759.2673,87.96369,0.85423905
119,965.70593,638.2193,0.64954555,853.26483,551.98474,0.90905565,829.37,400.0334,0.8003874,810.0296,272.51865,0.7187192,758.96606,87.95979,0.85523736
120,963.8729,642.84827,0.6765013,852.64606,552.2589,0.8438091,829.6024,400.1741,0.7750856,810.7901,272.35403,0.6943759,759.3386,87.94423,0.8565198
121,933.28845,675.01373,0.8864827,851.60345,554.73584,0.9008327,831.3833,398.07657,0.73170936,811.351,271.56366,0.7033109,760.48663,87.68267,0.8496667
122,872.7,693.82556,0.8529224,846.95465,553.58203,0.8695622,832.4696,394.65222,0.76948804,812.53766,270.8147,0.79430765,761.43854,87.49881,0.84986335
123,853.9359,693.4612,0.8908888,847.0382,550.6574,0.84167284,835.0014,392.2216,0.75047535,814.6086,269.97952,0.7901356,762.4656,86.98706,0.86276734
124,857.4779,693.6384,0.8155324,847.07135,551.3056,0.8320743,833.371,392.766,0.7274318,813.5626,270.3261,0.7940343,761.9051,87.25406,0.8359407
125,888.68787,692.1399,0.90457934,848.77484,553.2235,0.8761883,832.14703,395.43127,0.73188627,811.921,271.30783,0.76953554,760.33936,87.96998,0.8596796
126,940.9181,665.7193,1.0,852.656,552.7069,0.90228146,830.38416,397.82898,0.7318916,811.02185,271.72763,0.6903566,759.4947,87.870575,0.87797743
127,960.20306,646.8289,0.7548584,853.3095,551.7828,0.90494925,830.01166,399.34222,0.77641326,810.95374,272.15244,0.72742885,759.4728,87.99677,0.86615443
128,963.7652,642.17773,0.61557937,853.34784,551.93994,0.89125586,829.72656,400.0195,0.79278207,810.685,272.28146,0.7139961,759.4885,88.11444,0.8640184
129,962.6761,644.7995,0.78716373,852.84,552.35767,0.91648936,830.10785,399.86456,0.785027,811.1352,272.3228,0.7189417,759.7621,88.05816,0.8630187
130,940.0702,669.4331,1.0,852.68555,554.43506,0.9527954,832.26575,397.7569,0.7074142,812.7246,271.24832,0.79813224,761.0133,87.878555,0.85530514
131,885.17145,692.75464,0.82037634,849.4424,553.2199,0.8360366,834.3817,395.27985,0.7470705,814.2829,270.79822,0.80094224,762.37585,87.76515,0.87789863
